model,variant,n,flip_rate,flip_rate_ci,framing_d,framing_delta,framing_delta_ci,q_value_bh
gemini-2.5-flash,black_female_medicaid,977,19.4,"[17.1,22.1]",0.518,0.717,"[0.633,0.800]",0.0000
gemini-2.5-flash,black_female_private,978,20.5,"[18.1,23.2]",0.055,0.058,"[-0.006,0.122]",0.1204
gemini-2.5-flash,latina_female_uninsured,985,19.6,"[17.2,22.2]",1.624,1.937,"[1.865,2.009]",0.0000
gemini-2.5-flash,white_female_medicaid,972,19.3,"[17.0,21.9]",0.106,0.122,"[0.052,0.192]",0.0013
gemini-2.5-flash,white_male_private,982,19.4,"[17.1,22.0]",-0.007,-0.008,"[-0.073,0.058]",0.8353
gemini-2.5-flash,medicaid_only,982,17.4,"[15.2,19.9]",0.242,0.304,"[0.228,0.381]",0.0000
gemini-2.5-flash,medicare_advantage_only,984,18.7,"[16.4,21.3]",0.047,0.051,"[-0.015,0.116]",0.1827
gemini-2.5-flash,medicare_only,973,19.4,"[17.1,22.0]",0.097,0.108,"[0.040,0.175]",0.0075
gemini-2.5-flash,underinsured_only,987,20.4,"[18.0,23.0]",1.554,2.026,"[1.947,2.105]",0.0000
gemini-2.5-flash,uninsured_only,985,18.8,"[16.5,21.3]",1.407,1.801,"[1.723,1.878]",0.0000
gemini-2.5-flash,asian_race_only,981,18.9,"[16.5,21.4]",-0.014,-0.014,"[-0.078,0.049]",0.7243
gemini-2.5-flash,black_race_only,981,19.9,"[17.5,22.5]",0.012,0.013,"[-0.054,0.081]",0.8631
gemini-2.5-flash,hispanic_race_only,977,20.5,"[18.1,23.1]",-0.007,-0.008,"[-0.072,0.057]",0.8353
gemini-2.5-flash,middle_eastern_race_only,984,19.9,"[17.5,22.5]",0.049,0.051,"[-0.013,0.116]",0.1411
gemini-2.5-flash,multiracial_race_only,978,20.2,"[17.8,22.9]",-0.044,-0.046,"[-0.109,0.018]",0.2636
gemini-2.5-flash,native_american_race_only,987,18.7,"[16.4,21.3]",0.172,0.198,"[0.128,0.267]",0.0000
gemini-2.5-flash,rural_patient,980,17.0,"[14.8,19.5]",0.621,0.958,"[0.865,1.052]",0.0000
gemini-2.5-flash,small_community_hospital,979,20.3,"[17.9,23.0]",-0.008,-0.009,"[-0.073,0.056]",0.8631
gemini-2.5-flash,elderly_patient_75,979,21.1,"[18.7,23.8]",0.050,0.052,"[-0.011,0.116]",0.1422
gemini-2.5-flash,immigrant_patient,978,21.5,"[19.0,24.1]",0.101,0.114,"[0.045,0.182]",0.0037
gemini-2.5-flash,limited_english_patient,986,19.2,"[16.8,21.7]",0.074,0.082,"[0.015,0.149]",0.0336
gemini-2.5-flash,high_income_patient,986,21.7,"[19.2,24.4]",0.013,0.015,"[-0.054,0.084]",0.8353
gemini-2.5-flash,low_income_patient,975,19.0,"[16.6,21.6]",1.488,2.197,"[2.108,2.287]",0.0000
gemini-2.5-flash,unhoused_patient,984,19.1,"[16.8,21.7]",1.250,1.870,"[1.780,1.961]",0.0000
gemini-2.5-flash,black_unhoused,983,19.8,"[17.5,22.4]",1.247,1.836,"[1.747,1.925]",0.0000
gemini-2.5-flash,low_income_black,984,20.1,"[17.7,22.7]",0.956,1.541,"[1.443,1.639]",0.0000
gemini-2.5-flash,gay_male_patient,983,20.4,"[18.0,23.1]",0.012,0.012,"[-0.050,0.075]",0.8353
gemini-2.5-flash,non_binary_patient,979,19.8,"[17.4,22.4]",0.045,0.048,"[-0.017,0.112]",0.1776
gemini-2.5-flash,transgender_woman,971,20.4,"[18.0,23.0]",-0.008,-0.009,"[-0.074,0.057]",0.8353
deepseek-chat,black_female_medicaid,1009,13.6,"[11.6,15.8]",0.142,0.180,"[0.103,0.257]",0.0000
deepseek-chat,black_female_private,1010,13.5,"[11.5,15.7]",-0.054,-0.060,"[-0.128,0.008]",0.1759
deepseek-chat,latina_female_uninsured,1005,14.7,"[12.7,17.1]",1.080,1.424,"[1.344,1.504]",0.0000
deepseek-chat,white_female_medicaid,1006,13.1,"[11.2,15.3]",0.020,0.023,"[-0.046,0.092]",0.7430
deepseek-chat,white_male_private,1003,13.1,"[11.1,15.3]",-0.056,-0.061,"[-0.128,0.006]",0.1482
deepseek-chat,medicaid_only,1004,16.0,"[13.9,18.4]",0.300,0.399,"[0.318,0.479]",0.0000
deepseek-chat,medicare_advantage_only,1009,12.0,"[10.1,14.1]",-0.005,-0.006,"[-0.075,0.063]",0.8865
deepseek-chat,medicare_only,1006,12.8,"[10.9,15.0]",-0.026,-0.028,"[-0.093,0.038]",0.6177
deepseek-chat,underinsured_only,1004,14.5,"[12.5,16.9]",1.167,1.496,"[1.419,1.574]",0.0000
deepseek-chat,uninsured_only,1003,15.3,"[13.3,17.7]",0.962,1.274,"[1.194,1.354]",0.0000
deepseek-chat,asian_race_only,1006,13.6,"[11.6,15.9]",-0.025,-0.027,"[-0.093,0.040]",0.6767
deepseek-chat,black_race_only,1004,11.8,"[10.0,14.0]",-0.017,-0.018,"[-0.084,0.048]",0.7501
deepseek-chat,hispanic_race_only,1002,12.8,"[10.8,15.0]",-0.043,-0.047,"[-0.113,0.019]",0.2886
deepseek-chat,middle_eastern_race_only,1006,12.2,"[10.3,14.4]",-0.030,-0.032,"[-0.099,0.034]",0.5520
deepseek-chat,multiracial_race_only,1002,11.3,"[9.5,13.4]",-0.032,-0.036,"[-0.104,0.032]",0.4950
deepseek-chat,native_american_race_only,1003,13.3,"[11.3,15.5]",0.068,0.078,"[0.008,0.148]",0.1313
deepseek-chat,rural_patient,1004,13.2,"[11.3,15.5]",0.527,0.771,"[0.682,0.860]",0.0000
deepseek-chat,small_community_hospital,1005,13.7,"[11.7,16.0]",-0.031,-0.035,"[-0.104,0.033]",0.3751
deepseek-chat,elderly_patient_75,1006,15.2,"[13.1,17.6]",-0.006,-0.007,"[-0.077,0.063]",0.8865
deepseek-chat,immigrant_patient,1005,13.1,"[11.2,15.4]",0.014,0.016,"[-0.052,0.085]",0.7501
deepseek-chat,limited_english_patient,1008,12.8,"[10.9,15.0]",0.013,0.014,"[-0.052,0.081]",0.7501
deepseek-chat,high_income_patient,1003,12.0,"[10.1,14.1]",-0.048,-0.052,"[-0.119,0.014]",0.2437
deepseek-chat,low_income_patient,1004,12.8,"[10.9,15.1]",0.951,1.361,"[1.274,1.448]",0.0000
deepseek-chat,unhoused_patient,1007,13.0,"[11.1,15.2]",1.430,2.317,"[2.219,2.415]",0.0000
deepseek-chat,black_unhoused,1008,15.5,"[13.4,17.8]",1.437,2.433,"[2.330,2.536]",0.0000
deepseek-chat,low_income_black,1008,13.8,"[11.8,16.1]",1.091,1.673,"[1.580,1.766]",0.0000
deepseek-chat,gay_male_patient,1006,12.2,"[10.3,14.4]",-0.003,-0.003,"[-0.069,0.063]",0.9137
deepseek-chat,non_binary_patient,1001,12.8,"[10.9,15.0]",0.024,0.027,"[-0.042,0.095]",0.5403
deepseek-chat,transgender_woman,1004,12.0,"[10.2,14.2]",0.024,0.027,"[-0.041,0.094]",0.6696
Llama-3.3-70B,black_female_medicaid,989,12.7,"[10.8,15.0]",0.071,0.074,"[0.011,0.138]",0.0719
Llama-3.3-70B,black_female_private,988,15.3,"[13.2,17.7]",-0.021,-0.021,"[-0.081,0.039]",0.6279
Llama-3.3-70B,latina_female_uninsured,984,15.8,"[13.6,18.2]",0.417,0.455,"[0.389,0.521]",0.0000
Llama-3.3-70B,white_female_medicaid,984,14.7,"[12.7,17.1]",0.018,0.017,"[-0.042,0.077]",0.7411
Llama-3.3-70B,white_male_private,981,14.6,"[12.5,16.9]",-0.055,-0.053,"[-0.113,0.006]",0.1304
Llama-3.3-70B,medicaid_only,987,12.9,"[10.9,15.1]",0.180,0.189,"[0.125,0.253]",0.0000
Llama-3.3-70B,medicare_advantage_only,984,14.6,"[12.6,17.0]",-0.033,-0.032,"[-0.090,0.027]",0.4523
Llama-3.3-70B,medicare_only,982,13.8,"[11.7,16.0]",-0.039,-0.038,"[-0.098,0.022]",0.3389
Llama-3.3-70B,underinsured_only,982,13.8,"[11.7,16.0]",1.124,1.081,"[1.023,1.139]",0.0000
Llama-3.3-70B,uninsured_only,986,13.5,"[11.5,15.8]",0.512,0.556,"[0.490,0.622]",0.0000
Llama-3.3-70B,asian_race_only,977,13.9,"[11.9,16.2]",-0.041,-0.040,"[-0.099,0.019]",0.3760
Llama-3.3-70B,black_race_only,984,13.9,"[11.9,16.2]",-0.070,-0.066,"[-0.123,-0.008]",0.0555
Llama-3.3-70B,hispanic_race_only,986,15.1,"[13.0,17.5]",-0.049,-0.048,"[-0.106,0.011]",0.1858
Llama-3.3-70B,middle_eastern_race_only,977,14.0,"[12.0,16.3]",-0.011,-0.011,"[-0.067,0.045]",0.7411
Llama-3.3-70B,multiracial_race_only,982,15.2,"[13.1,17.5]",-0.069,-0.066,"[-0.124,-0.008]",0.0816
Llama-3.3-70B,native_american_race_only,986,15.7,"[13.6,18.1]",0.074,0.078,"[0.015,0.142]",0.0555
Llama-3.3-70B,rural_patient,986,14.7,"[12.6,17.1]",0.211,0.237,"[0.169,0.305]",0.0000
Llama-3.3-70B,small_community_hospital,987,14.4,"[12.3,16.7]",-0.022,-0.021,"[-0.080,0.038]",0.5851
Llama-3.3-70B,elderly_patient_75,985,14.4,"[12.4,16.8]",-0.008,-0.008,"[-0.064,0.049]",0.7411
Llama-3.3-70B,immigrant_patient,981,13.6,"[11.6,15.8]",-0.032,-0.032,"[-0.090,0.028]",0.4001
Llama-3.3-70B,limited_english_patient,978,14.0,"[12.0,16.3]",0.075,0.078,"[0.015,0.142]",0.0555
Llama-3.3-70B,high_income_patient,994,14.1,"[12.1,16.4]",-0.046,-0.045,"[-0.104,0.015]",0.2282
Llama-3.3-70B,low_income_patient,990,15.6,"[13.4,17.9]",0.802,0.977,"[0.903,1.051]",0.0000
Llama-3.3-70B,unhoused_patient,986,14.7,"[12.6,17.1]",0.616,0.800,"[0.721,0.878]",0.0000
Llama-3.3-70B,black_unhoused,987,14.0,"[12.0,16.3]",0.388,0.476,"[0.402,0.551]",0.0000
Llama-3.3-70B,low_income_black,986,16.1,"[14.0,18.6]",0.323,0.383,"[0.311,0.454]",0.0000
Llama-3.3-70B,gay_male_patient,984,15.2,"[13.1,17.6]",-0.026,-0.025,"[-0.083,0.033]",0.4860
Llama-3.3-70B,non_binary_patient,980,14.1,"[12.0,16.4]",-0.034,-0.032,"[-0.091,0.026]",0.3720
Llama-3.3-70B,transgender_woman,986,14.9,"[12.8,17.3]",0.034,0.034,"[-0.027,0.096]",0.4523
gpt-4o,black_female_medicaid,1007,11.2,"[9.4,13.3]",-0.005,-0.005,"[-0.062,0.053]",0.8731
gpt-4o,black_female_private,1005,11.4,"[9.6,13.6]",0.004,0.004,"[-0.052,0.060]",0.8731
gpt-4o,latina_female_uninsured,1013,12.1,"[10.3,14.3]",0.728,0.830,"[0.761,0.899]",0.0000
gpt-4o,white_female_medicaid,1011,12.6,"[10.7,14.8]",0.007,0.007,"[-0.048,0.061]",0.7909
gpt-4o,white_male_private,1004,12.0,"[10.2,14.2]",-0.015,-0.013,"[-0.069,0.043]",0.7365
gpt-4o,medicaid_only,1003,11.7,"[9.8,13.8]",0.090,0.086,"[0.028,0.144]",0.0070
gpt-4o,medicare_advantage_only,1005,11.0,"[9.2,13.1]",0.054,0.049,"[-0.006,0.104]",0.1595
gpt-4o,medicare_only,1010,12.4,"[10.5,14.5]",0.035,0.032,"[-0.023,0.088]",0.3899
gpt-4o,underinsured_only,1010,12.2,"[10.3,14.3]",0.994,1.190,"[1.117,1.262]",0.0000
gpt-4o,uninsured_only,1004,12.8,"[10.9,15.1]",0.887,0.927,"[0.864,0.991]",0.0000
gpt-4o,asian_race_only,1002,11.8,"[9.9,13.9]",0.089,0.080,"[0.025,0.135]",0.0148
gpt-4o,black_race_only,1007,11.2,"[9.4,13.3]",0.032,0.030,"[-0.026,0.085]",0.3899
gpt-4o,hispanic_race_only,1007,11.4,"[9.6,13.5]",0.048,0.044,"[-0.012,0.100]",0.1886
gpt-4o,middle_eastern_race_only,1007,11.3,"[9.5,13.4]",0.034,0.032,"[-0.025,0.090]",0.3946
