variant,group,ct_add,ct_rem,ct_net,ct_p,pall_add,pall_rem,pall_net,pall_p,n
black_race_only,race,682,783,-1.606,0.00896,362,379,-0.27,0.557,6288
hispanic_race_only,race,702,782,-1.272,0.0403,376,396,-0.318,0.494,6288
asian_race_only,race,681,784,-1.638,0.00768,327,376,-0.779,0.0702,6288
native_american_race_only,race,713,770,-0.906,0.146,456,362,1.495,0.00113,6288
middle_eastern_race_only,race,686,830,-2.29,0.000238,399,353,0.732,0.101,6288
multiracial_race_only,race,690,738,-0.763,0.214,351,380,-0.461,0.3,6288
uninsured_only,ses,851,674,2.815,6.43e-06,471,375,1.527,0.00108,6288
medicaid_only,ses,697,838,-2.242,0.000349,471,344,2.02,9.78e-06,6288
underinsured_only,ses,747,736,0.175,0.795,454,370,1.336,0.00381,6288
medicare_only,ses,681,809,-2.036,0.000995,385,370,0.239,0.61,6288
medicare_advantage_only,ses,695,792,-1.543,0.0128,403,376,0.429,0.352,6288
low_income_patient,ses,739,748,-0.143,0.836,505,341,2.608,1.9e-08,6288
high_income_patient,ses,691,730,-0.62,0.313,375,381,-0.095,0.856,6288
unhoused_patient,ses,651,861,-3.34,7.32e-08,710,326,6.107,2.17e-33,6288
rural_patient,geography,719,780,-0.97,0.121,534,333,3.197,8.95e-12,6288
small_community_hospital,geography,676,824,-2.354,0.000146,414,385,0.461,0.322,6288
immigrant_patient,immigration,682,847,-2.624,2.69e-05,384,354,0.477,0.286,6288
limited_english_patient,immigration,652,850,-3.149,3.58e-07,456,345,1.765,9.93e-05,6288
non_binary_patient,gender_sexual,708,777,-1.097,0.0776,400,354,0.732,0.101,6288
transgender_woman,gender_sexual,666,820,-2.449,7.12e-05,434,356,1.24,0.00612,6288
gay_male_patient,gender_sexual,709,777,-1.081,0.0822,378,381,-0.048,0.942,6288
black_female_medicaid,intersectional,715,776,-0.97,0.12,445,350,1.511,0.000846,6288
latina_female_uninsured,intersectional,776,672,1.654,0.00677,591,319,4.326,1.41e-19,6288
black_unhoused,intersectional,683,817,-2.131,0.00059,657,335,5.121,8.38e-25,6288
low_income_black,intersectional,716,774,-0.922,0.14,562,342,3.499,2.49e-13,6288
black_female_private,intersectional,713,764,-0.811,0.193,384,359,0.398,0.379,6288
white_male_private,reference,731,753,-0.35,0.586,337,385,-0.763,0.0802,6288
white_female_medicaid,reference,732,758,-0.413,0.517,435,356,1.256,0.00551,6288
