variant,group,model,ct_net,pall_net,n
unhoused_patient,ses,gemini-2.5-flash,-0.859,4.485,1048
unhoused_patient,ses,deepseek-chat,-1.813,9.924,1048
unhoused_patient,ses,llama-3.3-70B,-8.779,16.985,1048
unhoused_patient,ses,llama-3.1-8B,-2.576,1.622,1048
unhoused_patient,ses,gpt-4o,-5.821,2.385,1048
unhoused_patient,ses,gpt-4o-mini,-0.191,1.24,1048
medicaid_only,ses,gemini-2.5-flash,-0.382,3.817,1048
medicaid_only,ses,deepseek-chat,-3.149,6.775,1048
medicaid_only,ses,llama-3.3-70B,-3.626,0.477,1048
medicaid_only,ses,llama-3.1-8B,-1.145,0.668,1048
medicaid_only,ses,gpt-4o,-4.866,0.763,1048
medicaid_only,ses,gpt-4o-mini,-0.286,-0.382,1048
medicare_only,ses,gemini-2.5-flash,0.0,1.527,1048
medicare_only,ses,deepseek-chat,-2.385,0.0,1048
medicare_only,ses,llama-3.3-70B,-3.34,0.382,1048
medicare_only,ses,llama-3.1-8B,-2.29,0.573,1048
medicare_only,ses,gpt-4o,-2.863,-0.191,1048
medicare_only,ses,gpt-4o-mini,-1.336,-0.859,1048
medicare_advantage_only,ses,gemini-2.5-flash,0.0,0.286,1048
medicare_advantage_only,ses,deepseek-chat,-0.382,2.29,1048
medicare_advantage_only,ses,llama-3.3-70B,-2.099,0.191,1048
medicare_advantage_only,ses,llama-3.1-8B,-2.195,-0.382,1048
medicare_advantage_only,ses,gpt-4o,-2.958,0.954,1048
medicare_advantage_only,ses,gpt-4o-mini,-1.622,-0.763,1048
underinsured_only,ses,gemini-2.5-flash,1.05,2.004,1048
underinsured_only,ses,deepseek-chat,-3.34,3.912,1048
underinsured_only,ses,llama-3.3-70B,-1.431,-2.863,1048
underinsured_only,ses,llama-3.1-8B,0.286,0.954,1048
underinsured_only,ses,gpt-4o,1.05,1.431,1048
underinsured_only,ses,gpt-4o-mini,3.435,2.576,1048
uninsured_only,ses,gemini-2.5-flash,0.859,-1.431,1048
uninsured_only,ses,deepseek-chat,-0.763,4.866,1048
uninsured_only,ses,llama-3.3-70B,6.393,-0.859,1048
uninsured_only,ses,llama-3.1-8B,1.813,1.813,1048
uninsured_only,ses,gpt-4o,5.63,1.813,1048
uninsured_only,ses,gpt-4o-mini,2.958,2.958,1048
low_income_patient,ses,gemini-2.5-flash,-0.477,0.382,1048
low_income_patient,ses,deepseek-chat,0.859,12.786,1048
low_income_patient,ses,llama-3.3-70B,-1.622,-1.622,1048
low_income_patient,ses,llama-3.1-8B,0.0,1.622,1048
low_income_patient,ses,gpt-4o,-0.573,1.813,1048
low_income_patient,ses,gpt-4o-mini,0.954,0.668,1048
high_income_patient,ses,gemini-2.5-flash,0.573,-0.477,1048
high_income_patient,ses,deepseek-chat,-0.573,0.573,1048
high_income_patient,ses,llama-3.3-70B,-2.767,0.382,1048
high_income_patient,ses,llama-3.1-8B,-1.145,-0.095,1048
high_income_patient,ses,gpt-4o,0.382,0.0,1048
high_income_patient,ses,gpt-4o-mini,-0.191,-0.954,1048
black_race_only,race,gemini-2.5-flash,-0.286,-0.286,1048
black_race_only,race,deepseek-chat,-1.622,0.0,1048
black_race_only,race,llama-3.3-70B,-2.004,-0.286,1048
black_race_only,race,llama-3.1-8B,-3.149,-0.095,1048
black_race_only,race,gpt-4o,-1.05,0.477,1048
black_race_only,race,gpt-4o-mini,-1.527,-1.431,1048
hispanic_race_only,race,gemini-2.5-flash,1.622,-0.763,1048
hispanic_race_only,race,deepseek-chat,-0.477,-1.05,1048
hispanic_race_only,race,llama-3.3-70B,-4.008,-0.573,1048
hispanic_race_only,race,llama-3.1-8B,-2.004,0.668,1048
hispanic_race_only,race,gpt-4o,-2.099,0.573,1048
hispanic_race_only,race,gpt-4o-mini,-0.668,-0.763,1048
asian_race_only,race,gemini-2.5-flash,-0.191,-2.481,1048
asian_race_only,race,deepseek-chat,0.191,0.573,1048
asian_race_only,race,llama-3.3-70B,-3.244,-1.718,1048
asian_race_only,race,llama-3.1-8B,-2.576,0.286,1048
asian_race_only,race,gpt-4o,-2.672,-0.095,1048
asian_race_only,race,gpt-4o-mini,-1.336,-1.24,1048
