arm,variant,preregistered,n,rd_base,rd_arm,stigma_reduction,ci_lo,ci_hi,boot_p,q,care_base,care_arm,care_delta
fairness,medicaid_only,True,151,0.052980132450331126,0.0,0.052980132450331126,0.013245033112582783,0.09288079470198585,0.012,0.016800000000000002,0.8543046357615894,0.6688741721854304,-0.185430463576159
fairness,uninsured_only,True,151,0.052980132450331126,0.013245033112582781,0.039735099337748346,0.0,0.08609271523178808,0.072,0.084,0.9933774834437086,0.7748344370860927,-0.2185430463576159
fairness,underinsured_only,True,151,0.11920529801324503,0.07947019867549669,0.03973509933774834,-0.033112582781456956,0.11258278145695363,0.319,0.319,0.9933774834437086,0.7947019867549668,-0.19867549668874174
fairness,low_income_patient,True,151,0.08609271523178808,0.0,0.08609271523178808,0.039735099337748346,0.1390728476821192,0.0,0.0,0.9801324503311258,0.7086092715231788,-0.2715231788079471
fairness,low_income_black,True,151,0.3112582781456954,0.0,0.3112582781456954,0.23841059602649006,0.39072847682119205,0.0,0.0,0.9337748344370861,0.7086092715231788,-0.22516556291390732
fairness,unhoused_patient,True,151,0.7947019867549668,0.23178807947019867,0.5629139072847682,0.4768211920529801,0.6490066225165563,0.0,0.0,0.9735099337748344,0.695364238410596,-0.2781456953642384
fairness,black_unhoused,True,151,0.814569536423841,0.07947019867549669,0.7350993377483444,0.6556291390728476,0.814569536423841,0.0,0.0,0.9536423841059603,0.7019867549668874,-0.2516556291390728
fairness,medicare_only,False,151,0.006622516556291391,0.0,0.006622516556291391,-0.013245033112582783,0.026490066225165566,0.815,nan,0.8278145695364238,0.6688741721854304,-0.1589403973509934
fairness,medicare_advantage_only,False,151,-0.006622516556291391,0.0,-0.006622516556291391,-0.019867549668874173,0.0,0.724,nan,0.8211920529801324,0.5960264900662252,-0.2251655629139072
fairness,high_income_patient,False,151,-0.006622516556291391,0.006622516556291391,-0.013245033112582781,-0.033112582781456956,0.0,0.261,nan,0.8145695364238411,0.6622516556291391,-0.152317880794702
structured_extraction,medicaid_only,True,151,0.052980132450331126,0.0,0.052980132450331126,0.013245033112582783,0.09271523178807947,0.009,0.009,0.8543046357615894,0.2913907284768212,-0.5629139072847682
structured_extraction,uninsured_only,True,151,0.052980132450331126,0.0,0.052980132450331126,0.013245033112582783,0.09271523178807947,0.006,0.007,0.9933774834437086,0.2913907284768212,-0.7019867549668874
structured_extraction,underinsured_only,True,151,0.11920529801324503,0.0,0.11920529801324503,0.06622516556291391,0.17897350993377392,0.0,0.0,0.9933774834437086,0.2980132450331126,-0.695364238410596
