model,stratum,k,n_responses,rate,ci_low_clustered,ci_high_clustered,ci_low_wilson,ci_high_wilson,n_variants,n_cases
gemini-2.5-flash,unhoused,779,1048,0.7433,0.7176,0.7691,0.7160,0.7688,1,1048
gemini-2.5-flash,black_unhoused,783,1048,0.7471,0.7214,0.7729,0.7200,0.7725,1,1048
gemini-2.5-flash,low_income,448,1048,0.4275,0.3979,0.4580,0.3978,0.4576,1,1048
gemini-2.5-flash,underinsured,240,1048,0.2290,0.2042,0.2548,0.2046,0.2554,1,1048
gemini-2.5-flash,uninsured,147,1048,0.1403,0.1202,0.1622,0.1206,0.1626,1,1048
gemini-2.5-flash,race_only,320,6288,0.0509,0.0452,0.0568,0.0457,0.0566,6,1048
gemini-2.5-flash,control,85,2096,0.0406,0.0324,0.0491,0.0329,0.0499,2,1048
deepseek-chat,unhoused,857,1048,0.8177,0.7948,0.8406,0.7932,0.8399,1,1048
deepseek-chat,black_unhoused,877,1048,0.8368,0.8139,0.8588,0.8132,0.8580,1,1048
deepseek-chat,low_income,103,1048,0.0983,0.0811,0.1164,0.0817,0.1178,1,1048
deepseek-chat,underinsured,118,1048,0.1126,0.0935,0.1317,0.0949,0.1332,1,1048
deepseek-chat,uninsured,57,1048,0.0544,0.0410,0.0687,0.0422,0.0698,1,1048
deepseek-chat,race_only,56,6288,0.0089,0.0067,0.0113,0.0069,0.0115,6,1048
deepseek-chat,control,9,2096,0.0043,0.0019,0.0072,0.0023,0.0081,2,1048
llama-3.3-70B,unhoused,430,1048,0.4103,0.3807,0.4408,0.3809,0.4404,1,1048
llama-3.3-70B,black_unhoused,298,1048,0.2844,0.2576,0.3111,0.2579,0.3124,1,1048
llama-3.3-70B,low_income,129,1048,0.1231,0.1040,0.1441,0.1046,0.1444,1,1048
llama-3.3-70B,underinsured,28,1048,0.0267,0.0172,0.0372,0.0185,0.0383,1,1048
llama-3.3-70B,uninsured,13,1048,0.0124,0.0057,0.0200,0.0073,0.0211,1,1048
llama-3.3-70B,race_only,97,6288,0.0154,0.0126,0.0184,0.0127,0.0188,6,1048
llama-3.3-70B,control,6,2096,0.0029,0.0010,0.0052,0.0013,0.0062,2,1048
llama-3.1-8B,unhoused,332,1048,0.3168,0.2891,0.3464,0.2893,0.3456,1,1048
llama-3.1-8B,black_unhoused,228,1048,0.2176,0.1937,0.2433,0.1936,0.2435,1,1048
llama-3.1-8B,low_income,150,1048,0.1431,0.1221,0.1641,0.1232,0.1656,1,1048
llama-3.1-8B,underinsured,146,1048,0.1393,0.1193,0.1613,0.1197,0.1616,1,1048
llama-3.1-8B,uninsured,138,1048,0.1317,0.1116,0.1527,0.1125,0.1535,1,1048
llama-3.1-8B,race_only,686,6288,0.1091,0.1007,0.1177,0.1016,0.1170,6,1048
llama-3.1-8B,control,171,2096,0.0816,0.0701,0.0935,0.0706,0.0941,2,1048
gpt-4o,unhoused,552,1048,0.5267,0.4962,0.5563,0.4964,0.5568,1,1048
gpt-4o,black_unhoused,451,1048,0.4303,0.4008,0.4609,0.4007,0.4605,1,1048
gpt-4o,low_income,339,1048,0.3235,0.2958,0.3521,0.2958,0.3524,1,1048
gpt-4o,underinsured,115,1048,0.1097,0.0906,0.1288,0.0922,0.1301,1,1048
gpt-4o,uninsured,52,1048,0.0496,0.0372,0.0630,0.0380,0.0645,1,1048
gpt-4o,race_only,11,6288,0.0017,0.0008,0.0029,0.0010,0.0031,6,1048
gpt-4o,control,1,2096,0.0005,0.0000,0.0014,0.0001,0.0027,2,1048
gpt-4o-mini,unhoused,22,1048,0.0210,0.0124,0.0305,0.0139,0.0316,1,1048
gpt-4o-mini,black_unhoused,19,1048,0.0181,0.0105,0.0267,0.0116,0.0281,1,1048
gpt-4o-mini,low_income,10,1048,0.0095,0.0038,0.0162,0.0052,0.0175,1,1048
gpt-4o-mini,underinsured,22,1048,0.0210,0.0124,0.0305,0.0139,0.0316,1,1048
gpt-4o-mini,uninsured,71,1048,0.0677,0.0534,0.0840,0.0541,0.0846,1,1048
gpt-4o-mini,race_only,25,6288,0.0040,0.0021,0.0064,0.0027,0.0059,6,1048
gpt-4o-mini,control,2,2096,0.0010,0.0000,0.0024,0.0003,0.0035,2,1048
