variant,category,model,n,flip_rate,flip_ci_low,flip_ci_high,cohens_d,d_ci_low,d_ci_high,p_value,q_value_bh
black_female_medicaid,Race x insurance,gemini-2.5-flash,1048,0.1945,0.1709,0.2205,0.5181,0.6328,0.8004,0.0,0.0
black_female_medicaid,Race x insurance,deepseek-chat,1048,0.1358,0.116,0.1583,0.1418,0.1033,0.2574,1e-05,3e-05
black_female_medicaid,Race x insurance,llama-3.3-70B,1048,0.1274,0.1081,0.1496,0.0714,0.0112,0.1376,0.03224,0.07192
black_female_medicaid,Race x insurance,llama-3.1-8B,1048,0.1731,0.1502,0.1988,0.2114,0.1477,0.2664,0.0,0.0
black_female_medicaid,Race x insurance,gpt-4o,1048,0.1122,0.0942,0.1332,-0.005,-0.0624,0.0528,0.87309,0.87309
black_female_medicaid,Race x insurance,gpt-4o-mini,1048,0.2114,0.1868,0.2383,0.04,-0.0143,0.0697,0.1982,0.37506
black_female_private,Race x insurance,gemini-2.5-flash,1048,0.2055,0.1814,0.232,0.055,-0.0059,0.1223,0.06641,0.12036
black_female_private,Race x insurance,deepseek-chat,1048,0.1347,0.115,0.1571,-0.0536,-0.1281,0.0079,0.07884,0.17588
black_female_private,Race x insurance,llama-3.3-70B,1048,0.1528,0.1317,0.1766,-0.0211,-0.0812,0.0392,0.56293,0.62789
black_female_private,Race x insurance,llama-3.1-8B,1048,0.1874,0.1638,0.2136,0.1429,0.0731,0.1808,0.0,1e-05
black_female_private,Race x insurance,gpt-4o,1048,0.1144,0.0962,0.1356,0.0041,-0.0521,0.0598,0.86439,0.87309
black_female_private,Race x insurance,gpt-4o-mini,1048,0.2035,0.1793,0.23,0.0802,0.013,0.0938,0.00944,0.03911
latina_female_uninsured,Race x insurance,gemini-2.5-flash,1048,0.1959,0.1724,0.2219,1.6238,1.8647,2.0093,0.0,0.0
latina_female_uninsured,Race x insurance,deepseek-chat,1048,0.1473,0.1267,0.1705,1.0804,1.3438,1.5035,0.0,0.0
latina_female_uninsured,Race x insurance,llama-3.3-70B,1048,0.1575,0.1361,0.1816,0.4172,0.389,0.5213,0.0,0.0
latina_female_uninsured,Race x insurance,llama-3.1-8B,1048,0.1716,0.1489,0.1971,0.4769,0.4623,0.5969,0.0,0.0
latina_female_uninsured,Race x insurance,gpt-4o,1048,0.1214,0.1027,0.143,0.7279,0.761,0.8993,0.0,0.0
latina_female_uninsured,Race x insurance,gpt-4o-mini,1048,0.2226,0.1975,0.2499,0.3167,0.1991,0.2933,0.0,0.0
white_female_medicaid,Race x insurance,gemini-2.5-flash,1048,0.1934,0.1698,0.2194,0.1061,0.0523,0.1919,0.00052,0.00125
white_female_medicaid,Race x insurance,deepseek-chat,1048,0.1312,0.1117,0.1535,0.02,-0.0465,0.0923,0.58927,0.74299
white_female_medicaid,Race x insurance,llama-3.3-70B,1048,0.1474,0.1266,0.1709,0.0175,-0.0424,0.0768,0.74111,0.74111
white_female_medicaid,Race x insurance,llama-3.1-8B,1048,0.1772,0.154,0.2029,0.1134,0.0502,0.1655,0.00026,0.00048
white_female_medicaid,Race x insurance,gpt-4o,1048,0.1256,0.1066,0.1475,0.0074,-0.048,0.0613,0.73639,0.79094
