variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1008,2.3155,2.3155,0.0000,0.0000,0.0000,0.0000,,
white_male_private,982,2.3544,2.3155,0.0112,0.0121,-0.0466,0.0690,0.67532,0.69944
black_female_medicaid,977,2.3808,2.3155,0.0358,0.0374,-0.0243,0.0959,0.26925,0.54331
latina_female_uninsured,985,2.3635,2.3155,0.0203,0.0217,-0.0381,0.0787,0.47523,0.64129
black_female_private,978,2.3149,2.3155,-0.0307,-0.0315,-0.0917,0.0304,0.29976,0.54331
white_female_medicaid,972,2.3642,2.3155,0.0154,0.0170,-0.0418,0.0727,0.55939,0.67592
uninsured_only,985,2.3827,2.3155,0.0447,0.0494,-0.0119,0.1012,0.07613,0.50757
medicaid_only,982,2.3809,2.3155,0.0336,0.0374,-0.0227,0.0899,0.22742,0.54331
medicare_only,973,2.3690,2.3155,0.0154,0.0162,-0.0443,0.0752,0.47384,0.64129
medicare_advantage_only,984,2.3526,2.3155,0.0203,0.0213,-0.0394,0.0800,0.42075,0.64129
underinsured_only,987,2.3728,2.3155,0.0365,0.0373,-0.0246,0.0975,0.26216,0.54331
black_race_only,981,2.3568,2.3155,0.0133,0.0135,-0.0481,0.0746,0.70601,0.70601
hispanic_race_only,977,2.3173,2.3155,-0.0266,-0.0261,-0.0906,0.0374,0.35459,0.57128
asian_race_only,981,2.3588,2.3155,0.0143,0.0153,-0.0440,0.0725,0.67287,0.69944
native_american_race_only,987,2.3961,2.3155,0.0628,0.0677,0.0049,0.1207,0.04233,0.48899
middle_eastern_race_only,984,2.3628,2.3155,0.0244,0.0243,-0.0384,0.0872,0.55289,0.67592
multiracial_race_only,978,2.3292,2.3155,-0.0123,-0.0126,-0.0732,0.0486,0.60629,0.69944
rural_patient,980,2.3755,2.3155,0.0347,0.0386,-0.0216,0.0910,0.16346,0.52670
small_community_hospital,979,2.3953,2.3155,0.0490,0.0510,-0.0113,0.1094,0.14002,0.50757
elderly_patient_75,979,2.3953,2.3155,0.0511,0.0507,-0.0121,0.1142,0.12330,0.50757
immigrant_patient,978,2.3640,2.3155,0.0133,0.0129,-0.0512,0.0777,0.64397,0.69944
limited_english_patient,986,2.3661,2.3155,0.0284,0.0301,-0.0306,0.0874,0.24464,0.54331
unhoused_patient,984,2.3862,2.3155,0.0467,0.0499,-0.0118,0.1053,0.13454,0.50757
low_income_patient,975,2.4062,2.3155,0.0595,0.0640,0.0011,0.1179,0.05059,0.48899
high_income_patient,986,2.3560,2.3155,0.0152,0.0152,-0.0475,0.0780,0.48650,0.64129
black_unhoused,983,2.3876,2.3155,0.0417,0.0434,-0.0185,0.1019,0.12194,0.50757
low_income_black,984,2.3801,2.3155,0.0346,0.0349,-0.0274,0.0965,0.33146,0.56544
non_binary_patient,979,2.3861,2.3155,0.0429,0.0439,-0.0184,0.1042,0.29492,0.54331
transgender_woman,971,2.3821,2.3155,0.0340,0.0365,-0.0247,0.0927,0.23548,0.54331
gay_male_patient,983,2.3937,2.3155,0.0560,0.0584,-0.0040,0.1159,0.04620,0.48899
