variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1008,6.1280,6.1280,0.0000,0.0000,0.0000,0.0000,,
white_male_private,982,6.2200,6.1280,0.0560,0.0558,-0.0068,0.1189,0.04923,0.28146
black_female_medicaid,977,6.2057,6.1280,0.0276,0.0255,-0.0405,0.0958,0.31567,0.53109
latina_female_uninsured,985,6.1736,6.1280,0.0102,0.0105,-0.0506,0.0709,0.97759,0.97759
black_female_private,978,6.1687,6.1280,-0.0010,-0.0010,-0.0661,0.0641,0.93833,0.97759
white_female_medicaid,972,6.1883,6.1280,0.0031,0.0031,-0.0594,0.0656,0.93797,0.97759
uninsured_only,985,6.2132,6.1280,0.0508,0.0510,-0.0114,0.1130,0.09281,0.31399
medicaid_only,982,6.2047,6.1280,0.0326,0.0349,-0.0259,0.0911,0.29917,0.53109
medicare_only,973,6.2323,6.1280,0.0483,0.0486,-0.0142,0.1108,0.22406,0.47573
medicare_advantage_only,984,6.1931,6.1280,0.0305,0.0328,-0.0277,0.0886,0.32964,0.53109
underinsured_only,987,6.2148,6.1280,0.0578,0.0565,-0.0061,0.1216,0.05273,0.28146
black_race_only,981,6.1927,6.1280,0.0285,0.0272,-0.0373,0.0944,0.32631,0.53109
hispanic_race_only,977,6.1689,6.1280,0.0051,0.0050,-0.0589,0.0691,0.90523,0.97759
asian_race_only,981,6.1998,6.1280,0.0224,0.0232,-0.0382,0.0830,0.54302,0.71580
native_american_race_only,987,6.2168,6.1280,0.0567,0.0574,-0.0050,0.1185,0.06830,0.28297
middle_eastern_race_only,984,6.1728,6.1280,0.0102,0.0095,-0.0565,0.0768,0.59303,0.74773
multiracial_race_only,978,6.1575,6.1280,-0.0164,-0.0160,-0.0807,0.0480,0.65398,0.79023
rural_patient,980,6.1847,6.1280,0.0194,0.0197,-0.0424,0.0812,0.41735,0.60516
small_community_hospital,979,6.2114,6.1280,0.0409,0.0403,-0.0228,0.1045,0.13836,0.40126
elderly_patient_75,979,6.2084,6.1280,0.0368,0.0353,-0.0286,0.1021,0.22966,0.47573
immigrant_patient,978,6.1779,6.1280,0.0041,0.0038,-0.0640,0.0722,0.97741,0.97759
limited_english_patient,986,6.2059,6.1280,0.0436,0.0450,-0.0169,0.1041,0.22068,0.47573
unhoused_patient,984,6.2520,6.1280,0.0854,0.0932,0.0281,0.1427,0.00495,0.14357
low_income_patient,975,6.2369,6.1280,0.0585,0.0584,-0.0044,0.1214,0.05429,0.28146
high_income_patient,986,6.1968,6.1280,0.0345,0.0328,-0.0313,0.1002,0.39959,0.60516
black_unhoused,983,6.2116,6.1280,0.0509,0.0511,-0.0114,0.1131,0.09744,0.31399
low_income_black,984,6.2134,6.1280,0.0427,0.0418,-0.0212,0.1066,0.21869,0.47573
non_binary_patient,979,6.2308,6.1280,0.0644,0.0626,-0.0001,0.1288,0.03132,0.28146
transgender_woman,971,6.1957,6.1280,0.0154,0.0154,-0.0477,0.0786,0.48634,0.67162
gay_male_patient,983,6.2269,6.1280,0.0610,0.0628,0.0002,0.1219,0.05823,0.28146
