variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1015,2.5813,2.5813,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1003,2.5922,2.5813,0.0020,0.0030,-0.0389,0.0429,0.88804,0.94395
black_female_medicaid,1009,2.5768,2.5813,-0.0119,-0.0176,-0.0536,0.0298,0.63863,0.94395
latina_female_uninsured,1005,2.5692,2.5813,-0.0199,-0.0282,-0.0636,0.0238,0.37799,0.90098
black_female_private,1010,2.5535,2.5813,-0.0337,-0.0482,-0.0768,0.0095,0.13534,0.65416
white_female_medicaid,1006,2.5954,2.5813,0.0050,0.0072,-0.0376,0.0475,0.79777,0.94395
uninsured_only,1003,2.5733,2.5813,-0.0209,-0.0295,-0.0649,0.0230,0.36062,0.90098
medicaid_only,1004,2.5578,2.5813,-0.0349,-0.0479,-0.0800,0.0102,0.12592,0.65416
medicare_only,1006,2.5805,2.5813,-0.0129,-0.0183,-0.0565,0.0307,0.52816,0.90098
medicare_advantage_only,1009,2.5828,2.5813,-0.0030,-0.0048,-0.0413,0.0354,0.91140,0.94395
underinsured_only,1004,2.5657,2.5813,-0.0259,-0.0383,-0.0678,0.0160,0.22395,0.90098
black_race_only,1004,2.5946,2.5813,0.0010,0.0016,-0.0379,0.0399,0.98267,0.98267
hispanic_race_only,1002,2.5878,2.5813,-0.0060,-0.0086,-0.0491,0.0371,0.81671,0.94395
asian_race_only,1006,2.5726,2.5813,-0.0219,-0.0328,-0.0632,0.0194,0.32097,0.90098
native_american_race_only,1003,2.5952,2.5813,0.0040,0.0064,-0.0348,0.0427,0.83560,0.94395
middle_eastern_race_only,1006,2.6034,2.5813,0.0139,0.0209,-0.0273,0.0551,0.47687,0.90098
multiracial_race_only,1002,2.5749,2.5813,-0.0230,-0.0350,-0.0636,0.0177,0.28354,0.90098
rural_patient,1004,2.5797,2.5813,-0.0129,-0.0186,-0.0561,0.0302,0.58895,0.94395
small_community_hospital,1005,2.5552,2.5813,-0.0368,-0.0535,-0.0794,0.0058,0.10609,0.65416
elderly_patient_75,1006,2.5557,2.5813,-0.0358,-0.0514,-0.0788,0.0073,0.10090,0.65416
immigrant_patient,1005,2.5701,2.5813,-0.0179,-0.0265,-0.0597,0.0239,0.41235,0.90098
limited_english_patient,1008,2.5962,2.5813,0.0060,0.0090,-0.0348,0.0467,0.75871,0.94395
unhoused_patient,1007,2.5829,2.5813,-0.0060,-0.0090,-0.0468,0.0348,0.72897,0.94395
low_income_patient,1004,2.5966,2.5813,0.0020,0.0030,-0.0392,0.0432,0.82954,0.94395
high_income_patient,1003,2.5902,2.5813,-0.0050,-0.0075,-0.0462,0.0362,0.85908,0.94395
black_unhoused,1008,2.5466,2.5813,-0.0407,-0.0562,-0.0854,0.0041,0.08716,0.65416
low_income_black,1008,2.5714,2.5813,-0.0159,-0.0234,-0.0578,0.0261,0.49726,0.90098
non_binary_patient,1001,2.5814,2.5813,-0.0150,-0.0222,-0.0569,0.0269,0.47057,0.90098
transgender_woman,1004,2.5717,2.5813,-0.0179,-0.0274,-0.0585,0.0226,0.37551,0.90098
gay_male_patient,1006,2.5616,2.5813,-0.0328,-0.0504,-0.0731,0.0075,0.11969,0.65416
