variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1015,6.2759,6.2759,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1003,6.2971,6.2759,0.0050,0.0055,-0.0510,0.0610,0.72071,0.98410
black_female_medicaid,1009,6.2825,6.2759,-0.0030,-0.0033,-0.0593,0.0534,0.88530,0.98410
latina_female_uninsured,1005,6.2577,6.2759,-0.0299,-0.0319,-0.0878,0.0281,0.13115,0.76069
black_female_private,1010,6.2554,6.2759,-0.0297,-0.0298,-0.0913,0.0319,0.19896,0.78049
white_female_medicaid,1006,6.2813,6.2759,-0.0060,-0.0063,-0.0646,0.0526,0.94900,0.98410
uninsured_only,1003,6.2832,6.2759,-0.0110,-0.0127,-0.0644,0.0425,0.33543,0.88432
medicaid_only,1004,6.2490,6.2759,-0.0388,-0.0405,-0.0982,0.0205,0.10487,0.76069
medicare_only,1006,6.2843,6.2759,-0.0089,-0.0100,-0.0642,0.0463,0.69639,0.98410
medicare_advantage_only,1009,6.2983,6.2759,0.0139,0.0159,-0.0400,0.0677,0.98410,0.98410
underinsured_only,1004,6.2341,6.2759,-0.0588,-0.0655,-0.1143,-0.0032,0.03455,0.76069
black_race_only,1004,6.2779,6.2759,-0.0169,-0.0189,-0.0723,0.0385,0.60517,0.98410
hispanic_race_only,1002,6.3194,6.2759,0.0220,0.0251,-0.0323,0.0762,0.75275,0.98410
asian_race_only,1006,6.2604,6.2759,-0.0348,-0.0380,-0.0914,0.0218,0.21117,0.78049
native_american_race_only,1003,6.2921,6.2759,0.0000,0.0000,-0.0545,0.0545,0.86535,0.98410
middle_eastern_race_only,1006,6.3250,6.2759,0.0368,0.0420,-0.0174,0.0909,0.21531,0.78049
multiracial_race_only,1002,6.2745,6.2759,-0.0230,-0.0239,-0.0824,0.0365,0.40169,0.97076
rural_patient,1004,6.2629,6.2759,-0.0279,-0.0287,-0.0881,0.0324,0.57852,0.98410
small_community_hospital,1005,6.2687,6.2759,-0.0239,-0.0266,-0.0795,0.0318,0.29973,0.86922
elderly_patient_75,1006,6.2674,6.2759,-0.0239,-0.0279,-0.0769,0.0291,0.10968,0.76069
immigrant_patient,1005,6.2896,6.2759,0.0010,0.0012,-0.0508,0.0528,0.85247,0.98410
limited_english_patient,1008,6.2946,6.2759,0.0060,0.0067,-0.0489,0.0608,0.80946,0.98410
unhoused_patient,1007,6.3128,6.2759,0.0248,0.0280,-0.0300,0.0796,0.72709,0.98410
low_income_patient,1004,6.3058,6.2759,0.0120,0.0145,-0.0393,0.0632,0.81817,0.98410
high_income_patient,1003,6.3021,6.2759,0.0060,0.0067,-0.0496,0.0616,0.88948,0.98410
black_unhoused,1008,6.2431,6.2759,-0.0427,-0.0431,-0.1038,0.0185,0.12035,0.76069
low_income_black,1008,6.2867,6.2759,0.0030,0.0031,-0.0555,0.0614,0.97592,0.98410
non_binary_patient,1001,6.2727,6.2759,-0.0270,-0.0309,-0.0811,0.0271,0.24734,0.79699
transgender_woman,1004,6.2869,6.2759,0.0000,0.0000,-0.0536,0.0536,0.78336,0.98410
gay_male_patient,1006,6.2704,6.2759,-0.0239,-0.0273,-0.0779,0.0302,0.47028,0.98410
