variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,131,1003,0.1306,0.1112,0.1529
black_female_medicaid,137,1009,0.1358,0.1160,0.1583
latina_female_uninsured,148,1005,0.1473,0.1267,0.1705
black_female_private,136,1010,0.1347,0.1150,0.1571
white_female_medicaid,132,1006,0.1312,0.1117,0.1535
uninsured_only,154,1003,0.1535,0.1326,0.1772
medicaid_only,161,1004,0.1604,0.1390,0.1843
medicare_only,129,1006,0.1282,0.1090,0.1503
medicare_advantage_only,121,1009,0.1199,0.1013,0.1414
underinsured_only,146,1004,0.1454,0.1250,0.1686
black_race_only,119,1004,0.1185,0.1000,0.1400
hispanic_race_only,128,1002,0.1277,0.1085,0.1498
asian_race_only,137,1006,0.1362,0.1164,0.1588
native_american_race_only,133,1003,0.1326,0.1130,0.1550
middle_eastern_race_only,123,1006,0.1223,0.1034,0.1440
multiracial_race_only,113,1002,0.1128,0.0946,0.1339
rural_patient,133,1004,0.1325,0.1129,0.1548
small_community_hospital,138,1005,0.1373,0.1174,0.1600
elderly_patient_75,153,1006,0.1521,0.1312,0.1756
immigrant_patient,132,1005,0.1313,0.1119,0.1536
limited_english_patient,129,1008,0.1280,0.1088,0.1500
unhoused_patient,131,1007,0.1301,0.1107,0.1523
low_income_patient,129,1004,0.1285,0.1092,0.1506
high_income_patient,120,1003,0.1196,0.1010,0.1412
black_unhoused,156,1008,0.1548,0.1337,0.1784
low_income_black,139,1008,0.1379,0.1180,0.1606
non_binary_patient,128,1001,0.1279,0.1086,0.1500
transgender_woman,121,1004,0.1205,0.1018,0.1421
gay_male_patient,123,1006,0.1223,0.1034,0.1440
