variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1048,-0.1059,-0.1059,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1048,-0.1670,-0.1059,-0.0611,-0.0555,-0.1278,0.0056,0.06134,0.14824
black_female_medicaid,1048,0.0744,-0.1059,0.1803,0.1418,0.1033,0.2574,0.00001,0.00003
latina_female_uninsured,1048,1.3177,-0.1059,1.4237,1.0804,1.3438,1.5035,0.00000,0.00000
black_female_private,1048,-0.1660,-0.1059,-0.0601,-0.0536,-0.1281,0.0079,0.07884,0.17588
white_female_medicaid,1048,-0.0830,-0.1059,0.0229,0.0200,-0.0465,0.0923,0.58927,0.74299
uninsured_only,1048,1.1679,-0.1059,1.2739,0.9624,1.1936,1.3541,0.00000,0.00000
medicaid_only,1048,0.2929,-0.1059,0.3989,0.3003,0.3183,0.4794,0.00000,0.00000
medicare_only,1048,-0.1336,-0.1059,-0.0277,-0.0257,-0.0929,0.0376,0.42602,0.61774
medicare_advantage_only,1048,-0.1116,-0.1059,-0.0057,-0.0050,-0.0746,0.0631,0.85594,0.88651
underinsured_only,1048,1.3903,-0.1059,1.4962,1.1673,1.4185,1.5739,0.00000,0.00000
black_race_only,1048,-0.1240,-0.1059,-0.0181,-0.0166,-0.0844,0.0482,0.67253,0.75013
hispanic_race_only,1048,-0.1527,-0.1059,-0.0468,-0.0428,-0.1130,0.0195,0.14926,0.28857
asian_race_only,1048,-0.1326,-0.1059,-0.0267,-0.0245,-0.0929,0.0395,0.51337,0.67672
native_american_race_only,1048,-0.0277,-0.1059,0.0782,0.0675,0.0080,0.1485,0.04981,0.13131
middle_eastern_race_only,1048,-0.1384,-0.1059,-0.0324,-0.0297,-0.0987,0.0338,0.36164,0.55197
multiracial_race_only,1048,-0.1422,-0.1059,-0.0363,-0.0324,-0.1040,0.0315,0.29015,0.49496
rural_patient,1048,0.6651,-0.1059,0.7710,0.5272,0.6824,0.8596,0.00000,0.00000
small_community_hospital,1048,-0.1412,-0.1059,-0.0353,-0.0312,-0.1039,0.0333,0.20696,0.37511
elderly_patient_75,1048,-0.1126,-0.1059,-0.0067,-0.0058,-0.0767,0.0634,0.83794,0.88651
immigrant_patient,1048,-0.0897,-0.1059,0.0162,0.0144,-0.0523,0.0847,0.66819,0.75013
limited_english_patient,1048,-0.0916,-0.1059,0.0143,0.0131,-0.0520,0.0807,0.66651,0.75013
unhoused_patient,1048,2.2109,-0.1059,2.3168,1.4304,2.2186,2.4150,0.00000,0.00000
low_income_patient,1048,1.2548,-0.1059,1.3607,0.9505,1.2739,1.4475,0.00000,0.00000
high_income_patient,1048,-0.1584,-0.1059,-0.0525,-0.0478,-0.1191,0.0141,0.11763,0.24367
black_unhoused,1048,2.3273,-0.1059,2.4332,1.4367,2.3305,2.5359,0.00000,0.00000
low_income_black,1048,1.5668,-0.1059,1.6727,1.0906,1.5797,1.7657,0.00000,0.00000
non_binary_patient,1048,-0.0792,-0.1059,0.0267,0.0237,-0.0415,0.0950,0.33537,0.54031
transgender_woman,1048,-0.0792,-0.1059,0.0267,0.0240,-0.0408,0.0942,0.48491,0.66964
gay_male_patient,1048,-0.1088,-0.1059,-0.0029,-0.0026,-0.0688,0.0631,0.91369,0.91369
