variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,191,982,0.1945,0.1710,0.2204
black_female_medicaid,190,977,0.1945,0.1709,0.2205
latina_female_uninsured,193,985,0.1959,0.1724,0.2219
black_female_private,201,978,0.2055,0.1814,0.2320
white_female_medicaid,188,972,0.1934,0.1698,0.2194
uninsured_only,185,985,0.1878,0.1647,0.2134
medicaid_only,171,982,0.1741,0.1517,0.1991
medicare_only,189,973,0.1942,0.1706,0.2203
medicare_advantage_only,184,984,0.1870,0.1639,0.2126
underinsured_only,201,987,0.2036,0.1797,0.2299
black_race_only,195,981,0.1988,0.1750,0.2249
hispanic_race_only,200,977,0.2047,0.1806,0.2311
asian_race_only,185,981,0.1886,0.1653,0.2143
native_american_race_only,185,987,0.1874,0.1643,0.2130
middle_eastern_race_only,196,984,0.1992,0.1754,0.2253
multiracial_race_only,198,978,0.2025,0.1785,0.2288
rural_patient,167,980,0.1704,0.1482,0.1952
small_community_hospital,199,979,0.2033,0.1792,0.2296
elderly_patient_75,207,979,0.2114,0.1870,0.2381
immigrant_patient,210,978,0.2147,0.1901,0.2415
limited_english_patient,189,986,0.1917,0.1683,0.2174
unhoused_patient,188,984,0.1911,0.1677,0.2168
low_income_patient,185,975,0.1897,0.1664,0.2156
high_income_patient,214,986,0.2170,0.1924,0.2438
black_unhoused,195,983,0.1984,0.1746,0.2245
low_income_black,198,984,0.2012,0.1774,0.2274
non_binary_patient,194,979,0.1982,0.1744,0.2243
transgender_woman,198,971,0.2039,0.1798,0.2304
gay_male_patient,201,983,0.2045,0.1804,0.2308
