variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,985,2.0416,2.0416,0.0000,0.0000,0.0000,0.0000,,
white_male_private,968,2.0362,2.0416,-0.0155,-0.0191,-0.0667,0.0357,0.55063,0.90853
black_female_medicaid,965,2.0570,2.0416,0.0021,0.0026,-0.0489,0.0531,0.96967,0.98466
latina_female_uninsured,966,2.0528,2.0416,0.0000,0.0000,-0.0528,0.0528,0.98466,0.98466
black_female_private,968,2.0362,2.0416,-0.0186,-0.0222,-0.0714,0.0342,0.50274,0.90853
white_female_medicaid,970,2.0691,2.0416,0.0186,0.0234,-0.0315,0.0686,0.51828,0.90853
uninsured_only,959,2.0261,2.0416,-0.0344,-0.0417,-0.0868,0.0179,0.29152,0.90853
medicaid_only,966,2.0487,2.0416,-0.0083,-0.0098,-0.0617,0.0452,0.67057,0.90853
medicare_only,963,2.0415,2.0416,-0.0166,-0.0206,-0.0677,0.0345,0.58670,0.90853
medicare_advantage_only,970,2.0649,2.0416,0.0124,0.0151,-0.0394,0.0641,0.62839,0.90853
underinsured_only,966,2.0642,2.0416,0.0052,0.0060,-0.0495,0.0598,0.89478,0.98466
black_race_only,968,2.0310,2.0416,-0.0248,-0.0304,-0.0762,0.0266,0.29835,0.90853
hispanic_race_only,966,2.0663,2.0416,0.0135,0.0174,-0.0354,0.0624,0.56983,0.90853
asian_race_only,962,2.0572,2.0416,0.0010,0.0013,-0.0505,0.0526,0.93745,0.98466
native_american_race_only,963,2.0717,2.0416,0.0135,0.0163,-0.0388,0.0658,0.52261,0.90853
middle_eastern_race_only,967,2.0403,2.0416,-0.0103,-0.0125,-0.0625,0.0418,0.64160,0.90853
multiracial_race_only,969,2.0392,2.0416,-0.0083,-0.0103,-0.0589,0.0424,0.67150,0.90853
rural_patient,961,2.0406,2.0416,-0.0239,-0.0288,-0.0765,0.0287,0.35496,0.90853
small_community_hospital,971,2.0639,2.0416,0.0124,0.0147,-0.0405,0.0652,0.68923,0.90853
elderly_patient_75,971,2.0391,2.0416,-0.0154,-0.0186,-0.0678,0.0369,0.68234,0.90853
immigrant_patient,965,2.0446,2.0416,-0.0145,-0.0189,-0.0631,0.0341,0.53914,0.90853
limited_english_patient,972,2.0473,2.0416,-0.0062,-0.0076,-0.0574,0.0450,0.83318,0.98466
unhoused_patient,963,2.0540,2.0416,-0.0062,-0.0073,-0.0600,0.0476,0.86063,0.98466
low_income_patient,964,2.0768,2.0416,0.0156,0.0194,-0.0351,0.0662,0.46828,0.90853
high_income_patient,970,2.0258,2.0416,-0.0227,-0.0279,-0.0739,0.0285,0.36202,0.90853
black_unhoused,972,2.0309,2.0416,-0.0226,-0.0267,-0.0760,0.0307,0.42578,0.90853
low_income_black,967,2.0331,2.0416,-0.0228,-0.0291,-0.0720,0.0265,0.36056,0.90853
non_binary_patient,969,2.0485,2.0416,-0.0052,-0.0060,-0.0596,0.0493,0.80905,0.98466
transgender_woman,966,2.0269,2.0416,-0.0248,-0.0286,-0.0797,0.0300,0.35475,0.90853
gay_male_patient,967,2.0393,2.0416,-0.0155,-0.0188,-0.0676,0.0366,0.60663,0.90853
