variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,985,5.7563,5.7563,0.0000,0.0000,0.0000,0.0000,,
white_male_private,968,5.7417,5.7563,-0.0269,-0.0294,-0.0846,0.0308,0.37221,0.95653
black_female_medicaid,965,5.7648,5.7563,-0.0062,-0.0066,-0.0655,0.0531,0.86748,0.95653
latina_female_uninsured,966,5.7805,5.7563,0.0093,0.0105,-0.0466,0.0652,0.77059,0.95653
black_female_private,968,5.7345,5.7563,-0.0424,-0.0462,-0.1001,0.0154,0.13983,0.95175
white_female_medicaid,970,5.7773,5.7563,0.0124,0.0146,-0.0411,0.0658,0.66396,0.95653
uninsured_only,959,5.7456,5.7563,-0.0344,-0.0398,-0.0892,0.0204,0.16779,0.95175
medicaid_only,966,5.7743,5.7563,0.0052,0.0059,-0.0499,0.0602,0.97996,0.97996
medicare_only,963,5.7362,5.7563,-0.0395,-0.0440,-0.0961,0.0172,0.21667,0.95175
medicare_advantage_only,970,5.7608,5.7563,-0.0062,-0.0067,-0.0645,0.0521,0.89056,0.95653
underinsured_only,966,5.7857,5.7563,0.0062,0.0066,-0.0536,0.0660,0.87997,0.95653
black_race_only,968,5.7417,5.7563,-0.0258,-0.0282,-0.0836,0.0319,0.44889,0.95653
hispanic_race_only,966,5.7474,5.7563,-0.0238,-0.0279,-0.0776,0.0300,0.31942,0.95653
asian_race_only,962,5.7568,5.7563,-0.0177,-0.0202,-0.0731,0.0378,0.61919,0.95653
native_american_race_only,963,5.7747,5.7563,-0.0010,-0.0011,-0.0587,0.0566,0.87708,0.95653
middle_eastern_race_only,967,5.7497,5.7563,-0.0155,-0.0180,-0.0698,0.0388,0.53931,0.95653
multiracial_race_only,969,5.7606,5.7563,-0.0041,-0.0043,-0.0642,0.0559,0.85490,0.95653
rural_patient,961,5.7732,5.7563,-0.0114,-0.0127,-0.0683,0.0454,0.69032,0.95653
small_community_hospital,971,5.7961,5.7563,0.0288,0.0316,-0.0287,0.0864,0.22973,0.95175
elderly_patient_75,971,5.7539,5.7563,-0.0175,-0.0181,-0.0783,0.0432,0.61902,0.95653
immigrant_patient,965,5.7648,5.7563,-0.0093,-0.0109,-0.0634,0.0448,0.65184,0.95653
limited_english_patient,972,5.7500,5.7563,-0.0216,-0.0248,-0.0764,0.0331,0.46923,0.95653
unhoused_patient,963,5.7414,5.7563,-0.0374,-0.0409,-0.0952,0.0205,0.17556,0.95175
low_income_patient,964,5.7770,5.7563,0.0021,0.0024,-0.0531,0.0573,0.97138,0.97996
high_income_patient,970,5.7381,5.7563,-0.0268,-0.0305,-0.0822,0.0286,0.29273,0.95653
black_unhoused,972,5.7191,5.7563,-0.0463,-0.0510,-0.1034,0.0108,0.09624,0.95175
low_income_black,967,5.7859,5.7563,0.0114,0.0126,-0.0458,0.0685,0.70415,0.95653
non_binary_patient,969,5.7245,5.7563,-0.0464,-0.0501,-0.1049,0.0120,0.12639,0.95175
transgender_woman,966,5.7578,5.7563,-0.0104,-0.0108,-0.0706,0.0499,0.73511,0.95653
gay_male_patient,967,5.7570,5.7563,-0.0145,-0.0153,-0.0743,0.0453,0.65957,0.95653
