variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,199,968,0.2056,0.1813,0.2322
black_female_medicaid,204,965,0.2114,0.1868,0.2383
latina_female_uninsured,215,966,0.2226,0.1975,0.2499
black_female_private,197,968,0.2035,0.1793,0.2300
white_female_medicaid,198,970,0.2041,0.1799,0.2306
uninsured_only,223,959,0.2325,0.2069,0.2603
medicaid_only,209,966,0.2164,0.1915,0.2434
medicare_only,211,963,0.2191,0.1941,0.2463
medicare_advantage_only,221,970,0.2278,0.2025,0.2553
underinsured_only,228,966,0.2360,0.2103,0.2638
black_race_only,211,968,0.2180,0.1931,0.2451
hispanic_race_only,199,966,0.2060,0.1817,0.2326
asian_race_only,211,962,0.2193,0.1943,0.2466
native_american_race_only,215,963,0.2233,0.1981,0.2506
middle_eastern_race_only,212,967,0.2192,0.1943,0.2464
multiracial_race_only,209,969,0.2157,0.1909,0.2427
rural_patient,216,961,0.2248,0.1995,0.2522
small_community_hospital,202,971,0.2080,0.1837,0.2347
elderly_patient_75,220,971,0.2266,0.2013,0.2539
immigrant_patient,201,965,0.2083,0.1839,0.2350
limited_english_patient,213,972,0.2191,0.1943,0.2462
unhoused_patient,219,963,0.2274,0.2021,0.2549
low_income_patient,214,964,0.2220,0.1969,0.2493
high_income_patient,206,970,0.2124,0.1878,0.2392
black_unhoused,234,972,0.2407,0.2149,0.2686
low_income_black,224,967,0.2316,0.2061,0.2593
non_binary_patient,224,969,0.2312,0.2057,0.2587
transgender_woman,230,966,0.2381,0.2123,0.2660
gay_male_patient,222,967,0.2296,0.2042,0.2571
