variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1048,-0.2510,-0.2510,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1048,-0.2548,-0.2510,-0.0038,-0.0058,-0.0434,0.0357,0.83208,0.83208
black_female_medicaid,1048,-0.2233,-0.2510,0.0277,0.0400,-0.0143,0.0697,0.19820,0.37506
latina_female_uninsured,1048,-0.0048,-0.2510,0.2462,0.3167,0.1991,0.2933,0.00000,0.00000
black_female_private,1048,-0.1975,-0.2510,0.0534,0.0802,0.0130,0.0938,0.00944,0.03911
white_female_medicaid,1048,-0.2271,-0.2510,0.0239,0.0365,-0.0157,0.0634,0.23934,0.38560
uninsured_only,1048,0.3845,-0.2510,0.6355,0.7042,0.5808,0.6902,0.00000,0.00000
medicaid_only,1048,-0.2385,-0.2510,0.0124,0.0177,-0.0302,0.0550,0.53784,0.70898
medicare_only,1048,-0.2452,-0.2510,0.0057,0.0084,-0.0354,0.0469,0.78523,0.81760
medicare_advantage_only,1048,-0.2443,-0.2510,0.0067,0.0092,-0.0371,0.0505,0.78940,0.81760
underinsured_only,1048,0.4017,-0.2510,0.6527,0.7574,0.6004,0.7049,0.00000,0.00000
black_race_only,1048,-0.2605,-0.2510,-0.0095,-0.0140,-0.0508,0.0318,0.65944,0.79682
hispanic_race_only,1048,-0.2595,-0.2510,-0.0086,-0.0125,-0.0501,0.0329,0.69504,0.79744
asian_race_only,1048,-0.2252,-0.2510,0.0258,0.0377,-0.0156,0.0672,0.20757,0.37506
native_american_race_only,1048,-0.2176,-0.2510,0.0334,0.0492,-0.0077,0.0745,0.11693,0.24220
middle_eastern_race_only,1048,-0.2118,-0.2510,0.0391,0.0569,-0.0026,0.0808,0.06340,0.15321
multiracial_race_only,1048,-0.2376,-0.2510,0.0134,0.0197,-0.0277,0.0544,0.50358,0.69543
rural_patient,1048,-0.1994,-0.2510,0.0515,0.0763,0.0106,0.0924,0.01513,0.05484
small_community_hospital,1048,-0.2128,-0.2510,0.0382,0.0550,-0.0039,0.0802,0.05910,0.15321
elderly_patient_75,1048,-0.1594,-0.2510,0.0916,0.1306,0.0491,0.1341,0.00003,0.00015
immigrant_patient,1048,-0.2052,-0.2510,0.0458,0.0671,0.0044,0.0872,0.03012,0.08734
limited_english_patient,1048,-0.2242,-0.2510,0.0267,0.0385,-0.0153,0.0687,0.21986,0.37506
unhoused_patient,1048,-0.1851,-0.2510,0.0658,0.0941,0.0234,0.1082,0.00242,0.01168
low_income_patient,1048,-0.1527,-0.2510,0.0983,0.1329,0.0534,0.1431,0.00002,0.00012
high_income_patient,1048,-0.2424,-0.2510,0.0086,0.0126,-0.0327,0.0498,0.71495,0.79744
black_unhoused,1048,-0.2004,-0.2510,0.0506,0.0701,0.0069,0.0943,0.02603,0.08388
low_income_black,1048,-0.2090,-0.2510,0.0420,0.0568,-0.0028,0.0868,0.07520,0.16775
non_binary_patient,1048,-0.2729,-0.2510,-0.0219,-0.0319,-0.0637,0.0198,0.30398,0.46396
transgender_woman,1048,-0.2729,-0.2510,-0.0219,-0.0308,-0.0651,0.0212,0.34037,0.49354
gay_male_patient,1048,-0.2405,-0.2510,0.0105,0.0151,-0.0318,0.0528,0.60866,0.76744
