variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1020,2.5725,2.5725,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1004,2.5757,2.5725,-0.0139,-0.0234,-0.0508,0.0229,0.46152,0.83215
black_female_medicaid,1007,2.5978,2.5725,0.0109,0.0190,-0.0246,0.0465,0.54422,0.83215
latina_female_uninsured,1013,2.5726,2.5725,-0.0079,-0.0128,-0.0459,0.0301,0.62029,0.83215
black_female_private,1005,2.5940,2.5725,0.0090,0.0145,-0.0293,0.0472,0.57798,0.83215
white_female_medicaid,1011,2.5638,2.5725,-0.0178,-0.0275,-0.0578,0.0222,0.33542,0.69480
uninsured_only,1004,2.5637,2.5725,-0.0209,-0.0328,-0.0604,0.0186,0.27452,0.66343
medicaid_only,1003,2.5823,2.5725,-0.0060,-0.0100,-0.0431,0.0312,0.80889,0.88695
medicare_only,1010,2.5554,2.5725,-0.0238,-0.0426,-0.0582,0.0107,0.19366,0.61037
medicare_advantage_only,1005,2.5711,2.5725,-0.0139,-0.0242,-0.0496,0.0218,0.39392,0.76158
underinsured_only,1010,2.5644,2.5725,-0.0208,-0.0319,-0.0610,0.0194,0.30286,0.67561
black_race_only,1007,2.5740,2.5725,-0.0089,-0.0154,-0.0449,0.0271,0.66756,0.83215
hispanic_race_only,1007,2.5740,2.5725,-0.0089,-0.0153,-0.0451,0.0273,0.58669,0.83215
asian_race_only,1002,2.5609,2.5725,-0.0279,-0.0468,-0.0650,0.0091,0.12959,0.52266
native_american_race_only,1005,2.5333,2.5725,-0.0507,-0.0845,-0.0879,-0.0136,0.00764,0.22151
middle_eastern_race_only,1007,2.5740,2.5725,-0.0070,-0.0116,-0.0441,0.0302,0.71737,0.83215
multiracial_race_only,1003,2.5484,2.5725,-0.0359,-0.0573,-0.0747,0.0029,0.08620,0.52266
rural_patient,1009,2.5510,2.5725,-0.0278,-0.0471,-0.0641,0.0086,0.14418,0.52266
small_community_hospital,1003,2.5892,2.5725,0.0000,0.0000,-0.0360,0.0360,0.87816,0.88812
elderly_patient_75,1008,2.5417,2.5725,-0.0397,-0.0644,-0.0778,-0.0016,0.04161,0.51019
immigrant_patient,1014,2.5523,2.5725,-0.0247,-0.0404,-0.0622,0.0129,0.23152,0.61037
limited_english_patient,1007,2.5740,2.5725,-0.0119,-0.0196,-0.0495,0.0257,0.52017,0.83215
unhoused_patient,1002,2.5579,2.5725,-0.0329,-0.0513,-0.0727,0.0068,0.10256,0.52266
low_income_patient,1003,2.5663,2.5725,-0.0219,-0.0399,-0.0560,0.0122,0.21711,0.61037
high_income_patient,1003,2.5494,2.5725,-0.0369,-0.0628,-0.0733,-0.0005,0.05278,0.51019
black_unhoused,1000,2.5940,2.5725,0.0060,0.0105,-0.0296,0.0416,0.71618,0.83215
low_income_black,1004,2.5598,2.5725,-0.0259,-0.0456,-0.0611,0.0093,0.14022,0.52266
non_binary_patient,1004,2.5867,2.5725,0.0010,0.0016,-0.0378,0.0398,0.88812,0.88812
transgender_woman,1004,2.5906,2.5725,0.0030,0.0047,-0.0360,0.0420,0.82578,0.88695
gay_male_patient,1006,2.5726,2.5725,-0.0089,-0.0155,-0.0446,0.0267,0.66983,0.83215
