variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1020,6.3216,6.3216,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1004,6.3566,6.3216,0.0139,0.0216,-0.0261,0.0540,0.30031,0.73345
black_female_medicaid,1007,6.3515,6.3216,0.0109,0.0179,-0.0268,0.0487,0.75730,0.91506
latina_female_uninsured,1013,6.3366,6.3216,0.0020,0.0031,-0.0367,0.0406,0.92767,0.96966
black_female_private,1005,6.3522,6.3216,0.0139,0.0210,-0.0271,0.0550,0.45524,0.73345
white_female_medicaid,1011,6.3046,6.3216,-0.0307,-0.0460,-0.0718,0.0104,0.08592,0.62470
uninsured_only,1004,6.3207,6.3216,-0.0199,-0.0298,-0.0613,0.0215,0.20320,0.73345
medicaid_only,1003,6.3370,6.3216,-0.0040,-0.0062,-0.0441,0.0361,0.93623,0.96966
medicare_only,1010,6.3248,6.3216,-0.0089,-0.0139,-0.0484,0.0306,0.45065,0.73345
medicare_advantage_only,1005,6.3274,6.3216,-0.0159,-0.0244,-0.0563,0.0245,0.37273,0.73345
underinsured_only,1010,6.3178,6.3216,-0.0188,-0.0265,-0.0626,0.0249,0.44718,0.73345
black_race_only,1007,6.3615,6.3216,0.0248,0.0384,-0.0151,0.0648,0.28263,0.73345
hispanic_race_only,1007,6.3357,6.3216,-0.0030,-0.0049,-0.0405,0.0346,0.98106,0.98106
asian_race_only,1002,6.3164,6.3216,-0.0309,-0.0502,-0.0691,0.0073,0.04968,0.62470
native_american_race_only,1005,6.3075,6.3216,-0.0328,-0.0499,-0.0735,0.0079,0.05375,0.62470
middle_eastern_race_only,1007,6.3208,6.3216,-0.0139,-0.0218,-0.0534,0.0256,0.43523,0.73345
multiracial_race_only,1003,6.3141,6.3216,-0.0249,-0.0345,-0.0697,0.0198,0.26694,0.73345
rural_patient,1009,6.3043,6.3216,-0.0307,-0.0473,-0.0709,0.0094,0.11022,0.63930
small_community_hospital,1003,6.3360,6.3216,-0.0120,-0.0203,-0.0485,0.0245,0.45023,0.73345
elderly_patient_75,1008,6.3105,6.3216,-0.0288,-0.0491,-0.0650,0.0075,0.08617,0.62470
immigrant_patient,1014,6.3146,6.3216,-0.0118,-0.0176,-0.0532,0.0295,0.52712,0.80456
limited_english_patient,1007,6.3347,6.3216,-0.0030,-0.0051,-0.0389,0.0329,0.60516,0.83570
unhoused_patient,1002,6.3293,6.3216,-0.0200,-0.0298,-0.0615,0.0216,0.17858,0.73345
low_income_patient,1003,6.3360,6.3216,-0.0090,-0.0149,-0.0464,0.0284,0.58411,0.83570
high_income_patient,1003,6.3300,6.3216,-0.0160,-0.0251,-0.0553,0.0234,0.15643,0.73345
black_unhoused,1000,6.3500,6.3216,0.0000,0.0000,-0.0392,0.0392,0.87705,0.96966
low_income_black,1004,6.3416,6.3216,-0.0030,-0.0048,-0.0413,0.0353,0.65581,0.84587
non_binary_patient,1004,6.3307,6.3216,-0.0070,-0.0101,-0.0496,0.0356,0.67086,0.84587
transgender_woman,1004,6.3536,6.3216,0.0070,0.0114,-0.0309,0.0448,0.39497,0.73345
gay_male_patient,1006,6.3390,6.3216,0.0010,0.0017,-0.0361,0.0381,0.87921,0.96966
