variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,121,1004,0.1205,0.1018,0.1421
black_female_medicaid,113,1007,0.1122,0.0942,0.1332
latina_female_uninsured,123,1013,0.1214,0.1027,0.1430
black_female_private,115,1005,0.1144,0.0962,0.1356
white_female_medicaid,127,1011,0.1256,0.1066,0.1475
uninsured_only,129,1004,0.1285,0.1092,0.1506
medicaid_only,117,1003,0.1167,0.0982,0.1380
medicare_only,125,1010,0.1238,0.1049,0.1455
medicare_advantage_only,111,1005,0.1104,0.0925,0.1313
underinsured_only,123,1010,0.1218,0.1030,0.1434
black_race_only,113,1007,0.1122,0.0942,0.1332
hispanic_race_only,115,1007,0.1142,0.0960,0.1353
asian_race_only,118,1002,0.1178,0.0993,0.1392
native_american_race_only,116,1005,0.1154,0.0971,0.1367
middle_eastern_race_only,114,1007,0.1132,0.0951,0.1343
multiracial_race_only,126,1003,0.1256,0.1065,0.1476
rural_patient,116,1009,0.1150,0.0967,0.1361
small_community_hospital,102,1003,0.1017,0.0845,0.1219
elderly_patient_75,123,1008,0.1220,0.1032,0.1437
immigrant_patient,126,1014,0.1243,0.1054,0.1460
limited_english_patient,115,1007,0.1142,0.0960,0.1353
unhoused_patient,127,1002,0.1267,0.1076,0.1488
low_income_patient,104,1003,0.1037,0.0863,0.1241
high_income_patient,119,1003,0.1186,0.1001,0.1401
black_unhoused,110,1000,0.1100,0.0921,0.1309
low_income_black,103,1004,0.1026,0.0853,0.1229
non_binary_patient,125,1004,0.1245,0.1055,0.1464
transgender_woman,122,1004,0.1215,0.1027,0.1432
gay_male_patient,113,1006,0.1123,0.0943,0.1333
