variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1048,-0.0926,-0.0926,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1048,-0.1059,-0.0926,-0.0134,-0.0145,-0.0694,0.0426,0.66033,0.73653
black_female_medicaid,1048,-0.0973,-0.0926,-0.0048,-0.0050,-0.0624,0.0528,0.87309,0.87309
latina_female_uninsured,1048,0.7376,-0.0926,0.8302,0.7279,0.7610,0.8993,0.00000,0.00000
black_female_private,1048,-0.0887,-0.0926,0.0038,0.0041,-0.0521,0.0598,0.86439,0.87309
white_female_medicaid,1048,-0.0859,-0.0926,0.0067,0.0074,-0.0480,0.0613,0.73639,0.79094
uninsured_only,1048,0.8349,-0.0926,0.9275,0.8871,0.8641,0.9909,0.00000,0.00000
medicaid_only,1048,-0.0067,-0.0926,0.0859,0.0900,0.0281,0.1437,0.00217,0.00698
medicare_only,1048,-0.0601,-0.0926,0.0324,0.0353,-0.0232,0.0881,0.24216,0.38993
medicare_advantage_only,1048,-0.0439,-0.0926,0.0487,0.0536,-0.0064,0.1037,0.08251,0.15953
underinsured_only,1048,1.0973,-0.0926,1.1899,0.9944,1.1174,1.2624,0.00000,0.00000
black_race_only,1048,-0.0630,-0.0926,0.0296,0.0323,-0.0260,0.0852,0.25547,0.38993
hispanic_race_only,1048,-0.0487,-0.0926,0.0439,0.0477,-0.0119,0.0997,0.10406,0.18861
asian_race_only,1048,-0.0124,-0.0926,0.0802,0.0886,0.0253,0.1350,0.00510,0.01478
native_american_race_only,1048,-0.0391,-0.0926,0.0534,0.0567,-0.0037,0.1106,0.07404,0.15337
middle_eastern_race_only,1048,-0.0601,-0.0926,0.0324,0.0344,-0.0248,0.0897,0.28427,0.39464
multiracial_race_only,1048,-0.0716,-0.0926,0.0210,0.0222,-0.0364,0.0783,0.48045,0.58055
rural_patient,1048,-0.0582,-0.0926,0.0344,0.0352,-0.0247,0.0934,0.29938,0.39464
small_community_hospital,1048,-0.0458,-0.0926,0.0468,0.0501,-0.0098,0.1033,0.12645,0.21571
elderly_patient_75,1048,-0.0372,-0.0926,0.0553,0.0612,0.0005,0.1102,0.05266,0.12725
immigrant_patient,1048,-0.0363,-0.0926,0.0563,0.0599,-0.0007,0.1133,0.06339,0.14141
limited_english_patient,1048,-0.0229,-0.0926,0.0697,0.0694,0.0088,0.1305,0.01699,0.04480
unhoused_patient,1048,0.8884,-0.0926,0.9809,0.7703,0.9037,1.0581,0.00000,0.00000
low_income_patient,1048,1.1116,-0.0926,1.2042,0.9005,1.1231,1.2853,0.00000,0.00000
high_income_patient,1048,0.0210,-0.0926,0.1135,0.1252,0.0586,0.1685,0.00005,0.00017
black_unhoused,1048,0.7128,-0.0926,0.8053,0.6526,0.7305,0.8801,0.00000,0.00000
low_income_black,1048,0.7510,-0.0926,0.8435,0.6465,0.7644,0.9226,0.00000,0.00000
non_binary_patient,1048,-0.0773,-0.0926,0.0153,0.0165,-0.0408,0.0713,0.55149,0.63973
transgender_woman,1048,-0.0677,-0.0926,0.0248,0.0263,-0.0323,0.0819,0.40685,0.51299
gay_male_patient,1048,-0.0658,-0.0926,0.0267,0.0297,-0.0278,0.0812,0.29268,0.39464
