variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1003,2.3081,2.3081,0.0000,0.0000,0.0000,0.0000,,
white_male_private,981,2.3354,2.3081,0.0224,0.0318,-0.0218,0.0666,0.34681,0.92085
black_female_medicaid,989,2.3387,2.3081,0.0202,0.0295,-0.0225,0.0630,0.36548,0.92085
latina_female_uninsured,984,2.3343,2.3081,0.0244,0.0330,-0.0218,0.0706,0.23336,0.92085
black_female_private,988,2.3077,2.3081,-0.0121,-0.0164,-0.0583,0.0340,0.58821,0.92085
white_female_medicaid,984,2.3089,2.3081,-0.0041,-0.0054,-0.0509,0.0427,0.80410,0.92085
uninsured_only,986,2.3529,2.3081,0.0396,0.0595,-0.0020,0.0811,0.08184,0.92085
medicaid_only,987,2.2979,2.3081,-0.0182,-0.0274,-0.0598,0.0233,0.39256,0.92085
medicare_only,982,2.3320,2.3081,0.0153,0.0214,-0.0295,0.0600,0.50039,0.92085
medicare_advantage_only,984,2.3191,2.3081,0.0020,0.0028,-0.0433,0.0474,0.92085,0.92085
underinsured_only,982,2.3442,2.3081,0.0305,0.0445,-0.0125,0.0736,0.19776,0.92085
black_race_only,984,2.3222,2.3081,0.0102,0.0143,-0.0343,0.0546,0.49915,0.92085
hispanic_race_only,986,2.3103,2.3081,-0.0061,-0.0081,-0.0532,0.0410,0.82142,0.92085
asian_race_only,977,2.2999,2.3081,-0.0154,-0.0226,-0.0580,0.0273,0.41953,0.92085
native_american_race_only,986,2.3479,2.3081,0.0365,0.0499,-0.0092,0.0822,0.14323,0.92085
middle_eastern_race_only,977,2.3081,2.3081,-0.0092,-0.0129,-0.0540,0.0356,0.60929,0.92085
multiracial_race_only,982,2.3248,2.3081,0.0031,0.0042,-0.0421,0.0482,0.71587,0.92085
rural_patient,986,2.3479,2.3081,0.0335,0.0471,-0.0110,0.0779,0.18605,0.92085
small_community_hospital,987,2.3121,2.3081,0.0000,0.0000,-0.0439,0.0439,0.89595,0.92085
elderly_patient_75,985,2.3665,2.3081,0.0457,0.0647,0.0015,0.0899,0.05325,0.92085
immigrant_patient,981,2.3150,2.3081,-0.0051,-0.0076,-0.0469,0.0367,0.79866,0.92085
limited_english_patient,978,2.3078,2.3081,-0.0112,-0.0158,-0.0558,0.0333,0.48719,0.92085
unhoused_patient,986,2.3256,2.3081,0.0101,0.0138,-0.0357,0.0560,0.73880,0.92085
low_income_patient,990,2.3061,2.3081,-0.0061,-0.0083,-0.0516,0.0395,0.63477,0.92085
high_income_patient,994,2.3199,2.3081,0.0091,0.0133,-0.0334,0.0516,0.51451,0.92085
black_unhoused,987,2.3364,2.3081,0.0172,0.0236,-0.0284,0.0629,0.46118,0.92085
low_income_black,986,2.3164,2.3081,0.0020,0.0026,-0.0463,0.0504,0.90791,0.92085
non_binary_patient,980,2.3153,2.3081,0.0061,0.0089,-0.0371,0.0494,0.80612,0.92085
transgender_woman,986,2.3083,2.3081,-0.0051,-0.0069,-0.0508,0.0406,0.85585,0.92085
gay_male_patient,984,2.3069,2.3081,-0.0091,-0.0124,-0.0551,0.0368,0.77037,0.92085
