variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1003,6.1017,6.1017,0.0000,0.0000,0.0000,0.0000,,
white_male_private,981,6.1274,6.1017,0.0112,0.0155,-0.0341,0.0565,0.65712,0.87390
black_female_medicaid,989,6.1395,6.1017,0.0212,0.0312,-0.0212,0.0637,0.24069,0.66845
latina_female_uninsured,984,6.1372,6.1017,0.0335,0.0467,-0.0114,0.0785,0.13864,0.66845
black_female_private,988,6.1022,6.1017,-0.0162,-0.0220,-0.0621,0.0297,0.53861,0.87390
white_female_medicaid,984,6.0996,6.1017,-0.0112,-0.0148,-0.0585,0.0362,0.58537,0.87390
uninsured_only,986,6.1602,6.1017,0.0456,0.0672,0.0032,0.0881,0.02998,0.66845
medicaid_only,987,6.1064,6.1017,-0.0071,-0.0103,-0.0502,0.0360,0.86871,0.90326
medicare_only,982,6.1436,6.1017,0.0244,0.0351,-0.0192,0.0680,0.32062,0.77483
medicare_advantage_only,984,6.1250,6.1017,0.0122,0.0174,-0.0316,0.0560,0.61064,0.87390
underinsured_only,982,6.1415,6.1017,0.0265,0.0374,-0.0178,0.0708,0.17578,0.66845
black_race_only,984,6.1382,6.1017,0.0285,0.0408,-0.0152,0.0721,0.19220,0.66845
hispanic_race_only,986,6.1136,6.1017,-0.0041,-0.0052,-0.0531,0.0450,0.87211,0.90326
asian_race_only,977,6.0942,6.1017,-0.0317,-0.0469,-0.0742,0.0107,0.15703,0.66845
native_american_race_only,986,6.1481,6.1017,0.0335,0.0446,-0.0134,0.0803,0.15825,0.66845
middle_eastern_race_only,977,6.1157,6.1017,-0.0010,-0.0014,-0.0469,0.0448,0.83599,0.90326
multiracial_race_only,982,6.1171,6.1017,0.0010,0.0014,-0.0430,0.0450,0.97603,0.97603
rural_patient,986,6.1359,6.1017,0.0243,0.0343,-0.0201,0.0688,0.18719,0.66845
small_community_hospital,987,6.1023,6.1017,-0.0152,-0.0221,-0.0582,0.0278,0.51566,0.87390
elderly_patient_75,985,6.1553,6.1017,0.0315,0.0441,-0.0131,0.0760,0.11704,0.66845
immigrant_patient,981,6.1193,6.1017,-0.0071,-0.0103,-0.0507,0.0364,0.75336,0.87390
limited_english_patient,978,6.1115,6.1017,-0.0123,-0.0173,-0.0568,0.0323,0.70580,0.87390
unhoused_patient,986,6.1359,6.1017,0.0172,0.0228,-0.0300,0.0645,0.40717,0.87390
low_income_patient,990,6.0879,6.1017,-0.0202,-0.0261,-0.0685,0.0281,0.59342,0.87390
high_income_patient,994,6.1167,6.1017,0.0070,0.0105,-0.0349,0.0490,0.74198,0.87390
black_unhoused,987,6.1398,6.1017,0.0253,0.0344,-0.0207,0.0713,0.23815,0.66845
low_income_black,986,6.1187,6.1017,0.0030,0.0038,-0.0464,0.0525,0.74843,0.87390
non_binary_patient,980,6.1429,6.1017,0.0265,0.0391,-0.0160,0.0691,0.25355,0.66845
transgender_woman,986,6.1308,6.1017,0.0172,0.0235,-0.0285,0.0630,0.45719,0.87390
gay_male_patient,984,6.1331,6.1017,0.0152,0.0217,-0.0288,0.0593,0.53888,0.87390
