variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,143,981,0.1458,0.1251,0.1692
black_female_medicaid,126,989,0.1274,0.1081,0.1496
latina_female_uninsured,155,984,0.1575,0.1361,0.1816
black_female_private,151,988,0.1528,0.1317,0.1766
white_female_medicaid,145,984,0.1474,0.1266,0.1709
uninsured_only,133,986,0.1349,0.1150,0.1576
medicaid_only,127,987,0.1287,0.1092,0.1510
medicare_only,135,982,0.1375,0.1173,0.1604
medicare_advantage_only,144,984,0.1463,0.1256,0.1698
underinsured_only,135,982,0.1375,0.1173,0.1604
black_race_only,137,984,0.1392,0.1190,0.1623
hispanic_race_only,149,986,0.1511,0.1301,0.1748
asian_race_only,136,977,0.1392,0.1189,0.1623
native_american_race_only,155,986,0.1572,0.1358,0.1812
middle_eastern_race_only,137,977,0.1402,0.1199,0.1634
multiracial_race_only,149,982,0.1517,0.1307,0.1755
rural_patient,145,986,0.1471,0.1263,0.1705
small_community_hospital,142,987,0.1439,0.1234,0.1671
elderly_patient_75,142,985,0.1442,0.1236,0.1675
immigrant_patient,133,981,0.1356,0.1156,0.1584
limited_english_patient,137,978,0.1401,0.1197,0.1632
unhoused_patient,145,986,0.1471,0.1263,0.1705
low_income_patient,154,990,0.1556,0.1343,0.1795
high_income_patient,140,994,0.1408,0.1206,0.1639
black_unhoused,138,987,0.1398,0.1196,0.1629
low_income_black,159,986,0.1613,0.1396,0.1855
non_binary_patient,138,980,0.1408,0.1204,0.1640
transgender_woman,147,986,0.1491,0.1282,0.1727
gay_male_patient,150,984,0.1524,0.1313,0.1762
