variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1048,-0.3740,-0.3740,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1048,-0.4275,-0.3740,-0.0534,-0.0546,-0.1128,0.0059,0.06744,0.13038
black_female_medicaid,1048,-0.2996,-0.3740,0.0744,0.0714,0.0112,0.1376,0.03224,0.07192
latina_female_uninsured,1048,0.0811,-0.3740,0.4552,0.4172,0.3890,0.5213,0.00000,0.00000
black_female_private,1048,-0.3950,-0.3740,-0.0210,-0.0211,-0.0812,0.0392,0.56293,0.62789
white_female_medicaid,1048,-0.3569,-0.3740,0.0172,0.0175,-0.0424,0.0768,0.74111,0.74111
uninsured_only,1048,0.1823,-0.3740,0.5563,0.5123,0.4905,0.6221,0.00000,0.00000
medicaid_only,1048,-0.1851,-0.3740,0.1889,0.1802,0.1254,0.2525,0.00000,0.00000
medicare_only,1048,-0.4122,-0.3740,-0.0382,-0.0386,-0.0981,0.0218,0.21038,0.33894
medicare_advantage_only,1048,-0.4055,-0.3740,-0.0315,-0.0328,-0.0896,0.0267,0.34681,0.45229
underinsured_only,1048,0.7071,-0.3740,1.0811,1.1243,1.0228,1.1394,0.00000,0.00000
black_race_only,1048,-0.4399,-0.3740,-0.0658,-0.0695,-0.1233,-0.0084,0.02297,0.05552
hispanic_race_only,1048,-0.4218,-0.3740,-0.0477,-0.0492,-0.1065,0.0110,0.10253,0.18583
asian_race_only,1048,-0.4141,-0.3740,-0.0401,-0.0412,-0.0991,0.0189,0.25932,0.37601
native_american_race_only,1048,-0.2958,-0.3740,0.0782,0.0745,0.0146,0.1419,0.02253,0.05552
middle_eastern_race_only,1048,-0.3845,-0.3740,-0.0105,-0.0114,-0.0665,0.0455,0.71183,0.74111
multiracial_race_only,1048,-0.4399,-0.3740,-0.0658,-0.0685,-0.1241,-0.0076,0.03937,0.08156
rural_patient,1048,-0.1374,-0.3740,0.2366,0.2106,0.1685,0.3047,0.00000,0.00000
small_community_hospital,1048,-0.3950,-0.3740,-0.0210,-0.0216,-0.0799,0.0379,0.50443,0.58514
elderly_patient_75,1048,-0.3817,-0.3740,-0.0076,-0.0082,-0.0641,0.0488,0.71694,0.74111
immigrant_patient,1048,-0.4055,-0.3740,-0.0315,-0.0324,-0.0904,0.0275,0.28974,0.40012
limited_english_patient,1048,-0.2958,-0.3740,0.0782,0.0747,0.0147,0.1418,0.02090,0.05552
unhoused_patient,1048,0.4256,-0.3740,0.7996,0.6161,0.7209,0.8783,0.00000,0.00000
low_income_patient,1048,0.6031,-0.3740,0.9771,0.8016,0.9032,1.0510,0.00000,0.00000
high_income_patient,1048,-0.4189,-0.3740,-0.0448,-0.0456,-0.1044,0.0147,0.13380,0.22824
black_unhoused,1048,0.1021,-0.3740,0.4761,0.3877,0.4017,0.5506,0.00000,0.00000
low_income_black,1048,0.0086,-0.3740,0.3826,0.3232,0.3109,0.4544,0.00000,0.00000
non_binary_patient,1048,-0.4065,-0.3740,-0.0324,-0.0338,-0.0907,0.0258,0.24375,0.37204
transgender_woman,1048,-0.3397,-0.3740,0.0344,0.0338,-0.0272,0.0959,0.35872,0.45229
gay_male_patient,1048,-0.3989,-0.3740,-0.0248,-0.0260,-0.0826,0.0330,0.40224,0.48604
