variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,979,1.8764,1.8764,0.0000,0.0000,0.0000,0.0000,,
white_male_private,925,1.8962,1.8764,0.0043,0.0067,-0.0371,0.0457,0.88396,0.97106
black_female_medicaid,930,1.8785,1.8764,-0.0075,-0.0115,-0.0495,0.0344,0.71556,0.97106
latina_female_uninsured,938,1.8838,1.8764,-0.0117,-0.0204,-0.0485,0.0251,0.51133,0.87227
black_female_private,939,1.8829,1.8764,-0.0138,-0.0221,-0.0540,0.0263,0.49166,0.87227
white_female_medicaid,937,1.8655,1.8764,-0.0256,-0.0411,-0.0656,0.0143,0.14856,0.53852
uninsured_only,930,1.8559,1.8764,-0.0312,-0.0465,-0.0744,0.0120,0.12246,0.53852
medicaid_only,928,1.8815,1.8764,-0.0205,-0.0332,-0.0602,0.0193,0.29506,0.65820
medicare_only,933,1.8735,1.8764,-0.0236,-0.0362,-0.0654,0.0183,0.23173,0.61093
medicare_advantage_only,942,1.8333,1.8764,-0.0679,-0.1040,-0.1097,-0.0262,0.00153,0.04426
underinsured_only,928,1.8524,1.8764,-0.0463,-0.0732,-0.0871,-0.0056,0.03536,0.26179
black_race_only,931,1.8904,1.8764,-0.0129,-0.0216,-0.0513,0.0255,0.45681,0.87227
hispanic_race_only,946,1.8911,1.8764,0.0042,0.0066,-0.0367,0.0451,0.83589,0.97106
asian_race_only,932,1.8573,1.8764,-0.0461,-0.0670,-0.0904,-0.0019,0.03611,0.26179
native_american_race_only,936,1.9006,1.8764,0.0021,0.0035,-0.0369,0.0412,0.93758,0.97106
middle_eastern_race_only,942,1.8524,1.8764,-0.0382,-0.0651,-0.0758,-0.0007,0.02216,0.26179
multiracial_race_only,944,1.8983,1.8764,0.0074,0.0118,-0.0326,0.0475,0.72713,0.97106
rural_patient,934,1.8865,1.8764,0.0021,0.0034,-0.0385,0.0428,0.91727,0.97106
small_community_hospital,930,1.8710,1.8764,-0.0161,-0.0279,-0.0533,0.0211,0.26448,0.63915
elderly_patient_75,934,1.8983,1.8764,0.0075,0.0112,-0.0356,0.0506,0.89229,0.97106
immigrant_patient,928,1.8836,1.8764,-0.0216,-0.0357,-0.0604,0.0173,0.22758,0.61093
limited_english_patient,936,1.8803,1.8764,-0.0032,-0.0051,-0.0432,0.0368,0.72839,0.97106
unhoused_patient,934,1.9015,1.8764,-0.0021,-0.0033,-0.0432,0.0389,0.84471,0.97106
low_income_patient,934,1.8672,1.8764,-0.0246,-0.0406,-0.0635,0.0143,0.21014,0.61093
high_income_patient,943,1.8887,1.8764,0.0053,0.0085,-0.0347,0.0453,0.78569,0.97106
black_unhoused,935,1.8866,1.8764,-0.0053,-0.0082,-0.0470,0.0363,0.76254,0.97106
low_income_black,931,1.8872,1.8764,-0.0290,-0.0448,-0.0707,0.0127,0.13827,0.53852
non_binary_patient,942,1.9055,1.8764,0.0149,0.0240,-0.0248,0.0545,0.47330,0.87227
transgender_woman,940,1.9234,1.8764,0.0362,0.0593,-0.0028,0.0752,0.10203,0.53852
gay_male_patient,930,1.9032,1.8764,0.0032,0.0051,-0.0379,0.0443,0.97632,0.97632
