variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,979,5.6977,5.6977,0.0000,0.0000,0.0000,0.0000,,
white_male_private,925,5.7286,5.6977,0.0000,0.0000,-0.0458,0.0458,0.92264,0.95559
black_female_medicaid,930,5.7054,5.6977,-0.0226,-0.0321,-0.0679,0.0227,0.32263,0.59500
latina_female_uninsured,938,5.6855,5.6977,-0.0405,-0.0583,-0.0850,0.0040,0.05132,0.26023
black_female_private,939,5.6997,5.6977,-0.0213,-0.0300,-0.0667,0.0241,0.34986,0.59500
white_female_medicaid,937,5.7065,5.6977,-0.0171,-0.0241,-0.0626,0.0284,0.25243,0.52289
uninsured_only,930,5.6774,5.6977,-0.0344,-0.0503,-0.0784,0.0096,0.06281,0.26023
medicaid_only,928,5.7015,5.6977,-0.0323,-0.0479,-0.0758,0.0112,0.11528,0.33432
medicare_only,933,5.7170,5.6977,-0.0182,-0.0254,-0.0644,0.0279,0.41035,0.59500
medicare_advantage_only,942,5.6805,5.6977,-0.0552,-0.0804,-0.0991,-0.0113,0.01425,0.26023
underinsured_only,928,5.6853,5.6977,-0.0409,-0.0590,-0.0857,0.0038,0.05730,0.26023
black_race_only,931,5.7229,5.6977,-0.0075,-0.0116,-0.0493,0.0343,0.50505,0.63680
hispanic_race_only,946,5.7188,5.6977,-0.0011,-0.0014,-0.0485,0.0464,0.85186,0.95015
asian_race_only,932,5.6888,5.6977,-0.0429,-0.0567,-0.0916,0.0058,0.04976,0.26023
native_american_race_only,936,5.7222,5.6977,-0.0139,-0.0192,-0.0604,0.0326,0.47325,0.63680
middle_eastern_race_only,942,5.6911,5.6977,-0.0340,-0.0495,-0.0778,0.0099,0.09197,0.33339
multiracial_race_only,944,5.7161,5.6977,0.0021,0.0029,-0.0449,0.0491,0.97324,0.97324
rural_patient,934,5.7099,5.6977,-0.0161,-0.0227,-0.0616,0.0295,0.40919,0.59500
small_community_hospital,930,5.6785,5.6977,-0.0376,-0.0574,-0.0798,0.0046,0.03446,0.26023
elderly_patient_75,934,5.7120,5.6977,-0.0011,-0.0015,-0.0479,0.0458,0.78164,0.90671
immigrant_patient,928,5.7080,5.6977,-0.0194,-0.0281,-0.0639,0.0251,0.23368,0.52129
limited_english_patient,936,5.7276,5.6977,0.0118,0.0162,-0.0348,0.0583,0.88970,0.95559
unhoused_patient,934,5.7013,5.6977,-0.0300,-0.0448,-0.0729,0.0130,0.15486,0.40826
low_income_patient,934,5.6959,5.6977,-0.0310,-0.0449,-0.0755,0.0134,0.17024,0.41141
high_income_patient,943,5.7253,5.6977,0.0095,0.0134,-0.0359,0.0550,0.66790,0.80705
black_unhoused,935,5.7358,5.6977,0.0246,0.0320,-0.0247,0.0739,0.38663,0.59500
low_income_black,931,5.6960,5.6977,-0.0365,-0.0494,-0.0841,0.0111,0.11351,0.33432
non_binary_patient,942,5.7335,5.6977,0.0127,0.0178,-0.0331,0.0586,0.49167,0.63680
transgender_woman,940,5.7596,5.6977,0.0404,0.0592,-0.0033,0.0842,0.05569,0.26023
gay_male_patient,930,5.7108,5.6977,-0.0183,-0.0246,-0.0661,0.0295,0.38718,0.59500
