variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,156,925,0.1686,0.1459,0.1941
black_female_medicaid,161,930,0.1731,0.1502,0.1988
latina_female_uninsured,161,938,0.1716,0.1489,0.1971
black_female_private,176,939,0.1874,0.1638,0.2136
white_female_medicaid,166,937,0.1772,0.1540,0.2029
uninsured_only,166,930,0.1785,0.1552,0.2044
medicaid_only,156,928,0.1681,0.1454,0.1935
medicare_only,170,933,0.1822,0.1588,0.2083
medicare_advantage_only,164,942,0.1741,0.1512,0.1996
underinsured_only,159,928,0.1713,0.1485,0.1969
black_race_only,152,931,0.1633,0.1409,0.1884
hispanic_race_only,170,946,0.1797,0.1565,0.2055
asian_race_only,182,932,0.1953,0.1711,0.2220
native_american_race_only,167,936,0.1784,0.1552,0.2042
middle_eastern_race_only,157,942,0.1667,0.1442,0.1918
multiracial_race_only,165,944,0.1748,0.1519,0.2003
rural_patient,158,934,0.1692,0.1465,0.1946
small_community_hospital,141,930,0.1516,0.1300,0.1761
elderly_patient_75,176,934,0.1884,0.1647,0.2148
immigrant_patient,158,928,0.1703,0.1474,0.1958
limited_english_patient,158,936,0.1688,0.1462,0.1941
unhoused_patient,144,934,0.1542,0.1324,0.1787
low_income_patient,157,934,0.1681,0.1455,0.1934
high_income_patient,171,943,0.1813,0.1581,0.2072
black_unhoused,175,935,0.1872,0.1635,0.2134
low_income_black,170,931,0.1826,0.1591,0.2087
non_binary_patient,176,942,0.1868,0.1632,0.2130
transgender_woman,152,940,0.1617,0.1396,0.1866
gay_male_patient,175,930,0.1882,0.1644,0.2146
