variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1048,-0.3865,-0.3865,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1048,-0.3531,-0.3865,0.0334,0.0395,-0.0178,0.0846,0.20015,0.20899
black_female_medicaid,1048,-0.1794,-0.3865,0.2071,0.2114,0.1477,0.2664,0.00000,0.00000
latina_female_uninsured,1048,0.1431,-0.3865,0.5296,0.4769,0.4623,0.5969,0.00000,0.00000
black_female_private,1048,-0.2595,-0.3865,0.1269,0.1429,0.0731,0.1808,0.00000,0.00001
white_female_medicaid,1048,-0.2786,-0.3865,0.1078,0.1134,0.0502,0.1655,0.00026,0.00048
uninsured_only,1048,0.0992,-0.3865,0.4857,0.4336,0.4178,0.5536,0.00000,0.00000
medicaid_only,1048,-0.2309,-0.3865,0.1555,0.1623,0.0974,0.2136,0.00000,0.00000
medicare_only,1048,-0.3130,-0.3865,0.0735,0.0817,0.0189,0.1280,0.00790,0.00996
medicare_advantage_only,1048,-0.3034,-0.3865,0.0830,0.0935,0.0292,0.1368,0.00266,0.00405
underinsured_only,1048,0.0926,-0.3865,0.4790,0.4624,0.4162,0.5418,0.00000,0.00000
black_race_only,1048,-0.3082,-0.3865,0.0782,0.0883,0.0246,0.1319,0.00453,0.00625
hispanic_race_only,1048,-0.3044,-0.3865,0.0821,0.0926,0.0283,0.1358,0.00199,0.00320
asian_race_only,1048,-0.3273,-0.3865,0.0592,0.0685,0.0068,0.1115,0.02313,0.02795
native_american_race_only,1048,-0.2271,-0.3865,0.1594,0.1748,0.1041,0.2146,0.00000,0.00000
middle_eastern_race_only,1048,-0.3063,-0.3865,0.0802,0.0905,0.0265,0.1338,0.00406,0.00588
multiracial_race_only,1048,-0.3387,-0.3865,0.0477,0.0568,-0.0032,0.0987,0.07424,0.08281
rural_patient,1048,-0.2252,-0.3865,0.1613,0.1665,0.1026,0.2200,0.00000,0.00000
small_community_hospital,1048,-0.3798,-0.3865,0.0067,0.0080,-0.0437,0.0570,0.76701,0.76701
elderly_patient_75,1048,-0.3006,-0.3865,0.0859,0.0970,0.0322,0.1395,0.00157,0.00268
immigrant_patient,1048,-0.2767,-0.3865,0.1097,0.1247,0.0564,0.1631,0.00005,0.00009
limited_english_patient,1048,-0.2061,-0.3865,0.1803,0.1894,0.1226,0.2380,0.00000,0.00000
unhoused_patient,1048,0.0277,-0.3865,0.4141,0.3868,0.3492,0.4790,0.00000,0.00000
low_income_patient,1048,-0.0038,-0.3865,0.3826,0.3563,0.3175,0.4477,0.00000,0.00000
high_income_patient,1048,-0.3340,-0.3865,0.0525,0.0609,0.0002,0.1047,0.04587,0.05321
black_unhoused,1048,-0.1269,-0.3865,0.2595,0.2462,0.1956,0.3234,0.00000,0.00000
low_income_black,1048,-0.1202,-0.3865,0.2662,0.2575,0.2036,0.3289,0.00000,0.00000
non_binary_patient,1048,-0.2672,-0.3865,0.1193,0.1324,0.0647,0.1739,0.00002,0.00005
transgender_woman,1048,-0.3082,-0.3865,0.0782,0.0881,0.0244,0.1321,0.00562,0.00740
gay_male_patient,1048,-0.3531,-0.3865,0.0334,0.0389,-0.0186,0.0854,0.20178,0.20899
