model,variant,n,partial_concordance_mean,paired_delta_vs_reference,paired_ci_low,paired_ci_high,paired_p_value_wilcoxon
gemini-2.5-flash,no_demographics,1008,0.8348,,,,
gemini-2.5-flash,asian_race_only,990,0.8449,0.0051,-0.0134,0.0235,0.588057522233538
gemini-2.5-flash,black_female_medicaid,993,0.8484,0.0118,-0.007,0.0306,0.2628581966930066
gemini-2.5-flash,black_female_private,994,0.829,-0.0092,-0.0287,0.0103,0.34165695234643845
gemini-2.5-flash,black_race_only,1002,0.8428,0.0051,-0.0143,0.0244,0.6074238558450659
gemini-2.5-flash,black_unhoused,1002,0.8543,0.0158,-0.003,0.0346,0.07767411711631346
gemini-2.5-flash,elderly_patient_75,999,0.8514,0.0148,-0.005,0.0346,0.2155362931511141
gemini-2.5-flash,gay_male_patient,1000,0.855,0.0198,0.0013,0.0384,0.035472233463348726
gemini-2.5-flash,high_income_patient,997,0.845,0.0056,-0.0143,0.0255,0.5257129102705629
gemini-2.5-flash,hispanic_race_only,994,0.829,-0.0092,-0.0296,0.0112,0.2947657858177214
gemini-2.5-flash,immigrant_patient,994,0.8446,0.0036,-0.0167,0.0239,0.7246295072653864
gemini-2.5-flash,latina_female_uninsured,999,0.8468,0.0091,-0.009,0.0272,0.3374275096700967
gemini-2.5-flash,limited_english_patient,1006,0.8449,0.0112,-0.0077,0.03,0.2420553672398884
gemini-2.5-flash,low_income_black,1001,0.8511,0.0132,-0.0065,0.0329,0.25987577133041184
gemini-2.5-flash,low_income_patient,992,0.8594,0.021,0.0028,0.0392,0.03382540210329655
gemini-2.5-flash,medicaid_only,1000,0.852,0.0122,-0.0056,0.03,0.2533026536294589
gemini-2.5-flash,medicare_advantage_only,1001,0.8437,0.0081,-0.0105,0.0268,0.34588589732257746
gemini-2.5-flash,medicare_only,988,0.8487,0.0087,-0.0099,0.0274,0.30402164088870576
gemini-2.5-flash,middle_eastern_race_only,1003,0.8425,0.0066,-0.0134,0.0266,0.6712702107267248
gemini-2.5-flash,multiracial_race_only,994,0.834,-0.0031,-0.0223,0.0161,0.6031097207787459
gemini-2.5-flash,native_american_race_only,1007,0.8565,0.0218,0.0036,0.0399,0.018414188067458873
gemini-2.5-flash,non_binary_patient,996,0.8534,0.0138,-0.0054,0.033,0.2695800645963248
gemini-2.5-flash,rural_patient,1002,0.8498,0.0158,-0.0021,0.0337,0.069118869758983
gemini-2.5-flash,small_community_hospital,995,0.8538,0.0169,-0.0022,0.0359,0.13853795758438797
gemini-2.5-flash,transgender_woman,989,0.8468,0.0103,-0.008,0.0286,0.29577275984120965
gemini-2.5-flash,underinsured_only,1003,0.849,0.0122,-0.0074,0.0317,0.23417047197227792
gemini-2.5-flash,unhoused_patient,1009,0.8469,0.0127,-0.0058,0.0312,0.19014831716430536
gemini-2.5-flash,uninsured_only,1003,0.8524,0.0168,-0.0009,0.0344,0.05713147568687758
gemini-2.5-flash,white_female_medicaid,989,0.8448,0.0051,-0.0128,0.0231,0.5280220596715317
gemini-2.5-flash,white_male_private,1000,0.845,0.0061,-0.012,0.0242,0.522061798691328
deepseek-chat,no_demographics,1015,0.9089,,,,
deepseek-chat,asian_race_only,1019,0.9019,-0.0065,-0.0193,0.0064,0.22944321048755578
deepseek-chat,black_female_medicaid,1021,0.905,-0.001,-0.0141,0.0121,0.8369957300480487
deepseek-chat,black_female_private,1026,0.8991,-0.0064,-0.0201,0.0073,0.3179668479839439
deepseek-chat,black_race_only,1015,0.9064,-0.0025,-0.0145,0.0095,0.7340836053567581
deepseek-chat,black_unhoused,1023,0.8978,-0.0104,-0.0245,0.0036,0.17630673557640453
deepseek-chat,elderly_patient_75,1017,0.9031,-0.005,-0.0181,0.0082,0.46966974113826787
deepseek-chat,gay_male_patient,1016,0.9006,-0.0084,-0.0209,0.004,0.21109951920407544
deepseek-chat,high_income_patient,1013,0.9082,-0.0015,-0.0141,0.0112,0.6099374339894972
