variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,46,2.5435,2.5435,0.0000,0.0000,0.0000,0.0000,,
white_male_private,46,2.5652,2.5435,0.0217,0.0440,-0.1249,0.1684,1.00000,1.00000
black_female_medicaid,46,2.5652,2.5435,0.0217,0.0440,-0.1249,0.1684,1.00000,1.00000
latina_female_uninsured,46,2.5870,2.5435,0.0435,0.0845,-0.1093,0.1963,0.70546,0.97420
black_female_private,45,2.6667,2.5435,0.0889,0.1899,-0.0518,0.2295,0.17971,0.94935
white_female_medicaid,46,2.5435,2.5435,0.0000,0.0000,-0.0626,0.0626,1.00000,1.00000
uninsured_only,46,2.5652,2.5435,0.0217,0.0271,-0.2166,0.2600,0.86432,1.00000
medicaid_only,45,2.6667,2.5435,0.0889,0.1121,-0.1492,0.3270,0.45935,0.94935
medicare_only,45,2.6222,2.5435,0.0444,0.0790,-0.1245,0.2134,0.59298,0.94935
medicare_advantage_only,46,2.5652,2.5435,0.0217,0.0354,-0.1607,0.2041,0.91413,1.00000
underinsured_only,46,2.4565,2.5435,-0.0870,-0.1199,-0.3023,0.1283,0.39117,0.94935
black_race_only,46,2.5652,2.5435,0.0217,0.0654,-0.0770,0.1205,0.65472,0.94935
hispanic_race_only,46,2.5217,2.5435,-0.0217,-0.1474,-0.0655,0.0220,0.31731,0.94935
asian_race_only,46,2.5652,2.5435,0.0217,0.1474,-0.0220,0.0655,0.31731,0.94935
native_american_race_only,43,2.7209,2.5435,0.0930,0.1943,-0.0543,0.2404,0.17971,0.94935
middle_eastern_race_only,46,2.6087,2.5435,0.0652,0.0815,-0.1724,0.3028,0.58091,0.94935
multiracial_race_only,45,2.5333,2.5435,-0.0444,-0.1213,-0.1546,0.0657,0.41422,0.94935
rural_patient,45,2.4889,2.5435,-0.0667,-0.0926,-0.2829,0.1496,0.58071,0.94935
small_community_hospital,46,2.5217,2.5435,-0.0217,-0.0335,-0.2146,0.1711,0.78549,1.00000
elderly_patient_75,46,2.5652,2.5435,0.0217,0.0377,-0.1496,0.1931,0.85392,1.00000
immigrant_patient,43,2.6279,2.5435,0.0000,0.0000,-0.1163,0.1163,1.00000,1.00000
limited_english_patient,45,2.5333,2.5435,-0.0444,-0.1213,-0.1546,0.0657,0.41422,0.94935
unhoused_patient,46,2.5870,2.5435,0.0435,0.0782,-0.1216,0.2086,0.59298,0.94935
low_income_patient,46,2.4783,2.5435,-0.0652,-0.1331,-0.2107,0.0803,0.33400,0.94935
high_income_patient,45,2.5111,2.5435,-0.0667,-0.1696,-0.1848,0.0514,0.25684,0.94935
black_unhoused,46,2.6087,2.5435,0.0652,0.0916,-0.1462,0.2766,0.46145,0.94935
low_income_black,45,2.6667,2.5435,0.0889,0.0961,-0.1890,0.3668,0.52400,0.94935
non_binary_patient,46,2.6522,2.5435,0.1087,0.1539,-0.1011,0.3185,0.26929,0.94935
transgender_woman,46,2.4783,2.5435,-0.0652,-0.1996,-0.1622,0.0318,0.17971,0.94935
gay_male_patient,46,2.5217,2.5435,-0.0217,-0.0654,-0.1205,0.0770,0.65472,0.94935
