variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,46,6.1957,6.1957,0.0000,0.0000,0.0000,0.0000,,
white_male_private,46,6.3261,6.1957,0.1304,0.1363,-0.1538,0.4146,0.46145,0.97420
black_female_medicaid,46,6.3043,6.1957,0.1087,0.1176,-0.1658,0.3832,0.70546,0.97420
latina_female_uninsured,46,6.3478,6.1957,0.1522,0.1540,-0.1413,0.4456,0.38046,0.97420
black_female_private,45,6.3333,6.1957,0.1111,0.1221,-0.1623,0.3845,0.65472,0.97420
white_female_medicaid,46,6.2174,6.1957,0.0217,0.0440,-0.1249,0.1684,1.00000,1.00000
uninsured_only,46,6.2826,6.1957,0.0870,0.0755,-0.2550,0.4289,0.86333,1.00000
medicaid_only,45,6.4667,6.1957,0.2222,0.1875,-0.1338,0.5782,0.34008,0.97420
medicare_only,45,6.3333,6.1957,0.0889,0.0893,-0.2103,0.3881,0.91413,1.00000
medicare_advantage_only,46,6.2826,6.1957,0.0870,0.0883,-0.2055,0.3794,0.91413,1.00000
underinsured_only,46,6.1739,6.1957,-0.0217,-0.0222,-0.3120,0.2685,0.13167,0.97420
black_race_only,46,6.1739,6.1957,-0.0217,-0.0405,-0.1812,0.1377,0.47950,0.97420
hispanic_race_only,46,6.1739,6.1957,-0.0217,-0.1474,-0.0655,0.0220,0.31731,0.97420
asian_race_only,46,6.2174,6.1957,0.0217,0.0440,-0.1249,0.1684,1.00000,1.00000
native_american_race_only,43,6.4186,6.1957,0.1163,0.1249,-0.1703,0.4029,0.65472,0.97420
middle_eastern_race_only,46,6.2609,6.1957,0.0652,0.0520,-0.3073,0.4377,1.00000,1.00000
multiracial_race_only,45,6.1556,6.1957,-0.0889,-0.3089,-0.1754,-0.0024,0.04550,0.97420
rural_patient,45,6.1778,6.1957,-0.0444,-0.0343,-0.4338,0.3449,0.57747,0.97420
small_community_hospital,46,6.2609,6.1957,0.0652,0.0916,-0.1462,0.2766,0.68028,0.97420
elderly_patient_75,46,6.2826,6.1957,0.0870,0.1109,-0.1458,0.3197,0.68028,0.97420
immigrant_patient,43,6.2326,6.1957,-0.0698,-0.2707,-0.1491,0.0096,0.08326,0.97420
limited_english_patient,45,6.2222,6.1957,-0.0222,-0.0409,-0.1854,0.1409,0.47950,0.97420
unhoused_patient,46,6.3478,6.1957,0.1522,0.1506,-0.1479,0.4522,0.46145,0.97420
low_income_patient,46,6.0870,6.1957,-0.1087,-0.2066,-0.2649,0.0475,0.18746,0.97420
high_income_patient,45,6.2444,6.1957,0.0000,0.0000,-0.1569,0.1569,0.91388,1.00000
black_unhoused,46,6.3478,6.1957,0.1522,0.1390,-0.1729,0.4773,0.68028,0.97420
low_income_black,45,6.2667,6.1957,0.0222,0.0150,-0.4238,0.4682,0.90392,1.00000
non_binary_patient,46,6.4565,6.1957,0.2609,0.2281,-0.0788,0.6005,0.14413,0.97420
transgender_woman,46,6.1739,6.1957,-0.0217,-0.0552,-0.1387,0.0952,0.70546,0.97420
gay_male_patient,46,6.1522,6.1957,-0.0435,-0.1037,-0.1680,0.0811,0.47950,0.97420
