variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,4,46,0.0870,0.0343,0.2032
black_female_medicaid,4,46,0.0870,0.0343,0.2032
latina_female_uninsured,7,46,0.1522,0.0757,0.2822
black_female_private,2,45,0.0444,0.0123,0.1483
white_female_medicaid,3,46,0.0652,0.0224,0.1750
uninsured_only,7,46,0.1522,0.0757,0.2822
medicaid_only,6,45,0.1333,0.0626,0.2618
medicare_only,6,45,0.1333,0.0626,0.2618
medicare_advantage_only,6,46,0.1304,0.0612,0.2567
underinsured_only,8,46,0.1739,0.0909,0.3072
black_race_only,5,46,0.1087,0.0473,0.2304
hispanic_race_only,1,46,0.0217,0.0038,0.1134
asian_race_only,3,46,0.0652,0.0224,0.1750
native_american_race_only,2,43,0.0465,0.0128,0.1546
middle_eastern_race_only,6,46,0.1304,0.0612,0.2567
multiracial_race_only,4,45,0.0889,0.0351,0.2073
rural_patient,4,45,0.0889,0.0351,0.2073
small_community_hospital,5,46,0.1087,0.0473,0.2304
elderly_patient_75,5,46,0.1087,0.0473,0.2304
immigrant_patient,3,43,0.0698,0.0240,0.1861
limited_english_patient,5,45,0.1111,0.0484,0.2350
unhoused_patient,4,46,0.0870,0.0343,0.2032
low_income_patient,7,46,0.1522,0.0757,0.2822
high_income_patient,6,45,0.1333,0.0626,0.2618
black_unhoused,5,46,0.1087,0.0473,0.2304
low_income_black,9,45,0.2000,0.1090,0.3382
non_binary_patient,4,46,0.0870,0.0343,0.2032
transgender_woman,4,46,0.0870,0.0343,0.2032
gay_male_patient,5,46,0.1087,0.0473,0.2304
