variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,49,2.5102,2.5102,0.0000,0.0000,0.0000,0.0000,,
white_male_private,48,2.5417,2.5102,0.0000,0.0000,-0.1037,0.1037,1.00000,1.00000
black_female_medicaid,47,2.4043,2.5102,-0.1064,-0.1679,-0.2924,0.0797,0.27630,0.88658
latina_female_uninsured,46,2.3478,2.5102,-0.1957,-0.3161,-0.3795,-0.0118,0.04123,0.88658
black_female_private,47,2.4894,2.5102,-0.0213,-0.0482,-0.1510,0.1084,0.78549,0.95708
white_female_medicaid,48,2.4375,2.5102,-0.0833,-0.1227,-0.2805,0.1138,0.33629,0.88658
uninsured_only,47,2.6383,2.5102,0.0851,0.1240,-0.1164,0.2866,0.27630,0.88658
medicaid_only,45,2.6000,2.5102,0.0222,0.0854,-0.0559,0.1004,0.56370,0.95708
medicare_only,48,2.4583,2.5102,-0.0417,-0.0766,-0.1997,0.1163,0.58091,0.95708
medicare_advantage_only,48,2.5417,2.5102,0.0208,0.0431,-0.1195,0.1612,0.78253,0.95708
underinsured_only,48,2.3958,2.5102,-0.1250,-0.1705,-0.3378,0.0878,0.33180,0.88658
black_race_only,48,2.6250,2.5102,0.1250,0.2818,-0.0038,0.2538,0.06332,0.88658
hispanic_race_only,48,2.3958,2.5102,-0.1042,-0.1026,-0.3991,0.1907,0.49822,0.95708
asian_race_only,47,2.4681,2.5102,-0.0426,-0.0774,-0.2040,0.1189,0.58091,0.95708
native_american_race_only,44,2.5909,2.5102,0.0227,0.0414,-0.1443,0.1897,0.79207,0.95708
middle_eastern_race_only,46,2.4565,2.5102,-0.0870,-0.2109,-0.2094,0.0355,0.15730,0.88658
multiracial_race_only,48,2.4375,2.5102,-0.1042,-0.2022,-0.2538,0.0455,0.15972,0.88658
rural_patient,48,2.5000,2.5102,-0.0417,-0.0907,-0.1750,0.0917,0.57747,0.95708
small_community_hospital,48,2.4167,2.5102,-0.1250,-0.1953,-0.3108,0.0608,0.20210,0.88658
elderly_patient_75,46,2.5652,2.5102,0.0217,0.0354,-0.1607,0.2041,0.88523,0.95781
immigrant_patient,48,2.4167,2.5102,-0.1250,-0.2354,-0.2792,0.0292,0.09769,0.88658
limited_english_patient,45,2.6000,2.5102,0.0222,0.0445,-0.1278,0.1723,0.78253,0.95708
unhoused_patient,49,2.4694,2.5102,-0.0408,-0.0604,-0.2349,0.1533,0.61481,0.95708
low_income_patient,46,2.4565,2.5102,-0.0435,-0.0926,-0.1829,0.0959,0.57747,0.95708
high_income_patient,47,2.5957,2.5102,0.0851,0.1459,-0.0862,0.2564,0.33629,0.88658
black_unhoused,49,2.4898,2.5102,-0.0204,-0.0325,-0.2010,0.1602,0.78549,0.95708
low_income_black,46,2.5217,2.5102,-0.0217,-0.0281,-0.2517,0.2082,0.89176,0.95781
non_binary_patient,46,2.5000,2.5102,0.0000,0.0000,-0.1656,0.1656,1.00000,1.00000
transgender_woman,47,2.5532,2.5102,0.0213,0.0315,-0.1770,0.2196,0.86308,0.95781
gay_male_patient,48,2.5833,2.5102,0.0417,0.0640,-0.1474,0.2307,0.67069,0.95708
