variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,49,6.0612,6.0612,0.0000,0.0000,0.0000,0.0000,,
white_male_private,48,6.0833,6.0612,-0.0208,-0.0541,-0.1327,0.0911,0.70546,0.85243
black_female_medicaid,47,5.9574,6.0612,-0.1277,-0.2086,-0.3074,0.0521,0.10476,0.50633
latina_female_uninsured,46,5.9783,6.0612,-0.1522,-0.3239,-0.2917,-0.0126,0.03843,0.49565
black_female_private,47,6.0213,6.0612,-0.0638,-0.1459,-0.1923,0.0647,0.27630,0.66290
white_female_medicaid,48,5.8958,6.0612,-0.1875,-0.2000,-0.4597,0.0847,0.13080,0.54187
uninsured_only,47,6.3617,6.0612,0.2340,0.1892,-0.1293,0.5973,0.27630,0.66290
medicaid_only,45,6.1556,6.0612,-0.0222,-0.0854,-0.1004,0.0559,0.56370,0.85243
medicare_only,48,6.0417,6.0612,-0.0208,-0.0298,-0.2239,0.1822,0.74981,0.86977
medicare_advantage_only,48,6.1458,6.0612,0.0625,0.1113,-0.1005,0.2255,0.52709,0.85243
underinsured_only,48,6.0417,6.0612,-0.0417,-0.0389,-0.3527,0.2693,0.34288,0.66290
black_race_only,48,6.2083,6.0612,0.1458,0.2674,-0.0125,0.3042,0.06560,0.49565
hispanic_race_only,48,6.1042,6.0612,0.0417,0.0292,-0.3731,0.4565,0.52730,0.85243
asian_race_only,47,6.0851,6.0612,0.0000,0.0000,-0.1224,0.1224,1.00000,1.00000
native_american_race_only,44,6.1818,6.0612,0.0000,0.0000,-0.1466,0.1466,1.00000,1.00000
middle_eastern_race_only,46,6.0000,6.0612,-0.1304,-0.2407,-0.2914,0.0305,0.09769,0.50633
multiracial_race_only,48,6.0000,6.0612,-0.1042,-0.2022,-0.2538,0.0455,0.15972,0.57900
rural_patient,48,6.0417,6.0612,-0.0625,-0.1642,-0.1730,0.0480,0.25684,0.66290
small_community_hospital,48,5.9583,6.0612,-0.1458,-0.2674,-0.3042,0.0125,0.06837,0.49565
elderly_patient_75,46,6.0870,6.0612,-0.0435,-0.0782,-0.2086,0.1216,0.55748,0.85243
immigrant_patient,48,5.9583,6.0612,-0.1458,-0.3165,-0.2796,-0.0120,0.03843,0.49565
limited_english_patient,45,6.1111,6.0612,-0.0667,-0.1346,-0.2155,0.0822,0.33400,0.66290
unhoused_patient,49,6.0408,6.0612,-0.0204,-0.0202,-0.3106,0.2697,0.31420,0.66290
low_income_patient,46,6.0652,6.0612,-0.0217,-0.0552,-0.1387,0.0952,0.70546,0.85243
high_income_patient,47,6.1915,6.0612,0.1064,0.1107,-0.1757,0.3885,0.68028,0.85243
black_unhoused,49,6.1633,6.0612,0.1020,0.1085,-0.1682,0.3723,0.68028,0.85243
low_income_black,46,6.1304,6.0612,0.0000,0.0000,-0.3910,0.3910,1.00000,1.00000
non_binary_patient,46,6.1957,6.0612,0.1087,0.1176,-0.1658,0.3832,0.70546,0.85243
transgender_woman,47,6.1702,6.0612,0.0638,0.0620,-0.2386,0.3663,0.88568,0.98787
gay_male_patient,48,6.2500,6.0612,0.1458,0.1581,-0.1220,0.4136,0.31731,0.66290
