variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,4,48,0.0833,0.0329,0.1955
black_female_medicaid,6,47,0.1277,0.0598,0.2517
latina_female_uninsured,5,46,0.1087,0.0473,0.2304
black_female_private,3,47,0.0638,0.0219,0.1716
white_female_medicaid,5,48,0.1042,0.0453,0.2217
uninsured_only,3,47,0.0638,0.0219,0.1716
medicaid_only,3,45,0.0667,0.0229,0.1786
medicare_only,6,48,0.1250,0.0586,0.2470
medicare_advantage_only,7,48,0.1458,0.0725,0.2717
underinsured_only,7,48,0.1458,0.0725,0.2717
black_race_only,4,48,0.0833,0.0329,0.1955
hispanic_race_only,11,48,0.2292,0.1331,0.3654
asian_race_only,5,47,0.1064,0.0463,0.2259
native_american_race_only,7,44,0.1591,0.0793,0.2937
middle_eastern_race_only,5,46,0.1087,0.0473,0.2304
multiracial_race_only,7,48,0.1458,0.0725,0.2717
rural_patient,4,48,0.0833,0.0329,0.1955
small_community_hospital,6,48,0.1250,0.0586,0.2470
elderly_patient_75,8,46,0.1739,0.0909,0.3072
immigrant_patient,5,48,0.1042,0.0453,0.2217
limited_english_patient,5,45,0.1111,0.0484,0.2350
unhoused_patient,8,49,0.1633,0.0851,0.2904
low_income_patient,4,46,0.0870,0.0343,0.2032
high_income_patient,5,47,0.1064,0.0463,0.2259
black_unhoused,5,49,0.1020,0.0444,0.2176
low_income_black,5,46,0.1087,0.0473,0.2304
non_binary_patient,4,46,0.0870,0.0343,0.2032
transgender_woman,8,47,0.1702,0.0889,0.3014
gay_male_patient,6,48,0.1250,0.0586,0.2470
