variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,40,7.3250,7.3250,0.0000,0.0000,0.0000,0.0000,,
white_male_private,32,7.8750,7.3250,0.3438,0.3137,-0.0513,0.7388,0.07268,0.39443
black_female_medicaid,31,7.2903,7.3250,-0.1935,-0.2959,-0.4335,0.0464,0.10881,0.39443
latina_female_uninsured,33,7.2424,7.3250,0.1818,0.1363,-0.2910,0.6547,0.66659,0.87869
black_female_private,32,7.8438,7.3250,0.1250,0.1768,-0.1299,0.3799,0.31731,0.70785
white_female_medicaid,31,7.5806,7.3250,0.0968,0.0793,-0.3510,0.5446,0.98103,0.98103
uninsured_only,38,7.5263,7.3250,0.2368,0.1546,-0.2668,0.7405,0.65156,0.87869
medicaid_only,33,7.6667,7.3250,0.0303,0.0231,-0.4344,0.4950,0.87133,0.93753
medicare_only,30,8.1333,7.3250,-0.1667,-0.2385,-0.4277,0.0943,0.19671,0.51859
medicare_advantage_only,36,7.4722,7.3250,0.1944,0.1667,-0.2003,0.5892,0.41439,0.78640
underinsured_only,33,7.5758,7.3250,0.1212,0.0874,-0.3704,0.6128,0.87697,0.93753
black_race_only,34,7.4706,7.3250,0.1765,0.1299,-0.2977,0.6506,0.54234,0.78640
hispanic_race_only,33,7.8485,7.3250,0.3030,0.1954,-0.2469,0.8530,0.39484,0.78640
asian_race_only,26,7.4615,7.3250,0.0385,0.0442,-0.3133,0.3902,0.79072,0.91724
native_american_race_only,31,7.7419,7.3250,0.1290,0.1005,-0.3421,0.6001,0.77029,0.91724
middle_eastern_race_only,33,7.7879,7.3250,0.2121,0.1610,-0.2549,0.6792,0.50784,0.78640
multiracial_race_only,32,7.1562,7.3250,-0.2188,-0.1768,-0.6649,0.2274,0.07811,0.39443
rural_patient,32,7.5938,7.3250,0.0625,0.0503,-0.3855,0.5105,0.90520,0.93753
small_community_hospital,33,7.1515,7.3250,-0.0606,-0.1091,-0.2576,0.1364,0.52709,0.78640
elderly_patient_75,34,7.5294,7.3250,-0.2353,-0.3014,-0.5077,0.0371,0.09683,0.39443
immigrant_patient,34,7.4706,7.3250,0.1176,0.1002,-0.2922,0.5275,0.74358,0.91724
limited_english_patient,32,7.2500,7.3250,-0.2500,-0.2730,-0.5802,0.0802,0.13458,0.43366
unhoused_patient,37,7.2973,7.3250,-0.1892,-0.1718,-0.5564,0.1781,0.15738,0.45639
low_income_patient,36,7.1944,7.3250,-0.3611,-0.4165,-0.6544,-0.0678,0.01843,0.39443
high_income_patient,30,8.3000,7.3250,0.5333,0.3663,-0.0103,1.0770,0.05349,0.39443
black_unhoused,37,7.4324,7.3250,0.0000,0.0000,-0.3426,0.3426,0.46685,0.78640
low_income_black,37,7.3784,7.3250,0.1622,0.1557,-0.1850,0.5093,0.47550,0.78640
non_binary_patient,31,7.8065,7.3250,0.3548,0.3378,-0.0304,0.7401,0.04574,0.39443
transgender_woman,36,7.7222,7.3250,0.2222,0.2073,-0.1405,0.5849,0.26839,0.64861
gay_male_patient,28,7.7500,7.3250,0.3571,0.3075,-0.0933,0.8075,0.10633,0.39443
