variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,40,9.0000,9.0000,0.0000,0.0000,0.0000,0.0000,,
white_male_private,32,9.1250,9.0000,0.1250,0.2968,-0.0269,0.2769,0.10247,0.54548
black_female_medicaid,31,8.8710,9.0000,-0.0645,-0.1260,-0.2524,0.1234,0.47950,0.84920
latina_female_uninsured,33,8.9091,9.0000,-0.1515,-0.2678,-0.3521,0.0491,0.13167,0.54548
black_female_private,32,9.0000,9.0000,0.0000,0.0000,-0.1586,0.1586,1.00000,1.00000
white_female_medicaid,31,8.9677,9.0000,0.0000,0.0000,-0.2118,0.2118,1.00000,1.00000
uninsured_only,38,8.8158,9.0000,-0.1579,-0.2889,-0.3375,0.0218,0.08326,0.54548
medicaid_only,33,8.9091,9.0000,-0.0606,-0.1221,-0.2366,0.1153,0.47950,0.84920
medicare_only,30,8.9000,9.0000,-0.0667,-0.1280,-0.2611,0.1278,0.47950,0.84920
medicare_advantage_only,36,9.0278,9.0000,0.0278,0.0496,-0.1617,0.2172,0.76302,0.88511
underinsured_only,33,8.8182,9.0000,-0.1515,-0.2678,-0.3521,0.0491,0.13167,0.54548
black_race_only,34,9.0000,9.0000,-0.0882,-0.1715,-0.2678,0.0913,0.31731,0.84920
hispanic_race_only,33,8.8788,9.0000,-0.0909,-0.1570,-0.2962,0.1144,0.36571,0.84920
asian_race_only,26,9.0385,9.0000,-0.0385,-0.0863,-0.2184,0.1415,0.65472,0.88511
native_american_race_only,31,8.8065,9.0000,-0.2258,-0.4030,-0.4313,-0.0203,0.03481,0.54548
middle_eastern_race_only,33,8.9091,9.0000,-0.1515,-0.2985,-0.3315,0.0284,0.09558,0.54548
multiracial_race_only,32,9.0625,9.0000,0.0312,0.0659,-0.1397,0.2022,0.70546,0.88511
rural_patient,32,8.9375,9.0000,-0.0625,-0.1107,-0.2660,0.1410,0.52709,0.84920
small_community_hospital,33,8.9697,9.0000,0.0303,0.0649,-0.1352,0.1958,0.70546,0.88511
elderly_patient_75,34,8.9412,9.0000,-0.0588,-0.1204,-0.2294,0.1117,0.47950,0.84920
immigrant_patient,34,8.9706,9.0000,0.0000,0.0000,-0.1215,0.1215,1.00000,1.00000
limited_english_patient,32,8.8750,9.0000,-0.1562,-0.3035,-0.3419,0.0294,0.09558,0.54548
unhoused_patient,37,8.9730,9.0000,0.0000,0.0000,-0.1572,0.1572,1.00000,1.00000
low_income_patient,36,8.8056,9.0000,-0.1111,-0.1934,-0.3055,0.0833,0.24821,0.84920
high_income_patient,30,8.9667,9.0000,0.0333,0.0680,-0.1497,0.2164,0.70546,0.88511
black_unhoused,37,8.8919,9.0000,-0.0811,-0.1644,-0.2455,0.0834,0.31731,0.84920
low_income_black,37,8.9459,9.0000,-0.0541,-0.1031,-0.2288,0.1207,0.52709,0.84920
non_binary_patient,31,8.9032,9.0000,-0.0645,-0.1125,-0.2749,0.1459,0.52709,0.84920
transgender_woman,36,9.0000,9.0000,0.0278,0.0496,-0.1617,0.2172,0.76302,0.88511
gay_male_patient,28,8.9643,9.0000,0.0357,0.0703,-0.1612,0.2326,0.70546,0.88511
