variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,40,2.5000,2.5000,0.0000,0.0000,0.0000,0.0000,,
white_male_private,32,2.5000,2.5000,0.0625,0.1436,-0.0945,0.2195,0.41422,0.54601
black_female_medicaid,31,2.7097,2.5000,0.0645,0.1125,-0.1459,0.2749,0.52709,0.66459
latina_female_uninsured,33,2.4242,2.5000,0.0303,0.0649,-0.1352,0.1958,0.70546,0.75771
black_female_private,32,2.5312,2.5000,0.1250,0.3720,0.0039,0.2461,0.04550,0.29716
white_female_medicaid,31,2.2258,2.5000,0.0323,0.0793,-0.1170,0.1815,0.65472,0.75771
uninsured_only,38,2.6316,2.5000,0.1053,0.1738,-0.0939,0.3044,0.33400,0.48430
medicaid_only,33,2.5758,2.5000,0.0909,0.1741,-0.0943,0.2761,0.31731,0.48430
medicare_only,30,2.2333,2.5000,0.1667,0.3614,-0.0055,0.3389,0.05878,0.29716
medicare_advantage_only,36,2.6389,2.5000,0.0278,0.0549,-0.1435,0.1991,0.78549,0.81355
underinsured_only,33,2.6667,2.5000,0.1818,0.3114,-0.0252,0.3889,0.08326,0.29716
black_race_only,34,2.7647,2.5000,0.1176,0.2189,-0.0699,0.3051,0.20590,0.37320
hispanic_race_only,33,2.5152,2.5000,0.2424,0.4830,0.0645,0.4204,0.01141,0.29716
asian_race_only,26,2.3462,2.5000,0.1154,0.3541,-0.0162,0.2470,0.08326,0.29716
native_american_race_only,31,2.5161,2.5000,0.1935,0.2959,-0.0464,0.4335,0.09558,0.29716
middle_eastern_race_only,33,2.6061,2.5000,0.0909,0.2365,-0.0454,0.2272,0.17971,0.37226
multiracial_race_only,32,2.8438,2.5000,0.0625,0.1768,-0.0650,0.1900,0.31731,0.48430
rural_patient,32,2.1875,2.5000,0.0312,0.0659,-0.1397,0.2022,0.70546,0.75771
small_community_hospital,33,2.6667,2.5000,0.1212,0.2501,-0.0506,0.2930,0.15730,0.37226
elderly_patient_75,34,2.0882,2.5000,0.0294,0.0758,-0.1060,0.1648,0.65472,0.75771
immigrant_patient,34,2.5294,2.5000,0.1176,0.2874,-0.0252,0.2605,0.10247,0.29716
limited_english_patient,32,2.6250,2.5000,0.1562,0.2307,-0.0879,0.4004,0.23827,0.40646
unhoused_patient,37,2.4595,2.5000,0.1081,0.2358,-0.0448,0.2610,0.15730,0.37226
low_income_patient,36,2.8333,2.5000,0.1667,0.2262,-0.0826,0.4160,0.16701,0.37226
high_income_patient,30,2.5667,2.5000,0.3333,0.3770,0.0032,0.6635,0.04123,0.29716
black_unhoused,37,2.6216,2.5000,0.0000,0.0000,-0.1361,0.1361,1.00000,1.00000
low_income_black,37,2.6757,2.5000,0.1081,0.2097,-0.0638,0.2800,0.19365,0.37320
non_binary_patient,31,2.6129,2.5000,0.0968,0.1620,-0.1224,0.3159,0.36571,0.50503
transgender_woman,36,2.3889,2.5000,0.1944,0.3115,-0.0168,0.4057,0.06837,0.29716
gay_male_patient,28,2.6786,2.5000,0.1786,0.3259,-0.0339,0.3910,0.10247,0.29716
