variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,40,6.8750,6.8750,0.0000,0.0000,0.0000,0.0000,,
white_male_private,32,6.9375,6.8750,-0.0625,-0.0684,-0.3919,0.2669,0.71796,0.83823
black_female_medicaid,31,6.7742,6.8750,-0.0323,-0.0354,-0.3669,0.3024,0.86843,0.89945
latina_female_uninsured,33,7.2727,6.8750,0.4242,0.3536,-0.0012,0.8497,0.05630,0.25609
black_female_private,32,7.0938,6.8750,0.1875,0.1821,-0.1838,0.5588,0.24979,0.45274
white_female_medicaid,31,6.9677,6.8750,0.0000,0.0000,-0.3415,0.3415,0.97977,0.97977
uninsured_only,38,7.3421,6.8750,0.4737,0.3736,0.0570,0.8904,0.03133,0.21931
medicaid_only,33,7.1212,6.8750,0.2121,0.2474,-0.0918,0.5161,0.13540,0.39267
medicare_only,30,7.1333,6.8750,0.0333,0.0392,-0.2842,0.3508,0.80568,0.88252
medicare_advantage_only,36,7.0556,6.8750,0.2778,0.3567,0.0143,0.5412,0.03781,0.21931
underinsured_only,33,6.8182,6.8750,-0.0909,-0.0959,-0.4269,0.2451,0.59935,0.83823
black_race_only,34,7.0588,6.8750,0.4118,0.3825,0.0362,0.7873,0.02963,0.21931
hispanic_race_only,33,7.2727,6.8750,0.2727,0.2312,-0.1456,0.6911,0.22776,0.45274
asian_race_only,26,6.7692,6.8750,-0.0769,-0.0729,-0.5032,0.3494,0.71386,0.83823
native_american_race_only,31,7.4194,6.8750,0.4194,0.3966,0.0315,0.8072,0.02971,0.21931
middle_eastern_race_only,33,6.9394,6.8750,0.0606,0.0674,-0.2583,0.3795,0.64573,0.83823
multiracial_race_only,32,6.9375,6.8750,0.2500,0.3112,-0.0396,0.5396,0.07414,0.26875
rural_patient,32,7.0000,6.8750,-0.0625,-0.0551,-0.4714,0.3464,0.71317,0.83823
small_community_hospital,33,6.5152,6.8750,-0.2424,-0.2501,-0.5861,0.1012,0.21583,0.45274
elderly_patient_75,34,7.2059,6.8750,0.1765,0.1884,-0.1503,0.5032,0.24961,0.45274
immigrant_patient,34,7.0000,6.8750,0.0882,0.1019,-0.2138,0.3903,0.56477,0.83823
limited_english_patient,32,7.0312,6.8750,0.2812,0.2667,-0.0989,0.6614,0.15012,0.39577
unhoused_patient,37,7.2432,6.8750,0.2973,0.2904,-0.0440,0.6386,0.11189,0.36052
low_income_patient,36,6.8611,6.8750,-0.0556,-0.0646,-0.3466,0.2354,0.72261,0.83823
high_income_patient,30,7.2000,6.8750,0.1333,0.1627,-0.1726,0.4393,0.41741,0.67250
black_unhoused,37,7.2432,6.8750,0.3514,0.3236,-0.0106,0.7133,0.06181,0.25609
low_income_black,37,6.9730,6.8750,0.1892,0.2333,-0.0812,0.4596,0.16640,0.40212
non_binary_patient,31,7.3871,6.8750,0.5161,0.5184,0.1509,0.8814,0.00651,0.18878
transgender_woman,36,7.1111,6.8750,0.1389,0.1602,-0.1544,0.4322,0.32518,0.55472
gay_male_patient,28,7.1429,6.8750,0.0357,0.0426,-0.2893,0.3607,0.82166,0.88252
