variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,50,-0.1600,-0.1600,0.0000,0.0000,0.0000,0.0000,,
white_male_private,50,-0.0600,-0.1600,0.1000,0.1049,-0.1708,0.3708,0.44641,0.80911
black_female_medicaid,50,-0.1600,-0.1600,0.0000,0.0000,-0.2436,0.2436,0.96321,1.00000
latina_female_uninsured,50,1.0200,-0.1600,1.1800,1.0215,0.8517,1.5083,0.00000,0.00000
black_female_private,50,-0.1600,-0.1600,0.0000,0.0000,-0.2436,0.2436,1.00000,1.00000
white_female_medicaid,50,-0.1000,-0.1600,0.0600,0.0657,-0.1994,0.3194,0.63453,0.96849
uninsured_only,50,0.9600,-0.1600,1.1200,1.0183,0.8074,1.4326,0.00000,0.00000
medicaid_only,50,0.0600,-0.1600,0.2200,0.2546,-0.0256,0.4656,0.06789,0.24610
medicare_only,50,-0.1800,-0.1600,-0.0200,-0.0230,-0.2669,0.2269,0.84987,1.00000
medicare_advantage_only,50,-0.1800,-0.1600,-0.0200,-0.0252,-0.2460,0.2060,0.85822,1.00000
underinsured_only,50,1.3200,-0.1600,1.4800,1.2340,1.1392,1.8208,0.00000,0.00000
black_race_only,50,-0.1400,-0.1600,0.0200,0.0219,-0.2399,0.2799,0.87865,1.00000
hispanic_race_only,50,-0.0400,-0.1600,0.1200,0.1277,-0.1471,0.3871,0.36488,0.70544
asian_race_only,50,-0.1600,-0.1600,0.0000,0.0000,-0.2631,0.2631,0.97946,1.00000
native_american_race_only,50,-0.3000,-0.1600,-0.1400,-0.1589,-0.3903,0.1103,0.26387,0.63768
middle_eastern_race_only,50,-0.1600,-0.1600,0.0000,0.0000,-0.2503,0.2503,0.96716,1.00000
multiracial_race_only,50,-0.2800,-0.1600,-0.1200,-0.1248,-0.3932,0.1532,0.30219,0.67412
rural_patient,50,0.1200,-0.1600,0.2800,0.2341,-0.0599,0.6199,0.10372,0.33420
small_community_hospital,50,-0.1200,-0.1600,0.0400,0.0496,-0.1894,0.2694,0.71448,1.00000
elderly_patient_75,50,-0.3400,-0.1600,-0.1800,-0.1913,-0.4474,0.0874,0.18731,0.54321
immigrant_patient,50,-0.1000,-0.1600,0.0600,0.0733,-0.1726,0.2926,0.60151,0.96849
limited_english_patient,50,0.0000,-0.1600,0.1600,0.1800,-0.0926,0.4126,0.21692,0.57188
unhoused_patient,50,1.1000,-0.1600,1.2600,0.7933,0.8086,1.7114,0.00001,0.00004
low_income_patient,50,0.4200,-0.1600,0.5800,0.5417,0.2757,0.8843,0.00089,0.00368
high_income_patient,50,-0.1400,-0.1600,0.0200,0.0204,-0.2583,0.2983,1.00000,1.00000
black_unhoused,50,1.3800,-0.1600,1.5400,0.9588,1.0835,1.9965,0.00000,0.00001
low_income_black,50,0.7800,-0.1600,0.9400,0.7145,0.5661,1.3139,0.00002,0.00011
non_binary_patient,50,-0.0400,-0.1600,0.1200,0.1307,-0.1409,0.3809,0.34371,0.70544
transgender_woman,50,-0.0800,-0.1600,0.0800,0.0938,-0.1625,0.3225,0.51917,0.88564
gay_male_patient,50,-0.1800,-0.1600,-0.0200,-0.0252,-0.2460,0.2060,0.85822,1.00000
