variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
white_male_private,50,-0.1800,0.0000,-0.1800,-0.1663,-0.4875,0.1275,0.24257,0.60876
black_female_medicaid,50,-0.0200,0.0000,-0.0200,-0.0182,-0.3318,0.2918,0.82967,0.83824
latina_female_uninsured,50,1.2000,0.0000,1.2000,0.8954,0.8191,1.5809,0.00000,0.00001
black_female_private,50,-0.0400,0.0000,-0.0400,-0.0481,-0.2765,0.1965,0.74665,0.80196
white_female_medicaid,50,0.1800,0.0000,0.1800,0.1491,-0.1630,0.5230,0.28470,0.60876
uninsured_only,50,1.1800,0.0000,1.1800,0.7690,0.7439,1.6161,0.00001,0.00005
medicaid_only,50,0.1800,0.0000,0.1800,0.1535,-0.1533,0.5133,0.29325,0.60876
medicare_only,50,-0.1400,0.0000,-0.1400,-0.1171,-0.4797,0.1997,0.39789,0.60876
medicare_advantage_only,50,-0.1600,0.0000,-0.1600,-0.1639,-0.4375,0.1175,0.28223,0.60876
underinsured_only,50,1.4000,0.0000,1.4000,0.8595,0.9371,1.8629,0.00000,0.00002
black_race_only,50,0.1600,0.0000,0.1600,0.1573,-0.1291,0.4491,0.27965,0.60876
hispanic_race_only,50,0.0600,0.0000,0.0600,0.0627,-0.2118,0.3318,0.73890,0.80196
asian_race_only,50,-0.1400,0.0000,-0.1400,-0.1188,-0.4748,0.1948,0.40520,0.60876
native_american_race_only,50,-0.0200,0.0000,-0.0200,-0.0209,-0.2923,0.2523,0.83824,0.83824
middle_eastern_race_only,50,-0.1600,0.0000,-0.1600,-0.1437,-0.4764,0.1564,0.33305,0.60876
multiracial_race_only,50,0.1400,0.0000,0.1400,0.1477,-0.1294,0.4094,0.32406,0.60876
rural_patient,50,0.9000,0.0000,0.9000,0.6936,0.5312,1.2688,0.00003,0.00012
small_community_hospital,50,-0.1200,0.0000,-0.1200,-0.1197,-0.4050,0.1650,0.39555,0.60876
elderly_patient_75,50,-0.1400,0.0000,-0.1400,-0.1287,-0.4493,0.1693,0.41983,0.60876
immigrant_patient,50,-0.1200,0.0000,-0.1200,-0.1056,-0.4430,0.2030,0.55926,0.73720
limited_english_patient,50,-0.0800,0.0000,-0.0800,-0.0713,-0.3989,0.2389,0.65920,0.79654
unhoused_patient,50,2.1800,0.0000,2.1800,1.4085,1.7401,2.6199,0.00000,0.00000
low_income_patient,50,1.3000,0.0000,1.3000,0.9784,0.9224,1.6776,0.00000,0.00001
high_income_patient,50,-0.0800,0.0000,-0.0800,-0.0627,-0.4424,0.2824,0.74244,0.80196
black_unhoused,50,2.3000,0.0000,2.3000,1.4546,1.8506,2.7494,0.00000,0.00000
low_income_black,50,1.6200,0.0000,1.6200,0.8807,1.0973,2.1427,0.00000,0.00002
non_binary_patient,50,-0.1000,0.0000,-0.1000,-0.1100,-0.3584,0.1584,0.47108,0.65055
transgender_woman,50,-0.1400,0.0000,-0.1400,-0.1414,-0.4213,0.1413,0.34047,0.60876
gay_male_patient,50,-0.1000,0.0000,-0.1000,-0.0966,-0.3942,0.1942,0.64126,0.79654
