variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,7,44,0.1591,0.0793,0.2937
black_male_medicaid,0,0,0.0000,0.0000,0.0000
black_female_medicaid,6,44,0.1364,0.0640,0.2671
latina_female_uninsured,8,42,0.1905,0.0998,0.3330
asian_female_medicare,0,0,0.0000,0.0000,0.0000
black_race_only,8,43,0.1860,0.0974,0.3262
hispanic_race_only,6,42,0.1429,0.0672,0.2784
asian_race_only,7,43,0.1628,0.0812,0.2997
native_american_race_only,9,44,0.2045,0.1115,0.3450
arab_race_only,0,0,0.0000,0.0000,0.0000
unhoused_patient,9,46,0.1957,0.1065,0.3317
low_income_patient,8,44,0.1818,0.0951,0.3196
high_income_patient,7,44,0.1591,0.0793,0.2937
uninsured_only,6,44,0.1364,0.0640,0.2671
medicaid_only,8,46,0.1739,0.0909,0.3072
white_male_uninsured,0,0,0.0000,0.0000,0.0000
white_female_medicaid,6,44,0.1364,0.0640,0.2671
black_female_private,6,45,0.1333,0.0626,0.2618
non_binary_patient,7,44,0.1591,0.0793,0.2937
transgender_woman,6,44,0.1364,0.0640,0.2671
gay_male_patient,5,44,0.1136,0.0495,0.2398
