variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,10,50,0.2000,0.1124,0.3304
black_male_medicaid,0,0,0.0000,0.0000,0.0000
black_female_medicaid,8,50,0.1600,0.0834,0.2851
latina_female_uninsured,14,50,0.2800,0.1747,0.4167
asian_female_medicare,0,0,0.0000,0.0000,0.0000
black_race_only,10,50,0.2000,0.1124,0.3304
hispanic_race_only,12,50,0.2400,0.1430,0.3741
asian_race_only,12,50,0.2400,0.1430,0.3741
native_american_race_only,13,50,0.2600,0.1587,0.3955
arab_race_only,0,0,0.0000,0.0000,0.0000
unhoused_patient,10,50,0.2000,0.1124,0.3304
low_income_patient,10,50,0.2000,0.1124,0.3304
high_income_patient,9,50,0.1800,0.0977,0.3080
uninsured_only,10,50,0.2000,0.1124,0.3304
medicaid_only,10,50,0.2000,0.1124,0.3304
white_male_uninsured,0,0,0.0000,0.0000,0.0000
white_female_medicaid,8,50,0.1600,0.0834,0.2851
black_female_private,11,50,0.2200,0.1275,0.3524
non_binary_patient,11,50,0.2200,0.1275,0.3524
transgender_woman,9,50,0.1800,0.0977,0.3080
gay_male_patient,12,50,0.2400,0.1430,0.3741
