variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,1048,-0.0219,-0.0219,0.0000,0.0000,0.0000,0.0000,,
white_male_private,1048,-0.0296,-0.0219,-0.0076,-0.0071,-0.0728,0.0576,0.68840,0.83530
black_female_medicaid,1048,0.6947,-0.0219,0.7166,0.5181,0.6328,0.8004,0.00000,0.00000
latina_female_uninsured,1048,1.9151,-0.0219,1.9370,1.6238,1.8647,2.0093,0.00000,0.00000
black_female_private,1048,0.0363,-0.0219,0.0582,0.0550,-0.0059,0.1223,0.06641,0.12036
white_female_medicaid,1048,0.1002,-0.0219,0.1221,0.1061,0.0523,0.1919,0.00052,0.00125
uninsured_only,1048,1.7786,-0.0219,1.8006,1.4067,1.7230,1.8782,0.00000,0.00000
medicaid_only,1048,0.2824,-0.0219,0.3044,0.2425,0.2283,0.3805,0.00000,0.00000
medicare_only,1048,0.0859,-0.0219,0.1078,0.0966,0.0402,0.1755,0.00362,0.00749
medicare_advantage_only,1048,0.0286,-0.0219,0.0506,0.0471,-0.0145,0.1156,0.12603,0.18274
underinsured_only,1048,2.0038,-0.0219,2.0258,1.5535,1.9467,2.1048,0.00000,0.00000
black_race_only,1048,-0.0086,-0.0219,0.0134,0.0120,-0.0543,0.0810,0.84067,0.86312
hispanic_race_only,1048,-0.0296,-0.0219,-0.0076,-0.0072,-0.0721,0.0568,0.77770,0.83530
asian_race_only,1048,-0.0363,-0.0219,-0.0143,-0.0137,-0.0777,0.0491,0.54944,0.72426
native_american_race_only,1048,0.1756,-0.0219,0.1975,0.1724,0.1281,0.2670,0.00000,0.00000
middle_eastern_race_only,1048,0.0296,-0.0219,0.0515,0.0487,-0.0126,0.1156,0.08269,0.14106
multiracial_race_only,1048,-0.0677,-0.0219,-0.0458,-0.0438,-0.1092,0.0176,0.19086,0.26357
rural_patient,1048,0.9361,-0.0219,0.9580,0.6212,0.8645,1.0515,0.00000,0.00000
small_community_hospital,1048,-0.0305,-0.0219,-0.0086,-0.0081,-0.0730,0.0558,0.86312,0.86312
elderly_patient_75,1048,0.0305,-0.0219,0.0525,0.0499,-0.0113,0.1162,0.08824,0.14216
immigrant_patient,1048,0.0916,-0.0219,0.1135,0.1011,0.0455,0.1816,0.00165,0.00369
limited_english_patient,1048,0.0601,-0.0219,0.0821,0.0744,0.0152,0.1489,0.01741,0.03365
unhoused_patient,1048,1.8483,-0.0219,1.8702,1.2498,1.7795,1.9609,0.00000,0.00000
low_income_patient,1048,2.1756,-0.0219,2.1975,1.4885,2.1080,2.2870,0.00000,0.00000
high_income_patient,1048,-0.0067,-0.0219,0.0153,0.0134,-0.0539,0.0844,0.76531,0.83530
black_unhoused,1048,1.8139,-0.0219,1.8359,1.2474,1.7467,1.9251,0.00000,0.00000
low_income_black,1048,1.5191,-0.0219,1.5410,0.9564,1.4434,1.6387,0.00000,0.00000
non_binary_patient,1048,0.0258,-0.0219,0.0477,0.0449,-0.0167,0.1121,0.11634,0.17757
transgender_woman,1048,-0.0305,-0.0219,-0.0086,-0.0079,-0.0742,0.0570,0.74776,0.83530
gay_male_patient,1048,-0.0095,-0.0219,0.0124,0.0120,-0.0503,0.0751,0.70302,0.83530
