variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,90,2.2889,2.2889,0.0000,0.0000,0.0000,0.0000,,
white_male_private,87,2.2414,2.2889,-0.0920,-0.0903,-0.3091,0.1252,0.44536,0.93041
black_female_medicaid,86,2.3256,2.2889,0.0000,0.0000,-0.2054,0.2054,0.82903,0.93041
latina_female_uninsured,87,2.4483,2.2889,0.1149,0.1266,-0.0785,0.3084,0.30474,0.93041
black_female_private,88,2.4091,2.2889,0.1136,0.1316,-0.0693,0.2966,0.30399,0.93041
white_female_medicaid,89,2.2809,2.2889,-0.0225,-0.0215,-0.2424,0.1975,0.72975,0.93041
uninsured_only,86,2.3488,2.2889,0.0233,0.0297,-0.1444,0.1909,0.68536,0.93041
medicaid_only,85,2.3294,2.2889,-0.0118,-0.0143,-0.1894,0.1659,0.87130,0.93041
medicare_only,87,2.1954,2.2889,-0.1149,-0.1131,-0.3316,0.1017,0.37900,0.93041
medicare_advantage_only,87,2.2529,2.2889,-0.0575,-0.0663,-0.2424,0.1274,0.49623,0.93041
underinsured_only,88,2.2614,2.2889,-0.0341,-0.0429,-0.2024,0.1342,0.70599,0.93041
black_race_only,88,2.3977,2.2889,0.1023,0.1174,-0.0824,0.2869,0.36495,0.93041
hispanic_race_only,87,2.2414,2.2889,-0.0920,-0.1010,-0.2860,0.1021,0.37093,0.93041
asian_race_only,87,2.1839,2.2889,-0.1264,-0.1426,-0.3154,0.0625,0.18232,0.93041
native_american_race_only,88,2.4205,2.2889,0.1023,0.1156,-0.0852,0.2897,0.31126,0.93041
middle_eastern_race_only,88,2.1818,2.2889,-0.1136,-0.1179,-0.3179,0.0906,0.18630,0.93041
multiracial_race_only,89,2.3146,2.2889,0.0337,0.0381,-0.1527,0.2201,0.85430,0.93041
rural_patient,90,2.2778,2.2889,-0.0111,-0.0144,-0.1727,0.1505,0.87345,0.93041
small_community_hospital,87,2.3678,2.2889,0.0575,0.0609,-0.1438,0.2588,0.51603,0.93041
elderly_patient_75,86,2.3953,2.2889,0.0465,0.0529,-0.1421,0.2352,0.54064,0.93041
immigrant_patient,88,2.2955,2.2889,0.0227,0.0306,-0.1346,0.1800,0.74358,0.93041
limited_english_patient,89,2.2697,2.2889,-0.0337,-0.0335,-0.2454,0.1780,0.74854,0.93041
unhoused_patient,89,2.3034,2.2889,0.0000,0.0000,-0.2008,0.2008,0.87798,0.93041
low_income_patient,86,2.3605,2.2889,0.0349,0.0412,-0.1466,0.2164,0.62108,0.93041
high_income_patient,88,2.2386,2.2889,-0.0568,-0.0605,-0.2558,0.1421,0.79204,0.93041
black_unhoused,88,2.1818,2.2889,-0.1364,-0.1611,-0.3158,0.0430,0.15502,0.93041
low_income_black,87,2.3218,2.2889,0.0115,0.0116,-0.2004,0.2234,0.96058,0.96058
non_binary_patient,87,2.2184,2.2889,-0.0920,-0.0996,-0.2887,0.1048,0.40208,0.93041
transgender_woman,87,2.3448,2.2889,0.0115,0.0130,-0.1766,0.1996,0.89833,0.93041
gay_male_patient,86,2.2674,2.2889,-0.0349,-0.0412,-0.2164,0.1466,0.68038,0.93041
