variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,90,5.8556,5.8556,0.0000,0.0000,0.0000,0.0000,,
white_male_private,87,5.9885,5.8556,0.0690,0.0516,-0.2159,0.3538,0.45740,0.91110
black_female_medicaid,86,5.9070,5.8556,-0.0233,-0.0160,-0.3352,0.2887,0.85338,0.91110
latina_female_uninsured,87,6.0575,5.8556,0.1379,0.1240,-0.0991,0.3749,0.20994,0.88592
black_female_private,88,5.9545,5.8556,0.0682,0.0680,-0.1444,0.2808,0.33604,0.88592
white_female_medicaid,89,5.8989,5.8556,0.0225,0.0203,-0.2108,0.2558,0.80405,0.91110
uninsured_only,86,6.0233,5.8556,0.0930,0.0898,-0.1291,0.3152,0.27927,0.88592
medicaid_only,85,5.9059,5.8556,-0.0471,-0.0466,-0.2651,0.1709,0.91548,0.91548
medicare_only,87,5.9425,5.8556,0.0345,0.0309,-0.2031,0.2721,0.58071,0.91110
medicare_advantage_only,87,5.8506,5.8556,-0.0575,-0.0516,-0.2949,0.1799,0.69759,0.91110
underinsured_only,88,5.8523,5.8556,-0.0341,-0.0367,-0.2307,0.1625,0.80668,0.91110
black_race_only,88,6.0341,5.8556,0.1477,0.1413,-0.0738,0.3692,0.10158,0.88592
hispanic_race_only,87,5.9080,5.8556,-0.0115,-0.0123,-0.2105,0.1875,0.77242,0.91110
asian_race_only,87,5.9080,5.8556,0.0000,0.0000,-0.1867,0.1867,0.85850,0.91110
native_american_race_only,88,6.0000,5.8556,0.1023,0.0983,-0.1181,0.3226,0.25067,0.88592
middle_eastern_race_only,88,5.7614,5.8556,-0.1250,-0.1040,-0.3796,0.1296,0.40255,0.91110
multiracial_race_only,89,6.0112,5.8556,0.1461,0.1154,-0.1207,0.4128,0.31619,0.88592
rural_patient,90,5.8667,5.8556,0.0111,0.0102,-0.2164,0.2386,0.69961,0.91110
small_community_hospital,87,6.0000,5.8556,0.0920,0.0913,-0.1227,0.3066,0.23692,0.88592
elderly_patient_75,86,6.0814,5.8556,0.1395,0.1492,-0.0610,0.3400,0.14897,0.88592
immigrant_patient,88,5.9318,5.8556,0.0568,0.0621,-0.1369,0.2505,0.19824,0.88592
limited_english_patient,89,5.7865,5.8556,-0.0899,-0.0747,-0.3432,0.1635,0.87270,0.91110
unhoused_patient,89,5.8539,5.8556,-0.0225,-0.0164,-0.3118,0.2668,0.83333,0.91110
low_income_patient,86,5.9651,5.8556,0.0349,0.0358,-0.1743,0.2440,0.56557,0.91110
high_income_patient,88,5.9318,5.8556,0.0455,0.0394,-0.1990,0.2899,0.46901,0.91110
black_unhoused,88,5.8182,5.8556,-0.0795,-0.0682,-0.3268,0.1677,0.63816,0.91110
low_income_black,87,5.9540,5.8556,0.0460,0.0436,-0.1790,0.2709,0.56860,0.91110
non_binary_patient,87,5.8506,5.8556,-0.0575,-0.0542,-0.2835,0.1685,0.87969,0.91110
transgender_woman,87,5.9770,5.8556,0.0575,0.0643,-0.1330,0.2480,0.27015,0.88592
gay_male_patient,86,6.0349,5.8556,0.1163,0.1047,-0.1218,0.3544,0.33015,0.88592
