variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,91,2.3626,2.3626,0.0000,0.0000,0.0000,0.0000,,
white_male_private,88,2.4318,2.3626,0.0455,0.0397,-0.1969,0.2878,0.69536,0.77560
black_female_medicaid,89,2.3371,2.3626,-0.0449,-0.0382,-0.2928,0.2029,0.69046,0.77560
latina_female_uninsured,88,2.2727,2.3626,-0.1136,-0.0989,-0.3571,0.1298,0.38993,0.75148
black_female_private,90,2.1333,2.3626,-0.2222,-0.1886,-0.4690,0.0246,0.06947,0.62959
white_female_medicaid,90,2.2667,2.3626,-0.1000,-0.0943,-0.3221,0.1221,0.37357,0.75148
uninsured_only,87,2.2069,2.3626,-0.1609,-0.1631,-0.3712,0.0494,0.14046,0.62959
medicaid_only,90,2.2333,2.3626,-0.1444,-0.1249,-0.3868,0.0979,0.22927,0.65255
medicare_only,88,2.3068,2.3626,-0.0455,-0.0397,-0.2878,0.1969,0.69536,0.77560
medicare_advantage_only,91,2.3187,2.3626,-0.0440,-0.0431,-0.2566,0.1687,0.69129,0.77560
underinsured_only,89,2.1798,2.3626,-0.2135,-0.1901,-0.4500,0.0230,0.09565,0.62959
black_race_only,87,2.3103,2.3626,-0.0920,-0.0823,-0.3300,0.1461,0.43040,0.75148
hispanic_race_only,89,2.4045,2.3626,0.0112,0.0106,-0.2122,0.2347,0.92594,0.92594
asian_race_only,89,2.2135,2.3626,-0.1573,-0.1673,-0.3554,0.0408,0.11889,0.62959
native_american_race_only,88,2.2386,2.3626,-0.1591,-0.1501,-0.3837,0.0655,0.14732,0.62959
middle_eastern_race_only,89,2.4270,2.3626,0.0562,0.0627,-0.1327,0.2450,0.56131,0.77560
multiracial_race_only,88,2.2841,2.3626,-0.1136,-0.1164,-0.3204,0.0931,0.26834,0.65255
rural_patient,84,2.2857,2.3626,-0.1429,-0.1453,-0.3563,0.0706,0.17879,0.64810
small_community_hospital,88,2.3523,2.3626,-0.0341,-0.0334,-0.2507,0.1825,0.74875,0.80422
elderly_patient_75,90,2.4556,2.3626,0.0778,0.0828,-0.1189,0.2744,0.48353,0.77560
immigrant_patient,90,2.2667,2.3626,-0.1111,-0.1100,-0.3228,0.1005,0.27002,0.65255
limited_english_patient,88,2.2955,2.3626,-0.1023,-0.0973,-0.3249,0.1204,0.37706,0.75148
unhoused_patient,86,2.3488,2.3626,-0.0814,-0.0781,-0.3050,0.1422,0.44052,0.75148
low_income_patient,88,2.2273,2.3626,-0.1477,-0.1530,-0.3523,0.0568,0.15197,0.62959
high_income_patient,88,2.4091,2.3626,0.0455,0.0481,-0.1549,0.2458,0.64234,0.77560
black_unhoused,89,2.2247,2.3626,-0.1573,-0.1612,-0.3629,0.0483,0.13118,0.62959
low_income_black,88,2.2614,2.3626,-0.1364,-0.1369,-0.3475,0.0747,0.20418,0.65255
non_binary_patient,87,2.3908,2.3626,-0.0230,-0.0200,-0.2683,0.2223,0.88183,0.91332
transgender_woman,87,2.3793,2.3626,-0.0345,-0.0375,-0.2307,0.1617,0.68210,0.77560
gay_male_patient,88,2.4318,2.3626,0.0568,0.0649,-0.1287,0.2424,0.55913,0.77560
