variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,91,6.0440,6.0440,0.0000,0.0000,0.0000,0.0000,,
white_male_private,88,6.1477,6.0440,0.0795,0.0572,-0.2153,0.3744,0.33982,0.89256
black_female_medicaid,89,5.9888,6.0440,-0.0787,-0.0568,-0.3701,0.2128,0.97914,0.97914
latina_female_uninsured,88,5.9318,6.0440,-0.1364,-0.1169,-0.3835,0.1108,0.25166,0.89256
black_female_private,90,5.8556,6.0440,-0.1778,-0.1464,-0.4320,0.0765,0.22244,0.89256
white_female_medicaid,90,5.9444,6.0440,-0.1000,-0.0780,-0.3684,0.1684,0.43089,0.89256
uninsured_only,87,5.8851,6.0440,-0.1724,-0.1522,-0.4139,0.0691,0.13523,0.78436
medicaid_only,90,5.9889,6.0440,-0.0778,-0.0642,-0.3314,0.1758,0.76086,0.93426
medicare_only,88,5.9659,6.0440,-0.0682,-0.0637,-0.2949,0.1585,0.66962,0.93426
medicare_advantage_only,91,6.0330,6.0440,-0.0110,-0.0090,-0.2641,0.2422,0.64743,0.93426
underinsured_only,89,5.8764,6.0440,-0.2022,-0.1590,-0.4702,0.0657,0.12964,0.78436
black_race_only,87,5.8966,6.0440,-0.2069,-0.1429,-0.5155,0.1017,0.33114,0.89256
hispanic_race_only,89,6.0562,6.0440,-0.0225,-0.0186,-0.2765,0.2315,0.75228,0.93426
asian_race_only,89,5.9101,6.0440,-0.1461,-0.1277,-0.3870,0.0948,0.52402,0.89392
native_american_race_only,88,5.8068,6.0440,-0.2841,-0.2070,-0.5749,0.0067,0.06706,0.78436
middle_eastern_race_only,89,6.0000,6.0440,-0.0449,-0.0406,-0.2781,0.1882,0.80540,0.93426
multiracial_race_only,88,5.9545,6.0440,-0.1477,-0.1252,-0.3977,0.1022,0.50456,0.89392
rural_patient,84,5.9405,6.0440,-0.1905,-0.1633,-0.4436,0.0627,0.10965,0.78436
small_community_hospital,88,6.1136,6.0440,0.0341,0.0289,-0.2157,0.2839,0.80205,0.93426
elderly_patient_75,90,6.1000,6.0440,0.0333,0.0397,-0.1427,0.2094,0.72450,0.93426
immigrant_patient,90,5.9778,6.0440,-0.0889,-0.0768,-0.3314,0.1536,0.30938,0.89256
limited_english_patient,88,5.9886,6.0440,-0.1023,-0.0843,-0.3594,0.1548,0.41763,0.89256
unhoused_patient,86,6.1512,6.0440,0.0233,0.0229,-0.1948,0.2413,0.74828,0.93426
low_income_patient,88,5.8068,6.0440,-0.2500,-0.2260,-0.4844,-0.0156,0.04251,0.78436
high_income_patient,88,6.0455,6.0440,0.0000,0.0000,-0.1928,0.1928,0.95065,0.97914
black_unhoused,89,5.8989,6.0440,-0.1685,-0.1577,-0.3936,0.0565,0.16331,0.78931
low_income_black,88,5.9091,6.0440,-0.1818,-0.1389,-0.4592,0.0955,0.42633,0.89256
non_binary_patient,87,6.0460,6.0440,-0.0690,-0.0566,-0.3286,0.1906,0.48042,0.89392
transgender_woman,87,6.1149,6.0440,0.0115,0.0120,-0.1928,0.2158,0.87504,0.97430
gay_male_patient,88,6.0795,6.0440,-0.0114,-0.0121,-0.2107,0.1880,0.90710,0.97430
