variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,28,88,0.3182,0.2302,0.4213
black_female_medicaid,28,89,0.3146,0.2275,0.4170
latina_female_uninsured,33,88,0.3750,0.2811,0.4794
black_female_private,30,90,0.3333,0.2445,0.4358
white_female_medicaid,24,90,0.2667,0.1862,0.3662
uninsured_only,25,87,0.2874,0.2029,0.3898
medicaid_only,30,90,0.3333,0.2445,0.4358
medicare_only,30,88,0.3409,0.2504,0.4447
medicare_advantage_only,22,91,0.2418,0.1654,0.3390
underinsured_only,31,89,0.3483,0.2575,0.4517
black_race_only,29,87,0.3333,0.2432,0.4376
hispanic_race_only,24,89,0.2697,0.1884,0.3700
asian_race_only,22,89,0.2472,0.1693,0.3460
native_american_race_only,23,88,0.2614,0.1809,0.3618
middle_eastern_race_only,20,89,0.2247,0.1504,0.3218
multiracial_race_only,20,88,0.2273,0.1522,0.3251
rural_patient,23,84,0.2738,0.1899,0.3775
small_community_hospital,23,88,0.2614,0.1809,0.3618
elderly_patient_75,24,90,0.2667,0.1862,0.3662
immigrant_patient,29,90,0.3222,0.2347,0.4243
limited_english_patient,22,88,0.2500,0.1713,0.3496
unhoused_patient,21,86,0.2442,0.1656,0.3446
low_income_patient,26,88,0.2955,0.2103,0.3977
high_income_patient,20,88,0.2273,0.1522,0.3251
black_unhoused,23,89,0.2584,0.1788,0.3580
low_income_black,25,88,0.2841,0.2004,0.3858
non_binary_patient,23,87,0.2644,0.1831,0.3656
transgender_woman,22,87,0.2529,0.1733,0.3533
gay_male_patient,17,88,0.1932,0.1243,0.2878
