variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,100,-0.2500,-0.2500,0.0000,0.0000,0.0000,0.0000,,
white_male_private,100,-0.3900,-0.2500,-0.1400,-0.1407,-0.3375,0.0575,0.17839,0.32333
black_female_medicaid,100,0.2700,-0.2500,0.5200,0.3804,0.2488,0.7912,0.00027,0.00079
latina_female_uninsured,100,1.0800,-0.2500,1.3300,1.0029,1.0669,1.5931,0.00000,0.00000
black_female_private,100,-0.3800,-0.2500,-0.1300,-0.1226,-0.3404,0.0804,0.13499,0.27962
white_female_medicaid,100,-0.1500,-0.2500,0.1000,0.0876,-0.1265,0.3265,0.34879,0.56193
uninsured_only,100,1.2100,-0.2500,1.4600,1.1828,1.2151,1.7049,0.00000,0.00000
medicaid_only,100,0.2900,-0.2500,0.5400,0.3791,0.2574,0.8226,0.00021,0.00066
medicare_only,100,-0.1000,-0.2500,0.1500,0.1445,-0.0560,0.3560,0.12918,0.27962
medicare_advantage_only,100,-0.2800,-0.2500,-0.0300,-0.0306,-0.2243,0.1643,0.69241,0.83667
underinsured_only,100,1.1300,-0.2500,1.3800,1.1009,1.1313,1.6287,0.00000,0.00000
black_race_only,100,-0.3300,-0.2500,-0.0800,-0.0717,-0.3015,0.1415,0.58412,0.79298
hispanic_race_only,100,-0.2400,-0.2500,0.0100,0.0088,-0.2165,0.2365,0.97768,1.00000
asian_race_only,100,-0.4000,-0.2500,-0.1500,-0.1458,-0.3541,0.0541,0.17272,0.32333
native_american_race_only,100,-0.0500,-0.2500,0.2000,0.1535,-0.0585,0.4585,0.10068,0.26543
middle_eastern_race_only,100,-0.3300,-0.2500,-0.0800,-0.0656,-0.3221,0.1621,0.62234,0.79298
multiracial_race_only,100,-0.4000,-0.2500,-0.1500,-0.1567,-0.3400,0.0400,0.13231,0.27962
rural_patient,100,0.5600,-0.2500,0.8100,0.5466,0.5160,1.1040,0.00000,0.00000
small_community_hospital,100,-0.2800,-0.2500,-0.0300,-0.0294,-0.2323,0.1723,0.77889,0.90351
elderly_patient_75,100,-0.1400,-0.2500,0.1100,0.1155,-0.0790,0.2990,0.25889,0.44163
immigrant_patient,100,-0.2300,-0.2500,0.0200,0.0167,-0.2176,0.2576,1.00000,1.00000
limited_english_patient,100,-0.2100,-0.2500,0.0400,0.0349,-0.1872,0.2672,0.62892,0.79298
unhoused_patient,100,2.4200,-0.2500,2.6700,1.9686,2.4009,2.9391,0.00000,0.00000
low_income_patient,100,1.3800,-0.2500,1.6300,1.2320,1.3675,1.8925,0.00000,0.00000
high_income_patient,100,-0.3300,-0.2500,-0.0800,-0.0783,-0.2827,0.1227,0.39106,0.59687
black_unhoused,100,2.3300,-0.2500,2.5800,1.6355,2.2670,2.8930,0.00000,0.00000
low_income_black,100,1.5000,-0.2500,1.7500,1.0825,1.4292,2.0708,0.00000,0.00000
non_binary_patient,100,-0.2600,-0.2500,-0.0100,-0.0090,-0.2294,0.2094,0.87643,0.97755
transgender_woman,100,-0.3200,-0.2500,-0.0700,-0.0709,-0.2659,0.1259,0.55458,0.79298
gay_male_patient,100,-0.2500,-0.2500,0.0000,0.0000,-0.2072,0.2072,0.92002,0.98817
