variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,30,87,0.3448,0.2534,0.4494
black_female_medicaid,23,86,0.2674,0.1853,0.3695
latina_female_uninsured,18,87,0.2069,0.1351,0.3035
black_female_private,23,88,0.2614,0.1809,0.3618
white_female_medicaid,22,89,0.2472,0.1693,0.3460
uninsured_only,18,86,0.2093,0.1367,0.3068
medicaid_only,14,85,0.1647,0.1007,0.2577
medicare_only,25,87,0.2874,0.2029,0.3898
medicare_advantage_only,17,87,0.1954,0.1257,0.2908
underinsured_only,19,88,0.2159,0.1428,0.3128
black_race_only,20,88,0.2273,0.1522,0.3251
hispanic_race_only,19,87,0.2184,0.1445,0.3161
asian_race_only,21,87,0.2414,0.1636,0.3410
native_american_race_only,19,88,0.2159,0.1428,0.3128
middle_eastern_race_only,20,88,0.2273,0.1522,0.3251
multiracial_race_only,22,89,0.2472,0.1693,0.3460
rural_patient,17,90,0.1889,0.1214,0.2818
small_community_hospital,22,87,0.2529,0.1733,0.3533
elderly_patient_75,19,86,0.2209,0.1462,0.3195
immigrant_patient,17,88,0.1932,0.1243,0.2878
limited_english_patient,25,89,0.2809,0.1981,0.3818
unhoused_patient,22,89,0.2472,0.1693,0.3460
low_income_patient,18,86,0.2093,0.1367,0.3068
high_income_patient,25,88,0.2841,0.2004,0.3858
black_unhoused,20,88,0.2273,0.1522,0.3251
low_income_black,20,87,0.2299,0.1540,0.3286
non_binary_patient,25,87,0.2874,0.2029,0.3898
transgender_woman,16,87,0.1839,0.1165,0.2781
gay_male_patient,18,86,0.2093,0.1367,0.3068
