variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,100,-0.2600,-0.2600,0.0000,0.0000,0.0000,0.0000,,
white_male_private,100,-0.2500,-0.2600,0.0100,0.0098,-0.1924,0.2124,0.93506,0.96845
black_female_medicaid,100,0.6100,-0.2600,0.8700,0.6325,0.5971,1.1429,0.00000,0.00000
latina_female_uninsured,100,1.6800,-0.2600,1.9400,1.5183,1.6865,2.1935,0.00000,0.00000
black_female_private,100,-0.2200,-0.2600,0.0400,0.0380,-0.1690,0.2490,0.85018,0.94828
white_female_medicaid,100,-0.1000,-0.2600,0.1600,0.1613,-0.0369,0.3569,0.12545,0.24253
uninsured_only,100,1.8800,-0.2600,2.1400,1.6727,1.8861,2.3939,0.00000,0.00000
medicaid_only,100,0.1000,-0.2600,0.3600,0.3462,0.1537,0.5663,0.00122,0.00353
medicare_only,100,-0.1300,-0.2600,0.1300,0.1273,-0.0727,0.3327,0.21702,0.34965
medicare_advantage_only,100,-0.1800,-0.2600,0.0800,0.0768,-0.1266,0.2866,0.36213,0.52435
underinsured_only,100,1.8900,-0.2600,2.1500,1.5489,1.8746,2.4254,0.00000,0.00000
black_race_only,100,-0.2300,-0.2600,0.0300,0.0332,-0.1494,0.2094,0.76612,0.88870
hispanic_race_only,100,-0.2100,-0.2600,0.0500,0.0473,-0.1599,0.2599,0.69306,0.83744
asian_race_only,100,-0.2500,-0.2600,0.0100,0.0108,-0.1738,0.1938,0.91572,0.96845
native_american_race_only,100,-0.0200,-0.2600,0.2400,0.1988,0.0005,0.4795,0.07846,0.16253
middle_eastern_race_only,100,-0.2700,-0.2600,-0.0100,-0.0104,-0.2002,0.1802,0.97018,0.97018
multiracial_race_only,100,-0.2000,-0.2600,0.0600,0.0624,-0.1309,0.2509,0.47260,0.59588
rural_patient,100,1.0600,-0.2600,1.3200,0.8900,1.0257,1.6143,0.00000,0.00000
small_community_hospital,100,-0.0900,-0.2600,0.1700,0.1782,-0.0193,0.3593,0.05934,0.13237
elderly_patient_75,100,-0.1300,-0.2600,0.1300,0.1452,-0.0476,0.3076,0.15127,0.25805
immigrant_patient,100,0.0800,-0.2600,0.3400,0.2962,0.1122,0.5678,0.00507,0.01225
limited_english_patient,100,0.0500,-0.2600,0.3100,0.3300,0.1236,0.4964,0.00155,0.00410
unhoused_patient,100,2.0900,-0.2600,2.3500,1.6670,2.0703,2.6297,0.00000,0.00000
low_income_patient,100,2.4000,-0.2600,2.6600,1.7069,2.3508,2.9692,0.00000,0.00000
high_income_patient,100,-0.1600,-0.2600,0.1000,0.1043,-0.0902,0.2902,0.36733,0.52435
black_unhoused,100,1.9300,-0.2600,2.1900,1.5131,1.9028,2.4772,0.00000,0.00000
low_income_black,100,1.4200,-0.2600,1.6800,1.0412,1.3598,2.0002,0.00000,0.00000
non_binary_patient,100,-0.1100,-0.2600,0.1500,0.1602,-0.0357,0.3357,0.13925,0.25239
transgender_woman,100,-0.1900,-0.2600,0.0700,0.0786,-0.1067,0.2467,0.44928,0.59223
gay_male_patient,100,-0.1800,-0.2600,0.0800,0.0833,-0.1106,0.2706,0.37970,0.52435
