variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,38,5.8684,5.8684,0.0000,0.0000,0.0000,0.0000,,
white_male_private,32,5.9062,5.8684,0.0000,0.0000,-0.4197,0.4197,1.00000,1.00000
black_female_medicaid,35,5.8286,5.8684,-0.0857,-0.0966,-0.3904,0.2189,0.67069,1.00000
latina_female_uninsured,37,5.8919,5.8684,0.0811,0.0711,-0.2989,0.4611,0.91535,1.00000
black_female_private,35,6.0571,5.8684,0.2000,0.1766,-0.1890,0.5890,0.35727,1.00000
white_female_medicaid,32,5.9062,5.8684,0.0000,0.0000,-0.2423,0.2423,0.89023,1.00000
uninsured_only,36,5.8889,5.8684,0.0278,0.0214,-0.4114,0.4670,0.91558,1.00000
medicaid_only,38,5.8947,5.8684,0.0263,0.0224,-0.3595,0.4121,0.78646,1.00000
medicare_only,36,6.0278,5.8684,0.1111,0.0934,-0.2915,0.5137,0.83164,1.00000
medicare_advantage_only,36,5.8333,5.8684,0.0278,0.0201,-0.4403,0.4958,0.88754,1.00000
underinsured_only,35,5.6857,5.8684,-0.1143,-0.1151,-0.4555,0.2269,0.54612,1.00000
black_race_only,37,5.8108,5.8684,-0.1622,-0.2122,-0.4170,0.0927,0.19747,1.00000
hispanic_race_only,38,5.7105,5.8684,-0.1579,-0.1094,-0.6322,0.3164,0.34995,1.00000
asian_race_only,35,5.7429,5.8684,-0.1143,-0.1591,-0.3610,0.1325,0.33039,1.00000
native_american_race_only,37,5.8108,5.8684,0.0000,0.0000,-0.4514,0.4514,0.79807,1.00000
middle_eastern_race_only,34,5.7647,5.8684,-0.0882,-0.1063,-0.3778,0.2014,0.52361,1.00000
multiracial_race_only,34,5.7941,5.8684,0.0000,0.0000,-0.4119,0.4119,1.00000,1.00000
rural_patient,34,5.9706,5.8684,0.1765,0.1512,-0.2307,0.5837,0.49624,1.00000
small_community_hospital,34,5.8235,5.8684,0.0294,0.0304,-0.3086,0.3674,0.89225,1.00000
elderly_patient_75,34,5.7059,5.8684,-0.2059,-0.2042,-0.5577,0.1460,0.24625,1.00000
immigrant_patient,34,5.8824,5.8684,0.0294,0.0304,-0.3086,0.3674,1.00000,1.00000
limited_english_patient,35,5.8571,5.8684,-0.0286,-0.0431,-0.2565,0.1994,0.74773,1.00000
unhoused_patient,35,5.8286,5.8684,-0.2000,-0.2220,-0.5095,0.1095,0.21637,1.00000
low_income_patient,34,5.6765,5.8684,-0.2353,-0.3597,-0.4635,-0.0071,0.04611,1.00000
high_income_patient,34,5.7353,5.8684,-0.1176,-0.1049,-0.5091,0.2738,0.45935,1.00000
black_unhoused,36,5.8889,5.8684,0.0833,0.1504,-0.1042,0.2708,0.33400,1.00000
low_income_black,34,6.0000,5.8684,0.1471,0.1270,-0.2570,0.5512,0.58071,1.00000
non_binary_patient,32,5.6562,5.8684,-0.1250,-0.1378,-0.4520,0.2020,0.49624,1.00000
transgender_woman,33,5.9394,5.8684,0.1515,0.1351,-0.2461,0.5492,0.59298,1.00000
gay_male_patient,35,5.8286,5.8684,0.0286,0.0503,-0.1666,0.2237,0.78253,1.00000
