variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,37,6.1351,6.1351,0.0000,0.0000,0.0000,0.0000,,
white_male_private,37,6.0270,6.1351,-0.1081,-0.0940,-0.4914,0.2752,0.56898,0.63463
black_female_medicaid,36,6.0833,6.1351,-0.0556,-0.0465,-0.4595,0.3484,0.83117,0.83117
latina_female_uninsured,35,5.9429,6.1351,-0.2000,-0.1418,-0.6844,0.2844,0.46521,0.56213
black_female_private,35,5.6857,6.1351,-0.4000,-0.2906,-0.8728,0.0728,0.07825,0.23742
white_female_medicaid,37,5.8649,6.1351,-0.2703,-0.3104,-0.5606,0.0201,0.05570,0.23742
uninsured_only,35,5.6571,6.1351,-0.4857,-0.4057,-0.8970,-0.0744,0.02560,0.23742
medicaid_only,35,6.1429,6.1351,-0.0286,-0.0463,-0.2407,0.1836,0.70546,0.73065
medicare_only,34,5.9706,6.1351,-0.1471,-0.1107,-0.6107,0.3166,0.45809,0.56213
medicare_advantage_only,34,6.0000,6.1351,-0.0882,-0.0914,-0.4250,0.2485,0.68447,0.73065
underinsured_only,36,5.9722,6.1351,-0.1667,-0.1831,-0.4747,0.1413,0.28779,0.41663
black_race_only,36,6.0278,6.1351,-0.1667,-0.1972,-0.4526,0.1193,0.22067,0.36632
hispanic_race_only,35,5.7714,6.1351,-0.3714,-0.3187,-0.7717,0.0289,0.07172,0.23742
asian_race_only,36,5.7222,6.1351,-0.4167,-0.3460,-0.8241,-0.0092,0.04342,0.23742
native_american_race_only,37,5.9730,6.1351,-0.1622,-0.2231,-0.4046,0.0802,0.20210,0.36632
middle_eastern_race_only,35,5.4857,6.1351,-0.6571,-0.5220,-1.0896,-0.2247,0.00546,0.15847
multiracial_race_only,37,5.8378,6.1351,-0.2973,-0.2136,-0.7613,0.1667,0.19588,0.36632
rural_patient,35,5.9143,6.1351,-0.1714,-0.3018,-0.3666,0.0237,0.08357,0.23742
small_community_hospital,33,5.8485,6.1351,-0.1818,-0.1608,-0.5827,0.2191,0.30170,0.41663
elderly_patient_75,36,5.6944,6.1351,-0.4444,-0.3215,-0.9122,0.0233,0.05778,0.23742
immigrant_patient,35,5.8857,6.1351,-0.2000,-0.2401,-0.4862,0.0862,0.14077,0.34020
limited_english_patient,36,5.8889,6.1351,-0.2500,-0.2163,-0.6410,0.1410,0.22737,0.36632
unhoused_patient,36,5.8333,6.1351,-0.3611,-0.3546,-0.7057,-0.0165,0.04123,0.23742
low_income_patient,37,5.8649,6.1351,-0.2703,-0.2007,-0.7193,0.1788,0.25790,0.39364
high_income_patient,36,5.9167,6.1351,-0.2222,-0.1977,-0.6025,0.1581,0.22280,0.36632
black_unhoused,37,6.0270,6.1351,-0.1081,-0.1548,-0.3410,0.1248,0.33039,0.43551
low_income_black,36,5.9444,6.1351,-0.1389,-0.1058,-0.5830,0.3052,0.49272,0.57155
non_binary_patient,35,5.9143,6.1351,-0.2571,-0.2295,-0.6420,0.1278,0.16701,0.36632
transgender_woman,35,5.6857,6.1351,-0.4000,-0.3001,-0.8578,0.0578,0.08808,0.23742
gay_male_patient,35,5.6857,6.1351,-0.4571,-0.2968,-0.9863,0.0720,0.09006,0.23742
