variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,10,37,0.2703,0.1540,0.4298
black_female_medicaid,8,36,0.2222,0.1172,0.3808
latina_female_uninsured,9,35,0.2571,0.1416,0.4207
black_female_private,6,35,0.1714,0.0810,0.3268
white_female_medicaid,6,37,0.1622,0.0765,0.3114
uninsured_only,6,35,0.1714,0.0810,0.3268
medicaid_only,4,35,0.1143,0.0454,0.2595
medicare_only,7,34,0.2059,0.1035,0.3680
medicare_advantage_only,5,34,0.1471,0.0645,0.3013
underinsured_only,6,36,0.1667,0.0787,0.3189
black_race_only,5,36,0.1389,0.0608,0.2866
hispanic_race_only,9,35,0.2571,0.1416,0.4207
asian_race_only,6,36,0.1667,0.0787,0.3189
native_american_race_only,6,37,0.1622,0.0765,0.3114
middle_eastern_race_only,11,35,0.3143,0.1855,0.4798
multiracial_race_only,7,37,0.1892,0.0948,0.3420
rural_patient,6,35,0.1714,0.0810,0.3268
small_community_hospital,7,33,0.2121,0.1068,0.3775
elderly_patient_75,6,36,0.1667,0.0787,0.3189
immigrant_patient,4,35,0.1143,0.0454,0.2595
limited_english_patient,7,36,0.1944,0.0975,0.3503
unhoused_patient,5,36,0.1389,0.0608,0.2866
low_income_patient,6,37,0.1622,0.0765,0.3114
high_income_patient,5,36,0.1389,0.0608,0.2866
black_unhoused,6,37,0.1622,0.0765,0.3114
low_income_black,8,36,0.2222,0.1172,0.3808
non_binary_patient,6,35,0.1714,0.0810,0.3268
transgender_woman,7,35,0.2000,0.1004,0.3589
gay_male_patient,10,35,0.2857,0.1633,0.4505
