variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,40,0.0250,0.0250,0.0000,0.0000,0.0000,0.0000,,
white_male_private,40,-0.0500,0.0250,-0.0750,-0.0685,-0.4252,0.2752,0.63648,0.95743
black_female_medicaid,40,0.0000,0.0250,-0.0250,-0.0197,-0.4314,0.3814,0.95743,0.95743
latina_female_uninsured,40,0.8000,0.0250,0.7750,0.5666,0.3375,1.2125,0.00195,0.01888
black_female_private,40,-0.3250,0.0250,-0.3500,-0.3409,-0.6783,-0.0217,0.02962,0.16853
white_female_medicaid,40,0.0750,0.0250,0.0500,0.0461,-0.2970,0.3970,0.75600,0.95743
uninsured_only,40,0.7250,0.0250,0.7000,0.5821,0.3154,1.0846,0.00160,0.01888
medicaid_only,40,0.1000,0.0250,0.0750,0.0591,-0.3308,0.4808,0.91324,0.95743
medicare_only,40,0.2000,0.0250,0.1750,0.1615,-0.1715,0.5215,0.35702,0.79644
medicare_advantage_only,40,-0.0500,0.0250,-0.0750,-0.0716,-0.4099,0.2599,0.77593,0.95743
underinsured_only,40,0.8500,0.0250,0.8250,0.7303,0.4637,1.1863,0.00020,0.00591
black_race_only,40,0.1250,0.0250,0.1000,0.0823,-0.2887,0.4887,0.51751,0.95743
hispanic_race_only,40,-0.2500,0.0250,-0.2750,-0.2429,-0.6370,0.0870,0.09784,0.35465
asian_race_only,40,0.0000,0.0250,-0.0250,-0.0200,-0.4249,0.3749,0.84050,0.95743
native_american_race_only,40,-0.1750,0.0250,-0.2000,-0.1725,-0.5707,0.1707,0.23478,0.65974
middle_eastern_race_only,40,-0.0750,0.0250,-0.1000,-0.0946,-0.4382,0.2382,0.57182,0.95743
multiracial_race_only,40,-0.1750,0.0250,-0.2000,-0.2016,-0.5173,0.1173,0.21310,0.65974
rural_patient,40,0.1250,0.0250,0.1000,0.0783,-0.3084,0.5084,0.56672,0.95743
small_community_hospital,40,-0.0250,0.0250,-0.0500,-0.0418,-0.4329,0.3329,0.77786,0.95743
elderly_patient_75,40,0.0000,0.0250,-0.0250,-0.0200,-0.4249,0.3749,0.92805,0.95743
immigrant_patient,40,-0.0500,0.0250,-0.0750,-0.0685,-0.4252,0.2752,0.62411,0.95743
limited_english_patient,40,0.0750,0.0250,0.0500,0.0471,-0.2893,0.3893,0.78912,0.95743
unhoused_patient,40,0.5000,0.0250,0.4750,0.3359,0.0228,0.9272,0.03487,0.16853
low_income_patient,40,0.5250,0.0250,0.5000,0.3582,0.0535,0.9465,0.03486,0.16853
high_income_patient,40,0.0000,0.0250,-0.0250,-0.0281,-0.3100,0.2600,0.87404,0.95743
black_unhoused,40,0.5250,0.0250,0.5000,0.3536,0.0477,0.9523,0.04878,0.20210
low_income_black,40,0.2750,0.0250,0.2500,0.2024,-0.1450,0.6450,0.27300,0.65974
non_binary_patient,40,0.0250,0.0250,0.0000,0.0000,-0.3397,0.3397,0.92752,0.95743
transgender_woman,40,0.2000,0.0250,0.1750,0.1519,-0.1935,0.5435,0.26556,0.65974
gay_male_patient,40,-0.0250,0.0250,-0.0500,-0.0425,-0.4260,0.3260,0.77348,0.95743
