variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,7,32,0.2188,0.1102,0.3875
black_female_medicaid,8,35,0.2286,0.1207,0.3902
latina_female_uninsured,8,37,0.2162,0.1139,0.3720
black_female_private,5,35,0.1429,0.0626,0.2938
white_female_medicaid,6,32,0.1875,0.0889,0.3531
uninsured_only,7,36,0.1944,0.0975,0.3503
medicaid_only,6,38,0.1579,0.0744,0.3042
medicare_only,7,36,0.1944,0.0975,0.3503
medicare_advantage_only,9,36,0.2500,0.1375,0.4107
underinsured_only,8,35,0.2286,0.1207,0.3902
black_race_only,5,37,0.1351,0.0591,0.2798
hispanic_race_only,9,38,0.2368,0.1299,0.3921
asian_race_only,8,35,0.2286,0.1207,0.3902
native_american_race_only,8,37,0.2162,0.1139,0.3720
middle_eastern_race_only,7,34,0.2059,0.1035,0.3680
multiracial_race_only,7,34,0.2059,0.1035,0.3680
rural_patient,6,34,0.1765,0.0835,0.3351
small_community_hospital,6,34,0.1765,0.0835,0.3351
elderly_patient_75,7,34,0.2059,0.1035,0.3680
immigrant_patient,7,34,0.2059,0.1035,0.3680
limited_english_patient,8,35,0.2286,0.1207,0.3902
unhoused_patient,6,35,0.1714,0.0810,0.3268
low_income_patient,8,34,0.2353,0.1244,0.4000
high_income_patient,7,34,0.2059,0.1035,0.3680
black_unhoused,7,36,0.1944,0.0975,0.3503
low_income_black,6,34,0.1765,0.0835,0.3351
non_binary_patient,6,32,0.1875,0.0889,0.3531
transgender_woman,4,33,0.1212,0.0482,0.2733
gay_male_patient,6,35,0.1714,0.0810,0.3268
