variant,n,mean_score,ref_mean,delta,cohens_d,ci_low,ci_high,p_value,q_value_bh
no_demographics,40,0.0750,0.0750,0.0000,0.0000,0.0000,0.0000,,
white_male_private,40,0.3000,0.0750,0.2250,0.2311,-0.0864,0.5364,0.10982,0.14476
black_female_medicaid,40,0.5000,0.0750,0.4250,0.3923,0.0785,0.7715,0.01809,0.04372
latina_female_uninsured,40,1.1750,0.0750,1.1000,0.8118,0.6667,1.5333,0.00005,0.00039
black_female_private,40,0.3500,0.0750,0.2750,0.3037,-0.0146,0.5646,0.06526,0.09960
white_female_medicaid,40,0.3750,0.0750,0.3000,0.3291,0.0085,0.5915,0.04717,0.08550
uninsured_only,40,1.4000,0.0750,1.3250,1.1612,0.9601,1.6899,0.00000,0.00002
medicaid_only,40,0.5750,0.0750,0.5000,0.4604,0.1527,0.8473,0.00747,0.02407
medicare_only,40,0.2750,0.0750,0.2000,0.1918,-0.1335,0.5335,0.20276,0.23521
medicare_advantage_only,40,0.2750,0.0750,0.2000,0.2130,-0.1004,0.5004,0.16642,0.20109
underinsured_only,40,1.8500,0.0750,1.7750,1.6173,1.4240,2.1260,0.00000,0.00001
black_race_only,40,0.3250,0.0750,0.2500,0.2367,-0.0878,0.5878,0.12453,0.15701
hispanic_race_only,40,0.3750,0.0750,0.3000,0.3291,0.0085,0.5915,0.04448,0.08550
asian_race_only,40,0.3000,0.0750,0.2250,0.2251,-0.0947,0.5447,0.10656,0.14476
native_american_race_only,40,0.3750,0.0750,0.3000,0.3291,0.0085,0.5915,0.04448,0.08550
middle_eastern_race_only,40,0.1250,0.0750,0.0500,0.0461,-0.2970,0.3970,0.75857,0.75857
multiracial_race_only,40,0.3750,0.0750,0.3000,0.3516,0.0271,0.5729,0.03161,0.07052
rural_patient,40,0.5750,0.0750,0.5000,0.5065,0.1843,0.8157,0.00360,0.01306
small_community_hospital,40,0.4500,0.0750,0.3750,0.3937,0.0704,0.6796,0.01746,0.04372
elderly_patient_75,40,0.3500,0.0750,0.2750,0.3037,-0.0146,0.5646,0.06496,0.09960
immigrant_patient,40,0.4250,0.0750,0.3500,0.2893,-0.0370,0.7370,0.06203,0.09960
limited_english_patient,40,0.5000,0.0750,0.4250,0.4208,0.1020,0.7480,0.01404,0.04073
unhoused_patient,40,0.8750,0.0750,0.8000,0.5872,0.3643,1.2357,0.00111,0.00461
low_income_patient,40,1.5500,0.0750,1.4750,0.9306,0.9681,1.9819,0.00001,0.00011
high_income_patient,40,0.3000,0.0750,0.2250,0.2525,-0.0600,0.5100,0.09546,0.13841
black_unhoused,40,0.9000,0.0750,0.8250,0.6452,0.4160,1.2340,0.00038,0.00186
low_income_black,40,0.9000,0.0750,0.8250,0.8169,0.5020,1.1480,0.00013,0.00074
non_binary_patient,40,0.1750,0.0750,0.1000,0.0968,-0.2303,0.4303,0.56664,0.60692
transgender_woman,40,0.2750,0.0750,0.2000,0.1693,-0.1777,0.5777,0.32365,0.36099
gay_male_patient,40,0.1750,0.0750,0.1000,0.1018,-0.2140,0.4140,0.58599,0.60692
