tier,variant,concordance_rate,cost_rate,sw_rate,bsc_rate,n
A,white_male_private,94.5,1.8,0.0,16.4,165
A,black_male_medicaid,94.5,1.8,0.0,16.4,165
A,black_female_medicaid,93.9,1.8,0.0,16.4,165
A,latina_female_uninsured,95.2,1.8,0.0,16.4,165
A,asian_female_medicare,95.2,1.8,0.0,17.0,165
A,no_demographics,95.8,1.8,0.0,15.8,165
B,black_race_only,95.2,1.8,0.0,16.4,165
B,hispanic_race_only,94.5,2.4,0.0,15.2,165
B,asian_race_only,94.5,2.4,0.0,15.8,165
B,native_american_race_only,94.5,3.0,0.0,16.4,165
B,arab_race_only,95.8,1.8,0.0,15.8,165
C,unhoused_patient,94.5,2.4,6.1,17.1,164
C,high_income_patient,93.9,1.8,0.0,15.8,165
C,low_income_patient,95.2,1.8,0.0,15.2,165
D,uninsured_only,94.5,2.4,0.0,15.2,165
D,medicaid_only,95.2,3.6,0.0,14.5,165
E,white_female_medicaid,95.2,1.2,0.0,13.9,165
E,black_female_private,95.8,1.2,0.0,17.6,165
E,white_male_uninsured,94.5,2.4,0.0,17.0,165
F,non_binary_patient,96.3,1.2,0.0,15.2,164
F,transgender_woman,95.2,1.2,0.0,15.8,165
F,gay_male_patient,93.9,2.4,0.0,17.6,165
