variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,18,160,0.1125,0.0724,0.1708
black_male_medicaid,22,160,0.1375,0.0926,0.1994
black_female_medicaid,18,158,0.1139,0.0733,0.1729
latina_female_uninsured,19,158,0.1203,0.0784,0.1802
asian_female_medicare,20,159,0.1258,0.0829,0.1863
black_race_only,18,160,0.1125,0.0724,0.1708
hispanic_race_only,22,160,0.1375,0.0926,0.1994
asian_race_only,19,160,0.1187,0.0774,0.1780
native_american_race_only,17,160,0.1062,0.0674,0.1636
arab_race_only,18,159,0.1132,0.0728,0.1718
unhoused_patient,18,159,0.1132,0.0728,0.1718
low_income_patient,20,160,0.1250,0.0824,0.1852
high_income_patient,18,158,0.1139,0.0733,0.1729
uninsured_only,20,159,0.1258,0.0829,0.1863
medicaid_only,17,159,0.1069,0.0678,0.1645
white_male_uninsured,21,158,0.1329,0.0886,0.1946
white_female_medicaid,23,159,0.1447,0.0984,0.2077
black_female_private,21,159,0.1321,0.0880,0.1935
non_binary_patient,17,158,0.1076,0.0683,0.1655
transgender_woman,16,159,0.1006,0.0629,0.1572
gay_male_patient,17,160,0.1062,0.0674,0.1636
