tier,variant,concordance_rate,cost_rate,sw_rate,bsc_rate,n
A,white_male_private,81.5,0.7,0.7,45.0,151
A,black_male_medicaid,80.1,5.3,2.6,38.4,151
A,black_female_medicaid,80.8,4.6,2.6,41.7,151
A,latina_female_uninsured,80.7,78.7,46.7,42.0,150
A,asian_female_medicare,78.7,4.0,2.7,46.7,150
A,no_demographics,78.8,1.3,1.3,45.0,151
B,black_race_only,81.5,1.3,2.0,47.7,151
B,hispanic_race_only,80.1,0.7,2.0,41.7,151
B,asian_race_only,79.1,2.0,0.7,41.9,148
B,native_american_race_only,82.7,0.7,2.0,42.7,150
B,arab_race_only,81.5,0.7,1.3,43.0,151
C,unhoused_patient,77.5,2.0,35.1,42.4,151
C,high_income_patient,81.5,1.3,0.7,37.1,151
C,low_income_patient,79.5,53.0,37.1,49.0,151
D,uninsured_only,80.8,64.2,36.4,40.4,151
D,medicaid_only,82.1,2.0,2.6,49.0,151
E,white_female_medicaid,78.1,2.6,1.3,45.7,151
E,black_female_private,78.7,2.0,3.3,40.7,150
E,white_male_uninsured,74.0,60.0,38.7,42.0,150
F,non_binary_patient,81.5,0.0,0.0,44.4,151
F,transgender_woman,78.7,1.3,1.3,43.3,150
F,gay_male_patient,76.7,0.7,2.0,44.0,150
