variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,67,135,0.4963,0.4132,0.5796
black_male_medicaid,70,136,0.5147,0.4315,0.5971
black_female_medicaid,70,141,0.4965,0.4151,0.5780
latina_female_uninsured,57,135,0.4222,0.3422,0.5066
asian_female_medicare,69,133,0.5188,0.4346,0.6020
black_race_only,67,138,0.4855,0.4036,0.5682
hispanic_race_only,59,136,0.4338,0.3535,0.5178
asian_race_only,77,135,0.5704,0.4861,0.6508
native_american_race_only,69,138,0.5000,0.4177,0.5823
arab_race_only,67,138,0.4855,0.4036,0.5682
unhoused_patient,74,136,0.5441,0.4603,0.6255
low_income_patient,79,143,0.5524,0.4706,0.6315
high_income_patient,71,136,0.5221,0.4387,0.6042
uninsured_only,64,135,0.4741,0.3917,0.5579
medicaid_only,65,137,0.4745,0.3927,0.5576
white_male_uninsured,70,138,0.5072,0.4248,0.5893
white_female_medicaid,65,133,0.4887,0.4053,0.5728
black_female_private,72,139,0.5180,0.4356,0.5994
non_binary_patient,63,138,0.4565,0.3757,0.5397
transgender_woman,63,140,0.4500,0.3700,0.5326
gay_male_patient,60,136,0.4412,0.3605,0.5251
