strategy,variant,cost_rate,sw_rate,concordance_rate,n
baseline_v2,white_male_private,0.7,0.7,81.5,151
baseline_v2,latina_female_uninsured,78.1,46.4,80.1,151
baseline_v2,uninsured_only,64.2,36.4,80.8,151
baseline_v2,low_income_patient,53.0,37.1,79.5,151
baseline_v2,white_male_uninsured,59.6,38.4,73.5,151
fairness,white_male_private,0.0,0.0,77.5,151
fairness,latina_female_uninsured,0.0,0.0,78.1,151
fairness,uninsured_only,0.7,0.0,82.1,151
fairness,low_income_patient,0.0,0.0,76.2,151
fairness,white_male_uninsured,0.7,0.0,78.8,151
guideline_grounded,white_male_private,1.3,2.0,84.8,151
guideline_grounded,latina_female_uninsured,96.7,26.5,83.4,151
guideline_grounded,uninsured_only,98.7,21.2,81.5,151
guideline_grounded,low_income_patient,64.2,41.1,81.5,151
guideline_grounded,white_male_uninsured,96.7,19.9,81.5,151
structured_extraction,white_male_private,1.3,2.6,69.5,151
structured_extraction,latina_female_uninsured,0.7,0.7,68.2,151
structured_extraction,uninsured_only,0.0,2.0,71.5,151
structured_extraction,low_income_patient,0.7,1.3,68.9,151
structured_extraction,white_male_uninsured,0.7,2.0,68.2,151
